N	2gram	Losev_Vesc	Hudozhes
1	в качестве	4	31
2	то есть	2	26
3	и в	44	23
4	не только	48	20
5	в том	15	20
6	может быть	37	19
7	в частности	3	18
8	и не	57	16
9	тогда как	3	15
10	но и	19	14
11	а в	6	13
12	в себе	23	13
13	я в	3	13
14	но не	9	13
15	а не	34	13
16	то же	12	12
17	в этом	17	12
18	и его	4	12
19	так и	4	12
20	как бы	19	11
21	точки зрения	10	11
22	в его	5	11
23	сводится к	4	11
24	но в	8	10
25	не в	14	9
26	том что	13	9
27	не может	44	9
28	с другой	8	9
29	в то	11	8
30	себя в	11	8
31	в самом	13	7
32	по своей	3	7
33	отношение к	4	7
34	я и	8	7
35	в своей	6	7
36	только в	23	7
37	же время	4	7
38	как это	4	7
39	что в	11	7
40	в основе	4	7
41	не столько	2	7
42	более или	4	6
43	мы имеем	8	6
44	уже не	15	6
45	другой стороны	3	6
46	приводит к	2	6
47	в нем	6	6
48	с ее	10	6
49	можно сказать	8	6
50	в ее	8	6
51	с его	2	6
52	или менее	4	6
53	тем самым	2	5
54	ни в	11	5
55	с другими	8	5
56	той или	3	5
57	или иначе	5	5
58	между ними	6	5
59	как к	5	5
60	не предполагает	4	5
61	для того	3	5
62	того чтобы	4	5
63	в виду	2	5
64	со стороны	9	5
65	в их	4	5
66	не является	3	5
67	что он	7	5
68	не на	2	5
69	то что	47	5
70	не менее	11	5
71	прежде всего	17	5
72	того что	16	5
73	для него	8	5
74	в слове	2	4
75	и то	14	4
76	сказать что	21	4
77	в отношении	7	4
78	его в	8	4
79	далеко не	2	4
80	это не	9	4
81	для себя	6	4
82	а только	3	4
83	к тому	3	4
84	на почве	6	4
85	в данном	6	4
86	во втором	2	4
87	в другом	3	4
88	однако в	3	4
89	в силу	4	4
90	и как	12	4
91	еще не	12	4
92	и тем	7	4
93	и что	22	4
94	говорить о	9	4
95	он не	4	4
96	и о	4	4
97	отношения к	3	4
98	в себя	13	4
99	в своем	9	4
100	хотя и	5	4
101	так или	5	4
102	в жизни	5	3
103	к нему	3	3
104	и для	13	3
105	одно и	6	3
106	и притом	4	3
107	и ее	19	3
108	не случайно	2	3
109	как и	15	3
110	того же	5	3
111	их в	6	3
112	потому что	25	3
113	о чем	2	3
114	одной стороны	3	3
115	по преимуществу	2	3
116	слова в	2	3
117	в целом	3	3
118	к его	2	3
119	в свою	5	3
120	к действительности	2	3
121	во всех	5	3
122	тем не	11	3
123	и на	2	3
124	мог бы	7	3
125	тому как	5	3
126	если бы	8	3
127	в той	6	3
128	не будет	13	3
129	и прежде	2	3
130	как раз	16	3
131	с точки	6	3
132	и того	2	3
133	подобно тому	5	3
134	не обязательно	2	3
135	себя и	8	3
136	с этой	6	3
137	таким образом	16	3
138	и сам	3	3
139	есть в	4	3
140	в которой	5	3
141	была бы	3	3
142	этом смысле	2	3
143	отношении к	4	3
144	в одном	6	3
145	с одной	3	3
146	но он	2	3
147	никогда не	5	2
148	самим собою	2	2
149	о том	11	2
150	в каком	6	2
151	одна из	6	2
152	как в	3	2
153	чтобы не	2	2
154	для такого	2	2
155	одно из	2	2
156	и это	17	2
157	еще один	2	2
158	могла бы	3	2
159	тому что	2	2
160	и потому	8	2
161	от всех	5	2
162	то в	4	2
163	при всем	2	2
164	в самой	3	2
165	еще и	11	2
166	в чем	10	2
167	что такое	20	2
168	или в	3	2
169	для меня	3	2
170	именно в	2	2
171	жизни в	3	2
172	но как	3	2
173	все эти	5	2
174	было и	2	2
175	тем более	3	2
176	или иную	3	2
177	человека и	3	2
178	не все	3	2
179	образом и	4	2
180	оно не	6	2
181	или иных	2	2
182	что она	23	2
183	должен быть	5	2
184	быть и	5	2
185	дело не	4	2
186	этой точки	3	2
187	только и	8	2
188	не как	2	2
189	но она	3	2
190	с самим	4	2
191	так же	4	2
192	отличается от	8	2
193	об этом	5	2
194	свою очередь	5	2
195	из которых	3	2
196	но на	2	2
197	между собой	2	2
198	это может	3	2
199	он и	2	2
200	я не	7	2
201	тех или	6	2
202	отнюдь не	8	2
203	один из	5	2
204	собственно говоря	5	2
205	по себе	22	2
206	не вполне	2	2
207	сама по	7	2
208	в имени	21	2
209	несмотря на	6	2
210	с чем	7	2
211	есть как	3	2
212	на этом	4	2
213	тем или	2	2
214	это и	12	2
215	вещами и	3	2
216	слова и	7	2
217	и больше	13	2
218	все это	7	2
219	к другому	3	2
220	с ними	4	2
221	из этого	3	2
222	что и	11	2
223	это тоже	2	2
224	ту или	3	2
225	определенным образом	6	2
226	то ни	13	2
227	ни было	12	2
228	в одно	2	2
229	не просто	23	2
230	и может	3	2
231	и другие	2	2
232	только о	2	2
233	а затем	2	2
234	самом деле	7	2
235	к бытию	3	2
236	случае не	3	2
237	и более	4	2
238	в этой	4	2
239	но только	4	2
240	ни к	3	2
241	а с	3	2
242	с ним	8	2
243	превращается в	3	2
244	этих двух	2	2
245	и который	2	2
246	вовсе не	11	2
247	заключается в	3	2
248	имеем дело	3	2
249	если мы	12	2
250	основе своей	2	2
251	не сама	2	2
252	у него	3	2
253	бы то	12	2
254	не с	8	2
255	здесь не	2	2
