N	3gram	Vygotskiy_	Hudozhes
1	по отношению к	2	10
2	в том что	30	8
3	в отличие от	3	7
4	с другой стороны	8	6
5	в конечном счете	2	5
6	состоит в том	2	5
7	для того чтобы	41	5
8	той или иной	2	5
9	не может быть	4	4
10	одно и то	3	3
11	и то же	4	3
12	с точки зрения	5	3
13	с одной стороны	15	3
14	в этом смысле	3	3
15	можно сказать что	3	3
16	и того же	2	3
17	и в самом	3	3
18	одного и того	2	3
19	в том и	3	2
20	но он не	2	2
21	этой точки зрения	3	2
22	в самом деле	8	2
23	том что он	4	2
24	к тому что	8	2
25	с этой точки	3	2
26	может быть и	2	2
27	а с другой	5	2
28	сама по себе	3	2
