N	2gram	Berdyaev_N	Myshleni
1	в том	8	195
2	в этом	7	167
3	то что	4	166
4	и в	16	162
5	том что	2	161
6	что в	9	119
7	не только	5	116
8	так же	2	100
9	потому что	4	95
10	того чтобы	2	91
11	может быть	7	89
12	не может	16	81
13	как и	7	79
14	и не	11	78
15	но и	3	70
16	сказать что	3	65
17	вместе с	2	62
18	и что	2	60
19	в основе	3	58
20	к тому	3	49
21	мы не	2	47
22	но не	2	45
23	с другой	3	45
24	с тем	3	43
25	же как	2	43
26	как это	2	42
27	одной стороны	2	40
28	о том	4	40
29	так и	2	39
30	никогда не	6	39
31	с одной	2	39
32	вопрос о	3	37
33	не в	6	37
34	и к	5	37
35	все эти	2	36
36	как в	3	36
37	а не	17	36
38	можно было	2	35
39	он не	8	35
40	в себе	2	35
41	прежде всего	4	33
42	по своему	4	32
43	но в	2	32
44	и на	2	32
45	мысли и	2	30
46	могут быть	2	29
47	с этим	2	28
48	что все	2	27
49	в своей	3	27
50	в то	2	27
51	другой стороны	2	27
52	и с	2	27
53	мысли в	2	26
54	все это	5	25
55	еще не	3	25
56	что она	2	25
57	это не	4	25
58	в нем	5	24
59	в высшей	6	24
60	в смысле	2	24
61	ни в	6	23
62	высшей степени	6	22
63	в истории	3	21
64	все время	2	21
65	и все	4	21
66	не имеет	4	21
67	по существу	2	20
68	а в	2	20
69	должно быть	4	20
70	время как	2	20
71	не менее	4	20
72	во всех	3	19
73	но это	6	18
74	этом смысле	2	18
75	для этого	2	17
76	и для	4	17
77	и от	2	17
78	и есть	10	17
79	не есть	3	17
80	я не	2	17
81	у него	2	17
82	тому как	3	16
83	такой же	2	16
84	и даже	2	16
85	значит что	4	15
86	подобно тому	3	15
87	хотя бы	2	15
88	и это	2	15
89	в них	4	15
90	это есть	7	14
91	когда мы	2	14
92	который в	2	14
93	переходе от	2	14
94	с его	6	14
95	она не	3	13
96	лишь в	6	13
97	связана с	2	13
98	человека и	3	13
99	смысле слова	3	13
100	и потому	4	12
101	в ее	3	12
102	это и	2	12
103	в ней	5	12
104	с их	2	12
105	том чтобы	2	12
106	за пределы	3	12
107	с ее	5	11
108	не означает	3	11
109	наряду с	3	11
110	к образованию	2	11
111	не могли	2	11
112	не знает	6	11
113	вот почему	2	11
114	есть в	2	11
115	что такое	3	10
116	но для	2	10
117	и т.п	2	10
118	к жизни	3	10
119	перейти к	3	10
120	в новой	7	9
121	такого рода	2	9
122	и заключается	2	9
123	движение от	2	9
124	мы говорим	2	9
125	хотя и	2	9
126	переход к	2	9
127	зависит от	2	9
128	место в	2	9
129	должен быть	5	9
130	не имеют	2	7
131	должна быть	3	7
132	самый процесс	2	7
133	не существует	3	7
134	связаны с	2	7
135	в жизни	5	7
136	природе и	2	6
137	это было	3	6
138	роль в	2	6
139	уже не	2	6
140	в природе	2	6
141	том и	2	6
142	одна из	2	6
143	нет и	2	6
144	и мы	4	6
145	не хотим	2	5
146	и весь	2	5
147	все они	2	5
148	себя в	2	5
149	к ним	3	5
150	быть в	2	5
151	в новом	2	5
152	в наши	3	5
153	вернуться к	2	5
154	на протяжении	2	5
155	к более	2	4
156	к ее	3	4
157	эти формы	3	4
158	в одну	2	4
159	думать что	2	4
160	в центре	2	4
161	быть может	4	4
162	совсем не	12	4
163	не к	2	4
164	из ее	2	4
165	общественной жизни	6	4
166	формы и	2	4
167	как будто	2	4
168	жизни и	8	4
169	к самой	2	4
170	не было	4	4
171	конечно не	3	4
172	потребностей и	2	3
173	перейти от	3	3
174	от всякого	2	3
175	не могла	2	3
176	в новое	3	3
177	в прошлом	3	3
178	и пр	3	3
179	мира и	2	3
180	для чего	2	2
181	ни одна	2	2
182	должно стать	2	2
183	еще до	2	2
184	должно было	2	2
185	ни к	2	2
186	но я	2	2
187	в категориях	2	2
188	в мире	3	2
189	перестает быть	4	2
190	и формы	2	2
191	к созданию	2	2
192	не будет	7	2
193	в употреблении	2	2
194	как не	8	2
195	в будущем	2	2
196	не во	4	2
197	но она	2	2
198	обращение к	2	2
199	и должно	2	2
200	к новому	7	2
201	можно назвать	2	2
