N	3gram	Propp_Isto	Mirosoze
1	не может быть	8	28
2	в том что	6	9
3	о том что	5	6
4	и в нем	2	6
5	вместе с тем	7	6
6	но и в	4	5
7	после того как	2	5
8	и вместе с	2	5
9	до сих пор	11	5
10	мы увидим что	8	5
11	по отношению к	6	4
12	что он не	4	4
13	на то что	5	4
14	не что иное	3	4
15	то время как	3	4
16	потому что он	2	4
17	можно было бы	5	4
18	в то время	3	4
19	что иное как	3	4
20	с тем что	3	3
21	так же как	6	3
22	есть не что	2	3
23	может быть назван	2	3
24	как будто бы	2	3
25	она не знает	2	2
26	подобно тому как	3	2
27	не только в	5	2
28	в иной мир	7	2
