N	2gram	Voloshinov	FransuaR
1	и в	12	367
2	в этом	4	112
3	и не	10	101
4	таким образом	12	100
5	и его	13	99
6	в его	2	98
7	прежде всего	8	92
8	не только	4	87
9	но и	3	84
10	как бы	13	82
11	все эти	3	79
12	как и	5	76
13	в нем	6	75
14	но в	5	75
15	и др	5	72
16	и на	4	72
17	в том	6	71
18	то же	5	66
19	и все	2	66
20	так и	4	65
21	в них	3	65
22	и с	3	64
23	в то	2	63
24	все это	3	62
25	что в	2	52
26	в своем	2	51
27	только в	6	48
28	так как	9	46
29	том что	5	45
30	то что	5	41
31	жизни и	4	40
32	в самом	4	38
33	точки зрения	14	37
34	в ней	6	37
35	с его	2	36
36	может быть	14	35
37	о том	3	35
38	сказать что	7	34
39	в себе	3	34
40	он не	2	32
41	для него	3	32
42	в своей	3	31
43	до конца	2	31
44	в литературе	4	31
45	так же	3	30
46	никогда не	5	30
47	и потому	2	30
48	в этих	2	29
49	не может	16	29
50	еще не	3	29
51	его в	4	29
52	не в	4	29
53	при этом	6	29
54	в особенности	2	29
55	и к	4	28
56	сих пор	3	27
57	и другие	2	27
58	до сих	3	27
59	все же	4	27
60	кроме того	2	26
61	все они	2	26
62	в условиях	2	26
63	на самом	4	25
64	с помощью	6	25
65	но это	2	25
66	отношение к	4	24
67	но не	2	24
68	как в	5	24
69	и для	3	23
70	это не	2	23
71	с ним	3	23
72	и здесь	2	23
73	к нему	4	23
74	связь с	2	22
75	что и	2	22
76	там где	2	22
77	вместе с	2	22
78	в себя	2	21
79	в отношении	2	21
80	и наконец	3	21
81	ни в	3	21
82	уже в	2	21
83	в виду	5	20
84	с точки	2	20
85	самом деле	3	20
86	в форме	2	19
87	к этому	2	19
88	за пределы	4	19
89	с другой	4	19
90	здесь не	3	18
91	но все	2	17
92	того что	3	17
93	такой же	2	17
94	конечно не	3	17
95	а не	5	17
96	между тем	3	16
97	ничего не	2	16
98	влияние на	2	16
99	между ними	2	16
100	дело в	4	16
101	с одной	2	16
102	и вообще	3	15
103	в нашем	11	15
104	как на	2	15
