N	2gram	Bakhtin_Pr	OGranits
1	и в	59	13
2	и его	21	12
3	прежде всего	17	9
4	и не	66	8
5	не может	31	8
6	может быть	38	8
7	в его	44	7
8	и пр	3	7
9	и их	7	7
10	точки зрения	36	7
11	и т.п	8	7
12	не только	26	6
13	мы должны	6	6
14	как бы	40	6
15	таким образом	22	6
16	только в	15	6
17	то что	21	6
18	и т.д	2	5
19	все же	9	5
20	с точки	21	5
21	и эта	3	5
22	но ведь	4	5
23	и наконец	5	5
24	хотя бы	5	5
25	в музыке	4	5
26	в процессе	4	5
27	мы можем	3	4
28	но в	7	4
29	лишь в	4	4
30	то же	15	4
31	в сознании	4	4
32	не является	2	4
33	в своей	17	4
34	все это	12	4
35	было бы	10	4
36	мы не	3	4
37	в каждом	11	4
38	никогда не	19	3
39	да и	3	3
40	и для	5	3
41	слово в	3	3
42	со всей	2	3
43	и все	4	3
44	в ее	4	3
45	превращается в	4	3
46	с этим	2	3
47	отношению к	17	3
48	и уже	3	3
49	как и	21	3
50	в пределах	13	3
51	не в	10	3
52	в их	5	3
53	говорить о	3	3
54	ни один	5	3
55	так как	11	3
56	в себе	9	3
57	что в	14	3
58	по отношению	17	3
59	точку зрения	9	3
60	но для	2	3
61	самом деле	9	3
62	за пределы	10	3
63	так и	13	3
64	что же	5	3
65	в которой	6	3
66	не как	15	3
67	в одном	14	3
68	в искусстве	2	3
69	здесь мы	3	3
70	но и	22	3
71	не столько	3	3
72	в самом	19	2
73	могут быть	5	2
74	мы видим	5	2
75	она является	2	2
76	конечно в	2	2
77	в этом	40	2
78	в них	5	2
79	для себя	5	2
80	данном случае	3	2
81	в книге	4	2
82	кажется что	4	2
83	уже в	9	2
84	в том	17	2
85	тем что	5	2
86	в отношении	3	2
87	есть не	3	2
88	несмотря на	7	2
89	в целом	8	2
90	если бы	12	2
91	не исчерпывается	3	2
92	в произведении	4	2
93	от этого	2	2
94	не имеет	2	2
95	зависимости от	5	2
96	роль в	2	2
97	говорить об	2	2
98	ее в	2	2
99	более того	5	2
100	во времени	4	2
101	с другой	3	2
102	там где	12	2
103	слова и	2	2
104	а в	9	2
105	и тем	2	2
106	том что	15	2
107	а как	8	2
108	и к	5	2
109	в зависимости	5	2
110	в данном	3	2
111	не менее	3	2
112	и следовательно	7	2
113	с ними	3	2
114	все эти	12	2
115	в области	3	2
116	так же	10	2
117	что они	3	2
118	мы уже	4	2
119	те же	3	2
120	героя и	11	2
121	в своих	5	2
122	его на	2	2
123	в полном	2	2
124	в нем	38	2
125	не на	6	2
126	при этом	5	2
127	сознания и	9	2
128	и ее	5	2
129	а не	30	2
130	во всей	2	2
131	в ней	8	2
132	входит в	11	2
133	как в	10	2
134	другой стороны	3	2
135	который мы	2	2
136	чем же	2	2
137	бы в	7	2
138	между тем	5	2
139	в чем	2	2
140	тот же	4	2
141	самого начала	4	2
142	вовсе не	13	2
143	в этот	2	2
144	с самого	3	2
145	наконец в	2	2
146	для него	23	2
