N	2gram	Voloshinov	VerxiiNi
1	и в	16	26
2	таким образом	9	22
3	в этом	9	15
4	вместе с	3	15
5	точки зрения	8	13
6	как бы	5	12
7	в том	3	11
8	не только	7	10
9	из этих	2	10
10	и с	8	10
11	может быть	17	10
12	что в	3	9
13	так как	4	9
14	в области	3	9
15	но и	4	9
16	в общем	3	8
17	и не	4	8
18	связанные с	2	7
19	то что	3	7
20	но в	4	7
21	том что	3	7
22	о том	2	6
23	того же	2	6
24	всяком случае	3	6
25	что и	2	6
26	с точки	6	6
27	все эти	5	6
28	все это	4	6
29	и потому	3	6
30	так и	4	6
31	во всяком	3	6
32	никогда не	2	5
33	и для	2	5
34	так же	2	5
35	и к	6	5
36	отношение к	5	5
37	в его	4	5
38	крайней мере	3	5
39	по крайней	3	5
40	сих пор	3	5
41	до сих	3	5
42	а в	3	4
43	с другими	3	4
44	в самом	2	4
45	в нем	4	4
46	не может	8	4
47	что оно	2	4
48	то же	2	4
49	и по	2	4
50	в этих	3	4
51	только в	4	4
52	что он	2	4
53	и только	9	4
54	он не	2	4
55	во время	3	4
56	в этой	4	4
57	учение о	3	4
58	что это	2	3
59	с самого	4	3
60	к ним	2	3
61	хотя бы	4	3
62	к этому	2	3
63	путь к	2	3
64	и даже	4	3
65	и как	3	3
66	же как	2	3
67	при этом	6	3
68	не менее	2	3
69	с этой	2	3
70	и о	2	3
71	можно сказать	4	3
72	и таким	2	3
73	в одном	3	3
74	для него	6	3
75	по своему	2	2
76	сказать что	7	2
77	для этого	2	2
78	по сравнению	3	2
79	и это	6	2
80	не могут	2	2
81	и проч	9	2
82	для всех	4	2
83	мы можем	9	2
84	в начале	2	2
85	связанных с	2	2
86	конечно не	6	2
87	те же	3	2
88	что мы	2	2
89	в них	2	2
90	и на	4	2
91	и действительно	2	2
92	еще не	5	2
93	все что	4	2
94	жизни и	3	2
95	самого начала	4	2
96	можно назвать	2	2
97	только для	5	2
98	и наконец	4	2
99	ни было	2	2
100	в одно	2	2
101	и все	4	2
102	на друга	2	2
103	один из	2	2
104	со всеми	2	2
105	сравнению с	3	2
106	друг на	2	2
107	прежде всего	9	2
108	с его	7	2
109	во всех	3	2
110	всех других	2	2
