N	2gram	Bakhtin_Pr	Problema
1	и в	38	182
2	то есть	46	165
3	и не	42	152
4	вовсе не	2	145
5	то что	8	144
6	не есть	6	113
7	не только	9	104
8	в этом	15	88
9	может быть	26	82
10	том что	3	81
11	в том	8	81
12	только в	13	73
13	сказать что	4	72
14	но и	9	70
15	в виде	2	69
16	у нас	2	68
17	также и	3	68
18	и даже	3	66
19	не менее	4	58
20	о том	4	57
21	так и	5	56
22	тем не	3	56
23	а не	5	56
24	но в	4	55
25	ни в	11	51
26	и вообще	2	48
27	отнюдь не	19	48
28	в себе	4	48
29	смысле слова	2	47
30	было бы	8	46
31	в своей	7	45
32	прежде всего	13	45
33	что в	7	44
34	в его	43	44
35	все эти	5	43
36	не в	7	43
37	таким образом	10	42
38	то же	5	42
39	что он	2	40
40	и что	2	40
41	не может	27	39
42	и тем	3	39
43	как бы	22	39
44	той или	2	38
45	в данном	4	38
46	хотя бы	4	37
47	того что	2	37
48	в нем	15	37
49	еще не	7	36
50	точки зрения	8	36
51	и все	3	36
52	и т	14	35
53	в виду	4	34
54	и с	17	34
55	как и	7	34
56	не является	3	33
57	или иной	2	33
58	в таком	3	33
59	же самое	2	33
60	в то	4	32
61	здесь не	4	32
62	едва ли	3	32
63	но не	12	32
64	в своем	5	31
65	связи с	2	31
66	все это	3	31
67	но это	3	31
68	ясно что	3	30
69	с другой	7	30
70	и для	11	30
71	как мы	7	29
72	все же	6	29
73	в связи	2	29
74	можно сказать	2	29
75	данном случае	4	28
76	и о	5	28
77	есть только	2	28
78	а в	6	28
79	и как	8	27
80	ничего не	6	27
81	и это	3	27
82	хотя и	3	27
83	это не	5	26
84	да и	3	26
85	другой стороны	4	26
86	и его	16	26
87	тем самым	4	25
88	с точки	6	25
89	и на	3	25
90	мы можем	6	25
91	на самом	4	24
92	не имеет	9	24
93	в нашем	4	24
94	а только	2	23
95	на то	2	23
96	есть не	2	23
97	при этом	5	23
98	никогда не	5	22
99	его в	9	22
100	и есть	2	22
101	что и	2	22
102	и от	3	22
103	другими словами	2	22
104	раз и	2	22
105	и к	3	22
106	мы должны	2	21
107	и ее	2	21
108	в самом	7	21
109	говорить о	3	21
110	и только	4	21
111	и потому	4	20
112	но как	2	20
113	для того	2	20
114	можно было	4	20
115	несмотря на	3	20
116	или в	2	20
117	тем что	2	20
118	как нечто	3	19
119	того или	2	19
120	если бы	3	19
121	кроме того	3	19
122	он не	3	19
123	с ним	5	19
124	самом деле	6	19
