N	3gram	Vinokur_Ku	Stilisti
1	в то же	4	9
2	то же время	4	7
3	для того чтобы	21	7
4	в зависимости от	7	7
5	с точки зрения	16	5
6	того или иного	5	5
7	то или иное	2	4
8	в свою очередь	4	4
9	в этом случае	4	3
10	в конце концов	3	3
11	на самом деле	3	3
12	не только в	4	3
13	но все же	3	3
14	социального общения и	2	3
15	вместе с тем	3	2
16	в связи с	4	2
17	чуть ли не	3	2
18	мы увидим что	2	2
19	что иное как	2	2
20	в тех случаях	2	2
21	только потому что	11	2
22	в самом деле	14	2
23	в этом отношении	8	2
24	к тому что	2	2
25	можно сказать что	2	2
26	тех случаях когда	2	2
27	по отношению к	8	2
28	смысле этого слова	2	2
29	о том что	6	2
30	не что иное	2	2
31	не может быть	5	2
