N	3gram	Losev_Dial	EvropaiC
1	в том что	12	16
2	до сих пор	4	15
3	друг с другом	2	9
4	более или менее	5	8
5	с точки зрения	18	8
6	на самом деле	3	7
7	на то что	4	7
8	так или иначе	3	5
9	по сравнению с	2	5
10	в самом деле	3	5
11	к тому же	2	5
12	тем не менее	3	4
13	с другой стороны	7	4
14	в конце концов	4	4
15	может быть и	6	4
16	о том что	6	4
17	не может быть	4	4
18	нечего и говорить	2	3
19	в связи с	3	3
20	ничего общего с	3	2
21	с одной стороны	3	2
22	во всяком случае	3	2
23	но все же	2	2
24	в то время	2	2
25	то же время	8	2
26	в то же	7	2
27	друг к другу	2	2
28	принять во внимание	2	2
29	и может быть	3	2
30	только то что	6	2
31	несмотря на то	2	2
