N	3gram	Bakhtin_Fr	Psycholo
1	в том что	6	78
2	для того чтобы	2	70
3	о том что	3	34
4	с точки зрения	6	29
5	с одной стороны	2	28
6	до сих пор	7	23
7	не может быть	5	23
8	на самом деле	2	17
9	во всяком случае	2	14
10	в этом отношении	5	14
11	подобно тому как	2	11
12	по сравнению с	2	11
13	в отличие от	4	9
14	друг с другом	2	8
15	на этот вопрос	2	7
16	можно сказать что	3	7
17	и в том	2	6
18	не только в	5	6
19	в собственном смысле	3	5
20	и во всех	2	5
21	и в частности	2	5
22	в целом ряде	2	5
23	то есть в	5	4
24	мы уже говорили	12	4
25	в применении к	3	4
26	вовсе не в	2	4
27	и не может	2	4
28	в основе своей	2	4
29	во всех этих	2	3
30	в это время	2	3
31	не могут быть	2	3
32	в то же	5	3
33	по отношению к	2	3
34	то же время	5	3
35	дело в том	2	3
36	той или иной	5	2
37	как мы видели	2	2
38	так и в	3	2
39	в основе его	2	2
40	все же в	2	2
41	еще далеко не	2	2
42	но и в	5	2
43	леонардо да винчи	2	2
44	в узком смысле	2	2
45	имеем в виду	2	2
46	мы вовсе не	2	2
47	прежде всего на	3	2
48	всего того что	2	2
49	он как бы	2	2
50	но и на	2	2
51	выходит за пределы	4	2
52	в значительной мере	3	2
53	жизни и смерти	6	2
