N	2gram	Berdyaev_M	Literetu
1	а не	36	50
2	и не	26	47
3	не только	42	46
4	и в	61	44
5	может быть	42	43
6	но и	34	41
7	в том	9	39
8	в этом	34	38
9	том что	7	32
10	то что	10	29
11	в мире	12	28
12	то же	4	26
13	как и	14	23
14	в то	2	23
15	не в	16	22
16	так и	5	22
17	того что	13	22
18	себя в	6	22
19	не может	39	22
20	я и	3	21
21	в себе	12	20
22	прежде всего	18	19
23	как бы	10	18
24	то есть	3	17
25	точки зрения	6	17
26	в его	10	17
27	сознания в	2	16
28	в этой	12	16
29	в жизни	7	16
30	я не	4	15
31	в русской	4	15
32	только в	7	15
33	по отношению	4	14
34	что он	16	14
35	в своем	17	13
36	но не	8	13
37	уже не	8	13
38	и его	13	13
39	к себе	3	12
40	в своей	18	12
41	одним из	2	12
42	отношению к	4	12
43	о том	5	12
44	никогда не	30	11
45	это не	10	11
46	еще в	4	11
47	с его	6	11
48	как в	9	11
49	а в	4	11
50	в основе	4	11
51	вместе с	7	11
52	другого в	2	10
53	что в	12	10
54	в ее	3	10
55	жизни в	3	10
56	и на	9	10
57	потому что	25	10
58	жизни и	6	10
59	одно из	3	9
60	к тому	6	9
61	один из	9	9
62	в начале	2	9
63	лишь в	8	9
64	с этой	4	9
65	на смену	3	9
66	в конце	11	8
67	быть может	9	8
68	все же	2	8
69	xix века	4	8
70	но в	12	8
71	уже в	6	8
72	что не	3	8
73	для него	28	8
74	и я	5	8
75	и как	3	8
76	мира в	2	8
77	тем что	7	8
78	в своих	4	8
79	той же	3	8
80	о себе	3	8
81	до конца	16	7
82	в их	4	7
83	не как	4	7
84	по своей	4	7
85	друг друга	12	7
86	и других	2	7
87	для этого	3	7
88	и для	7	7
89	по преимуществу	4	7
90	человека в	26	7
91	у нас	13	7
92	ведет к	16	7
93	в самом	15	7
94	и с	6	7
95	он и	2	7
96	личности в	4	7
97	тому как	2	7
98	в нем	26	7
99	он не	34	7
100	в сфере	2	7
101	его в	6	6
102	в виду	2	6
103	самом деле	2	6
104	и он	21	6
105	было бы	11	6
106	не было	25	6
107	и то	2	6
108	то в	2	6
109	во всех	3	6
110	в каждом	4	6
111	подобно тому	2	6
112	в ней	23	6
113	у него	38	6
114	как будто	4	6
115	с собой	5	5
116	так как	10	5
117	этот путь	3	5
118	как он	4	5
119	так что	3	5
120	и за	2	5
121	он сам	11	5
122	не знает	12	5
123	всего в	2	5
124	к этой	3	5
125	между тем	2	5
126	что и	6	5
127	себя и	6	5
128	мир в	3	5
129	в сущности	2	5
130	эти слова	2	5
131	все еще	2	5
132	место в	4	5
133	самого себя	6	5
134	хотя бы	8	5
135	в россии	2	5
136	должно быть	5	5
137	мы не	2	5
138	во имя	26	5
139	как у	2	5
140	русской литературы	5	5
141	человеческого духа	31	5
142	в нашем	2	5
143	и к	9	5
144	быть не	2	5
145	не к	6	5
146	но с	2	5
147	входит в	3	4
148	в свою	5	4
149	себе и	4	4
150	для нас	3	4
151	как к	2	4
152	за собой	2	4
153	все время	3	4
154	от своего	2	4
155	не надо	2	4
156	к своему	2	4
157	с тем	10	4
158	и все	13	4
159	на том	3	4
160	могут быть	2	4
161	духовной жизни	3	4
162	в них	5	4
163	не бывает	3	4
164	хотя и	2	4
165	нового человека	2	4
166	самим собою	2	4
167	нет ничего	9	4
168	но это	8	4
169	за пределы	5	4
170	к этому	3	4
171	бы не	4	4
172	и вот	7	4
173	для того	4	4
174	ни к	2	4
175	то он	3	4
176	него не	3	4
177	века в	2	4
178	жизни не	2	4
179	приводит к	2	4
180	на этом	5	4
181	не могу	4	4
182	ко всему	2	4
183	жизни а	3	4
184	перед ним	3	4
185	более чем	3	4
186	и что	4	4
187	что было	2	4
188	и есть	21	4
189	не мог	6	4
190	отношения к	6	4
191	и нет	3	4
192	на самом	2	3
193	вопрос о	7	3
194	не знали	2	3
195	в иных	3	3
196	ничего не	4	3
197	и потому	17	3
198	так же	5	3
199	различие между	2	3
200	о чем	3	3
201	по себе	2	3
202	в отношении	6	3
203	свободы и	13	3
204	отношение к	9	3
205	есть не	9	3
206	в пути	3	3
207	нет в	5	3
208	себе в	3	3
209	о нем	2	3
210	они не	4	3
211	направленной на	2	3
212	что же	2	3
213	а к	2	3
214	того чтобы	4	3
215	все эти	3	3
216	и тогда	2	3
217	он был	18	3
218	в истории	2	3
219	должна быть	7	3
220	всем и	2	3
221	и еще	3	3
222	относится к	2	3
223	если в	2	3
224	и от	3	3
225	во многих	2	3
226	на два	2	3
227	его личности	4	3
228	бы и	8	3
229	не так	6	3
230	с их	2	3
231	с ней	3	3
232	мысли и	2	3
233	в этот	2	3
234	которая не	2	3
235	мысль о	2	3
236	если бы	5	3
237	так называемый	2	3
238	также и	6	3
239	был бы	11	3
240	в этих	6	3
241	все равно	3	3
242	за его	2	3
243	а для	2	3
244	отношении к	4	3
245	ни с	4	3
246	а за	2	3
247	не имеет	7	3
248	в чем	3	3
249	что такое	2	3
250	он в	4	3
251	в творчестве	13	3
252	когда он	3	3
253	не есть	21	3
254	путь к	2	3
255	со своей	2	3
256	все что	5	3
257	же и	2	3
258	и перед	3	3
259	мира и	6	3
260	в глубине	10	3
261	с ним	5	3
262	бунт против	5	2
263	самому себе	2	2
264	чтобы не	4	2
265	не для	2	2
266	у достоевского	75	2
267	к свету	3	2
268	как человек	2	2
269	и сама	2	2
270	от него	4	2
271	приходит к	2	2
272	человека и	19	2
273	подлинное искусство	2	2
274	сам не	4	2
275	ответственности за	2	2
276	не был	8	2
277	и у	3	2
278	есть и	6	2
279	и каждый	2	2
280	он же	3	2
281	должен быть	4	2
282	а лишь	3	2
283	и вместе	4	2
284	роль в	2	2
285	ведь это	2	2
286	это и	7	2
287	к человеку	21	2
288	а как	2	2
289	личного бытия	2	2
290	и всегда	3	2
291	не остается	2	2
292	у них	4	2
293	бытия не	2	2
294	его не	5	2
295	в такой	4	2
296	отношением к	2	2
297	тем как	2	2
298	человека не	6	2
299	в него	3	2
300	тому что	2	2
301	к нему	8	2
302	она не	9	2
303	он готов	2	2
304	можно и	2	2
305	свобода и	7	2
306	даже и	2	2
307	и без	2	2
308	тогда когда	2	2
309	с которой	2	2
310	жизнь и	5	2
311	для них	3	2
312	переходит в	23	2
313	людей в	3	2
314	в центре	4	2
315	есть путь	6	2
316	и самого	2	2
317	и по	4	2
318	что они	4	2
319	и ее	2	2
320	всю жизнь	7	2
321	человек и	7	2
322	революции и	5	2
323	вокруг которого	2	2
324	и более	2	2
325	сказать что	5	2
326	всего что	2	2
327	нет у	6	2
328	и мы	2	2
329	не от	3	2
330	бы в	3	2
331	значительной степени	2	2
332	человека а	3	2
333	к которой	4	2
334	человеческой личности	11	2
335	лишь его	2	2
336	потому не	3	2
337	к концу	5	2
338	в значительной	2	2
339	перед собой	2	2
340	та же	4	2
341	а от	3	2
342	для друга	2	2
343	ничего кроме	2	2
344	в духовной	2	2
345	не означает	2	2
346	что есть	7	2
347	на протяжении	2	2
348	культуры и	2	2
349	есть в	3	2
350	нет и	6	2
351	есть лишь	23	2
352	не сам	2	2
353	и судьба	2	2
354	новых и	2	2
355	с другим	3	2
356	что у	3	2
357	от всех	2	2
358	мир и	3	2
359	есть свобода	6	2
360	в котором	9	2
361	человек в	12	2
362	еще более	3	2
363	у кого	2	2
364	оно не	3	2
365	на почве	3	2
366	со своим	2	2
367	всякий раз	2	2
368	самого человека	3	2
369	мог бы	5	2
370	в той	3	2
371	своем я	2	2
372	эта мысль	3	2
373	во всем	5	2
374	друг для	2	2
375	но он	17	2
