N	2gram	Berdyaev_M	Narrotol
1	не только	42	62
2	и не	26	50
3	но и	34	45
4	а не	36	38
5	может быть	42	30
6	и в	61	30
7	в том	9	29
8	том что	7	28
9	в этом	34	28
10	а в	4	27
11	только в	7	25
12	как и	14	24
13	не в	16	23
14	то что	10	23
15	то есть	3	22
16	не может	39	20
17	в себе	12	17
18	так и	5	17
19	в его	10	16
20	но в	12	15
21	к тому	6	15
22	в жизни	7	14
23	и его	13	14
24	в своем	17	13
25	в своей	18	13
26	то же	4	13
27	у него	38	13
28	о том	5	13
29	уже не	8	13
30	все же	2	12
31	прежде всего	18	12
32	как в	9	12
33	на протяжении	2	12
34	как бы	10	12
35	по отношению	4	11
36	к себе	3	11
37	об этом	2	11
38	в нем	26	11
39	в этой	12	11
40	если бы	5	11
41	жизни в	3	11
42	отношению к	4	11
43	в мире	12	11
44	хотя и	2	11
45	никогда не	30	10
46	в то	2	10
47	ничего не	4	10
48	один из	9	10
49	точки зрения	6	10
50	того что	13	10
51	и все	13	10
52	но не	8	10
53	жизни и	6	10
54	между тем	2	10
55	с его	6	10
56	что он	16	9
57	что в	12	9
58	для него	28	9
59	истории в	2	9
60	потому что	25	9
61	с ним	5	9
62	о чем	3	8
63	самом деле	2	8
64	того чтобы	4	8
65	и он	21	8
66	мира в	2	8
67	у нас	13	8
68	и для	7	8
69	в самом	15	8
70	и к	9	8
71	в той	3	8
72	он не	34	8
73	не мог	6	8
74	в свою	5	7
75	это не	10	7
76	в конце	11	7
77	в чем	3	7
78	в ней	23	7
79	в ее	3	7
80	также и	6	7
81	в котором	9	7
82	и на	9	7
83	о нем	2	6
84	они не	4	6
85	что и	6	6
86	сказать что	5	6
87	то в	2	6
88	как у	2	6
89	что у	3	6
90	в нашем	2	6
91	все что	5	6
92	от его	3	5
93	на самом	2	5
94	и у	3	5
95	а для	2	5
96	к нему	8	5
97	место в	4	5
98	мира и	6	5
99	человеческой жизни	4	5
100	было бы	11	5
101	мы не	2	5
102	я не	4	5
103	и здесь	6	5
104	и то	2	5
105	и от	3	5
106	что это	5	5
107	в начале	2	5
108	бы и	8	5
109	себя в	6	5
110	в центре	4	5
111	подобно тому	2	5
112	для того	4	5
113	человек в	12	5
114	в своих	4	5
115	в русской	4	5
116	но для	2	5
117	еще в	4	5
118	тому как	2	5
119	не было	25	5
120	он сам	11	5
121	как будто	4	5
122	не о	2	4
123	и ее	2	4
124	роль в	2	4
125	в виду	2	4
126	как он	4	4
127	друг друга	12	4
128	по своему	3	4
129	в них	5	4
130	тому что	2	4
131	она не	9	4
132	на том	3	4
133	все его	3	4
134	не будет	3	4
135	не все	3	4
136	о своей	2	4
137	и когда	2	4
138	и по	4	4
139	что они	4	4
140	в основе	4	4
141	быть и	2	4
142	хотя бы	8	4
143	к этому	3	4
144	к ней	6	4
145	и как	3	4
146	которая не	2	4
147	не имеет	7	4
148	человека в	26	4
149	ведет к	16	4
150	и мира	3	4
151	в сфере	2	4
152	оно не	3	4
153	и с	6	4
154	не существует	5	4
155	жизни а	3	4
156	для нас	3	4
157	по себе	2	4
158	мог бы	5	4
159	по своей	4	4
160	которой он	2	4
161	не к	6	4
162	вместе с	7	4
163	до конца	16	3
164	ее и	2	3
165	и потому	17	3
166	так же	5	3
167	сознания в	2	3
168	и сама	2	3
169	с таким	2	3
170	которых он	5	3
171	как к	2	3
172	за собой	2	3
173	должен быть	4	3
174	а лишь	3	3
175	с этой	4	3
176	а как	2	3
177	к чему	5	3
178	связано с	5	3
179	и вот	7	3
180	его не	5	3
181	не знает	12	3
182	одно из	3	3
183	в него	3	3
184	и это	16	3
185	по природе	2	3
186	ни одного	2	3
187	же не	2	3
188	что не	3	3
189	а к	2	3
190	не бывает	3	3
191	все эти	3	3
192	той же	3	3
193	и самого	2	3
194	и тогда	2	3
195	заключает в	3	3
196	интерес к	5	3
197	особенно в	3	3
198	все время	3	3
199	но это	8	3
200	что она	5	3
201	в которой	8	3
202	и уж	2	3
203	природе своей	2	3
204	лишь в	8	3
205	бы не	4	3
206	должен был	4	3
207	он уже	8	3
208	в этих	6	3
209	все равно	3	3
210	сих пор	5	3
211	со своей	2	3
212	на этот	2	3
213	о себе	3	3
214	жизни не	2	3
215	входит в	3	3
216	быть не	2	3
217	приводит к	2	3
218	всякий раз	2	3
219	он и	2	3
220	и что	4	3
221	что было	2	3
222	но он	17	3
223	до сих	5	3
224	в каком	2	2
225	к одному	2	2
226	мира не	3	2
227	добра и	8	2
228	в которых	5	2
229	другого человека	2	2
230	она может	2	2
231	в человеке	10	2
232	он живет	2	2
233	и зла	9	2
234	же о	2	2
235	личного бытия	2	2
236	в их	4	2
237	в любви	12	2
238	от своего	2	2
239	достоевского и	12	2
240	это все	2	2
241	потому не	3	2
242	к своему	2	2
243	так что	3	2
244	в момент	3	2
245	людей и	5	2
246	нем не	2	2
247	они и	3	2
248	любви и	3	2
249	только с	3	2
250	она была	2	2
251	друг для	2	2
252	не могу	4	2
253	жизнь в	4	2
254	в более	4	2
255	те же	5	2
256	человека есть	6	2
