N	2gram	Nazirov_Vr	Mirosoze
1	и в	8	97
2	у достоевского	4	94
3	может быть	4	64
4	не только	9	63
5	в этом	8	55
6	но и	7	54
7	он не	3	53
8	в нем	6	49
9	не может	2	49
10	у него	5	47
11	и не	5	39
12	никогда не	2	38
13	в ней	4	37
14	не было	5	36
15	для него	2	31
16	человека в	3	30
17	но он	3	30
18	как и	6	29
19	но в	6	27
20	и он	2	27
21	в мире	2	27
22	достоевский был	2	25
23	и это	2	25
24	в своей	2	25
25	он был	3	25
26	и все	7	24
27	в своем	3	23
28	что в	7	23
29	и достоевский	2	23
30	что он	4	22
31	достоевского и	7	21
32	в себе	2	20
33	достоевский не	3	20
34	отношение к	2	20
35	достоевского –	2	20
36	в россии	5	19
37	как бы	4	19
38	в его	3	18
39	достоевского в	7	16
40	в том	3	16
41	том что	3	16
42	то что	7	16
43	и его	3	16
44	в этой	2	15
45	в котором	6	15
46	в конце	3	14
47	из подполья	3	13
48	достоевского он	2	13
49	достоевского к	3	13
50	это не	4	12
51	и у	3	12
52	в них	2	12
53	все это	4	12
54	достоевский в	8	12
55	он сам	2	12
56	к достоевскому	6	11
57	но это	2	11
58	в русской	3	11
59	уже не	2	11
60	достоевского не	4	10
61	так же	4	10
62	то же	5	10
63	а в	2	9
64	и во	3	9
65	я не	3	9
66	х годов	4	9
67	в бесах	10	9
68	подпольного человека	4	9
69	в свою	2	9
70	с ним	4	9
71	не мог	2	9
72	вместе с	2	9
73	сам достоевский	3	8
74	о достоевском	2	8
75	т е	3	8
76	с его	3	8
77	в дневнике	4	8
78	тем что	3	8
79	что есть	3	8
80	о том	4	8
81	достоевский и	8	8
82	и с	6	8
83	уже в	4	8
84	достоевского о	3	7
85	точки зрения	2	7
86	отношения к	2	7
87	его в	3	6
88	что достоевский	4	6
89	его на	2	6
90	что у	3	6
91	на то	3	6
92	который был	3	5
93	в то	5	5
94	– это	6	5
95	и как	3	5
96	еще не	2	5
97	его и	2	5
98	личность и	2	5
99	к себе	2	4
100	в момент	2	4
101	а с	2	4
102	в чем	3	4
103	в него	2	4
104	место в	2	4
105	в начале	6	4
106	в истории	4	4
107	его с	2	4
108	и даже	6	4
109	петр верховенский	3	4
110	в той	2	4
111	в своих	4	4
112	и что	8	4
113	о чем	2	3
114	давно уже	3	3
115	одним из	3	3
116	с которым	2	3
117	в россию	4	3
118	все же	6	3
119	и достоевского	9	3
120	достоевского с	9	3
121	между тем	5	3
122	в виду	4	3
123	же как	2	3
124	эти слова	3	3
125	и то	2	3
126	к этому	3	3
127	об этом	5	3
128	в этот	3	3
129	для нас	4	3
130	он считал	4	3
131	о себе	3	3
132	в повести	2	2
133	после этого	2	2
134	о нем	6	2
135	не менее	2	2
136	великих писателей	2	2
137	же не	2	2
138	ставрогина и	3	2
139	связи с	3	2
140	и ее	2	2
141	во время	2	2
142	столь же	2	2
143	их в	2	2
144	имел в	3	2
145	петра верховенского	2	2
146	россии в	2	2
147	целый ряд	4	2
148	и о	3	2
149	человека с	2	2
150	я хотел	3	2
151	что я	2	2
152	и уже	3	2
153	и наказания	2	2
154	бесов в	2	2
