N	2gram	Losev_Prob	NovoeSre
1	а не	28	17
2	и в	62	16
3	не может	14	16
4	совсем не	4	12
5	и не	56	11
6	и есть	9	10
7	в эпоху	2	9
8	что в	11	9
9	жизни и	7	8
10	в том	35	8
11	он не	10	8
12	не будет	3	7
13	может быть	39	7
14	как и	15	7
15	в этом	25	7
16	это есть	5	7
17	никогда не	7	6
18	ни в	17	6
19	не в	21	6
20	но это	13	6
21	не только	33	5
22	все это	9	5
23	в нем	13	5
24	с ее	5	5
25	в ней	12	5
26	истории в	2	5
27	и к	9	5
28	и общественной	2	5
29	xix века	2	5
30	по своему	6	4
31	в них	6	4
32	xix и	2	4
33	и для	5	4
34	не имеет	12	4
35	прежде всего	13	4
36	не менее	24	4
37	не было	6	4
38	и потому	13	4
39	перестает быть	3	4
40	то что	42	4
41	о том	14	4
42	это не	10	4
43	потому что	40	4
44	и все	13	4
45	значит что	13	4
46	в ночи	2	3
47	смысле слова	19	3
48	тому как	2	3
49	но и	20	3
50	подобно тому	3	3
51	с другой	14	3
52	не значит	3	3
53	в ее	6	3
54	она не	3	3
55	к тому	4	3
56	что такое	4	3
57	в своей	8	3
58	еще не	12	3
59	жизни не	2	3
60	в истории	4	3
61	в новое	3	3
62	как в	10	3
63	конечно не	3	3
64	не есть	57	3
65	за пределы	6	3
66	сказать что	24	3
67	во всех	4	3
68	вопрос о	2	3
69	это было	4	3
70	не существует	6	3
71	в основе	3	3
72	с тем	9	3
73	время как	6	2
74	в себе	23	2
75	что она	5	2
76	будет уже	2	2
77	как будто	11	2
78	все они	5	2
79	и с	11	2
80	формы и	3	2
81	для этого	9	2
82	себя в	4	2
83	но не	6	2
84	что все	2	2
85	и от	11	2
86	не могли	2	2
87	и начала	2	2
88	того чтобы	4	2
89	и это	11	2
90	хотя бы	6	2
91	не будут	2	2
92	когда мы	24	2
93	и весь	2	2
94	же как	5	2
95	а в	9	2
96	все время	2	2
97	и общества	3	2
98	но в	17	2
99	том что	25	2
100	не к	2	2
101	и на	4	2
102	с этим	5	2
103	в природе	2	2
104	есть в	6	2
105	и что	9	2
106	все эти	14	2
107	мы не	15	2
108	в смысле	2	2
109	не имеют	4	2
110	можно было	7	2
111	это и	11	2
112	вернуться к	2	2
113	ни одна	2	2
114	самой жизни	2	2
115	времени и	4	2
116	равно как	2	2
117	от всякого	3	2
118	уже не	12	2
119	по существу	2	2
120	с их	2	2
121	для чего	3	2
122	как это	4	2
123	другой стороны	11	2
124	так же	11	2
125	так и	16	2
126	ни к	3	2
127	такого рода	14	2
128	могут быть	2	2
129	но для	3	2
130	одной стороны	2	2
131	быть в	2	2
132	все категории	2	2
133	но она	2	2
134	если нет	2	2
135	в то	18	2
136	который в	2	2
137	хотя и	9	2
138	мы говорим	8	2
139	этом смысле	5	2
140	с одной	3	2
141	и даже	21	2
142	более не	2	2
143	вместе с	3	2
