N	2gram	Bakhtin_Pr	Formalny
1	и в	64	95
2	т е	44	94
3	и не	55	78
4	может быть	43	66
5	в этом	33	61
6	не может	26	57
7	и пр	5	53
8	вовсе не	12	53
9	таким образом	15	52
10	и его	21	51
11	так и	8	50
12	точки зрения	31	47
13	в нем	28	42
14	в его	30	42
15	прежде всего	16	41
16	с точки	21	40
17	как и	25	39
18	и т	14	37
19	художественного произведения	2	36
20	не в	15	35
21	в самом	17	35
22	в процессе	6	34
23	а не	29	34
24	но и	26	33
25	то же	18	32
26	самом деле	10	32
27	не только	26	30
28	в пределах	24	28
29	в том	12	26
30	если бы	12	26
31	то что	21	25
32	на самом	5	24
33	при этом	8	24
34	в своей	11	24
35	лишь в	4	24
36	на почве	5	24
37	в ней	2	23
38	связи с	3	23
39	было бы	8	23
40	с помощью	2	23
41	в то	15	22
42	и ее	5	22
43	в истории	2	21
44	как бы	33	21
45	что в	11	21
46	и с	9	21
47	в их	6	20
48	не менее	3	20
49	между ними	6	20
50	и от	3	20
51	входит в	9	20
52	как мы	13	20
53	же время	13	20
54	не могут	10	19
55	все это	9	19
56	хотя бы	4	19
57	т д	4	19
58	по себе	16	19
59	т п	10	18
60	все же	11	18
61	и все	6	18
62	все эти	13	18
63	должна быть	8	18
64	с его	11	18
65	и их	3	18
66	только в	13	18
67	социальной жизни	2	17
68	более того	8	17
69	именно как	2	17
70	идеологического творчества	2	17
71	произведения в	2	17
72	как в	7	17
73	как раз	9	17
74	так же	8	16
75	во всяком	7	16
76	совершенно не	5	16
77	с другой	7	16
78	потому что	8	16
79	всяком случае	4	16
80	его в	8	15
81	все время	3	15
82	но в	14	15
83	в поэзии	2	15
84	бы в	7	15
85	с другими	8	15
86	так как	9	15
87	должно быть	8	15
88	во всех	4	15
89	в литературе	4	15
90	именно в	5	15
91	и на	16	15
92	что он	15	14
93	только на	3	14
94	в целом	8	14
95	в ее	2	14
96	в своем	12	14
97	еще не	10	14
98	в жизни	5	14
99	в этой	5	14
100	если мы	3	14
101	и потому	7	14
102	произведения и	2	14
103	в единстве	9	14
104	жизни и	3	14
105	до конца	10	13
106	в настоящее	3	13
107	настоящее время	3	13
108	того что	3	13
109	говорит он	6	13
110	а в	10	13
111	что же	9	13
112	могут быть	9	13
113	что и	7	13
114	в результате	7	13
115	она не	10	13
116	тем что	6	13
117	ни в	5	13
118	как таковой	2	13
119	как его	4	13
120	по отношению	12	12
121	того чтобы	2	12
122	лишь как	9	12
123	там где	12	12
124	и здесь	6	12
125	к тому	4	12
126	отношению к	12	12
127	и для	7	12
128	оно не	3	12
129	уже не	15	12
130	никогда не	11	11
131	этом отношении	3	11
132	это и	5	11
133	они не	5	11
134	в основе	4	11
135	так сказать	9	11
136	в большинстве	11	11
137	но не	12	11
138	то ни	3	11
139	слова и	8	11
140	произведения как	2	11
141	для него	23	11
142	лишь для	2	11
143	зависимости от	5	11
144	между тем	7	11
145	не о	3	10
146	не есть	4	10
147	не как	20	10
148	его целом	6	10
149	друг друга	4	10
150	каждый элемент	3	10
151	и др	7	10
152	в художественном	6	10
153	дело идет	6	10
154	в зависимости	5	10
155	мы не	4	10
156	не было	5	10
157	по существу	6	10
158	бы то	3	10
159	другой стороны	6	10
160	в первом	2	10
161	и как	9	10
162	в своих	4	10
163	большинстве случаев	10	10
164	раз и	6	10
165	конечно не	4	10
166	он не	14	10
167	на фоне	5	10
168	если же	7	10
169	в слове	3	10
170	тем же	3	10
171	быть и	2	9
172	ничего не	8	9
173	является лишь	4	9
174	для понимания	4	9
175	здесь не	7	9
176	но это	6	9
177	и до	6	9
178	в каждом	15	9
179	бы ни	3	9
180	менее всего	7	9
181	и даже	5	9
182	но ведь	3	9
183	у нас	3	9
184	не могло	2	9
185	еще более	2	9
186	ни было	4	9
187	со всею	5	9
188	отношения к	5	9
189	это не	12	8
190	в других	2	8
191	была бы	5	8
192	между собой	2	8
193	до сих	9	8
194	в конкретном	3	8
195	в них	5	8
196	же как	2	8
197	для этого	3	8
198	что это	2	8
199	не должна	3	8
200	с этим	3	8
201	в данном	2	8
202	всех этих	2	8
203	сих пор	9	8
204	и является	2	8
205	всего этого	2	8
206	и к	5	8
207	в сторону	2	8
208	и понимания	4	7
209	вот как	3	7
210	следовательно и	3	7
211	том что	8	7
212	в себе	11	7
213	в одной	8	7
214	как их	4	7
215	как к	3	7
216	а вовсе	2	7
217	или менее	4	7
218	данной социальной	2	7
219	установка на	4	7
220	стороны и	4	7
221	более или	4	7
222	является для	3	7
223	не входит	5	7
224	в сущности	10	7
225	не на	7	7
226	войти в	2	7
227	известной степени	2	7
228	сказать что	4	7
229	единство произведения	2	7
230	и всякое	3	7
231	и наконец	7	7
232	и только	3	7
233	в какой	2	7
234	но все	6	7
235	сами по	4	7
236	из них	3	7
237	он и	8	7
238	в той	5	7
239	мы увидим	6	7
240	же и	5	7
241	от этого	2	7
242	данном случае	2	6
243	в которой	2	6
244	в направлении	4	6
245	и лишь	2	6
246	материал и	4	6
247	в конце	8	6
248	отношение к	4	6
249	в россии	2	6
250	на этом	2	6
251	в формах	3	6
252	его и	3	6
253	и это	8	6
254	тому что	3	6
255	в этих	5	6
256	те же	3	6
257	не из	3	6
258	один из	3	6
259	нисколько не	3	6
260	он был	2	6
261	этого слова	3	6
262	должны быть	3	6
263	ее в	3	6
264	из этих	3	6
265	особенно в	2	6
266	за пределы	7	6
267	отличается от	5	6
268	кроме того	5	6
269	но для	3	6
270	такой же	4	6
271	от нее	2	6
272	например в	5	6
273	о том	5	6
274	по преимуществу	2	6
275	их в	8	6
276	в смысле	3	6
277	в произведении	7	6
278	социальной группы	2	6
279	уже в	5	6
280	только не	2	6
281	сам по	2	6
282	материал в	2	6
283	именно на	3	6
284	в плоскости	6	6
285	с ним	8	6
286	той же	8	6
287	даже в	6	5
288	мы должны	3	5
289	функции в	2	5
290	что оно	2	5
291	от того	4	5
292	или же	2	5
293	эти определения	2	5
294	к которому	2	5
295	в виду	3	5
296	а как	11	5
297	в основном	2	5
298	мы уже	4	5
299	может стать	5	5
300	отличие от	4	5
301	всего в	2	5
302	в него	6	5
303	видения и	11	5
