N	2gram	Losev_Dial	Tragedij
1	и в	35	18
2	в этом	18	9
3	не только	26	8
4	и не	51	7
5	он сам	6	7
6	как бы	19	7
7	и с	10	7
8	может быть	30	7
9	же время	9	6
10	что он	16	6
11	но в	8	6
12	и его	6	6
13	у него	2	6
14	несмотря на	12	5
15	что это	21	5
16	все же	9	5
17	это не	18	5
18	то же	21	5
19	как и	10	5
20	в дальнейшем	6	5
21	так и	18	5
22	не может	16	5
23	а я	3	5
24	в то	10	5
25	он всегда	3	4
26	что в	19	4
27	еще не	4	4
28	но и	17	4
29	прежде всего	14	4
30	об этом	7	4
31	том что	18	4
32	в этой	3	4
33	и что	17	4
34	так же	6	4
35	и все	11	4
36	все это	14	4
37	в нем	25	4
38	что я	5	4
39	то что	25	4
40	но это	12	4
41	я не	9	4
42	и даже	23	4
43	в себе	23	4
44	один из	3	3
45	и как	14	3
46	в мире	3	3
47	уже в	5	3
48	к нему	12	3
49	в своем	7	3
50	при этом	2	3
51	в его	4	3
52	что с	2	3
53	все эти	4	3
54	мог бы	3	3
55	и он	6	3
56	отнюдь не	13	3
57	о чем	4	3
58	как будто	7	3
59	никто не	2	3
60	должно быть	7	3
61	как в	3	3
62	как это	8	3
63	жизнь и	5	3
64	для него	2	3
65	в конце	5	3
66	с ним	9	3
67	никогда не	18	2
68	в самом	6	2
69	и то	15	2
70	но все	5	2
71	с тем	2	2
72	ее к	2	2
73	даже если	4	2
74	точно так	3	2
75	тем что	2	2
76	перед нами	3	2
77	в душе	8	2
78	она должна	2	2
79	вопрос о	3	2
80	в одном	4	2
81	его в	3	2
82	не имеет	15	2
83	в виде	2	2
84	раз и	2	2
85	ничего не	19	2
86	то и	3	2
87	состоит из	3	2
88	в данном	5	2
89	не могут	4	2
90	как же	8	2
91	в ее	3	2
92	но эта	4	2
93	что все	2	2
94	к тому	6	2
95	говорит о	6	2
96	от всего	2	2
97	о том	8	2
98	что и	7	2
99	ни в	20	2
100	тут же	2	2
101	не в	12	2
102	это уже	2	2
103	потому что	23	2
104	что этот	3	2
105	не просто	19	2
106	и я	3	2
107	в частности	4	2
108	только о	3	2
109	как у	3	2
110	в таком	4	2
111	еще раз	2	2
112	так что	21	2
113	он не	5	2
114	ничем не	4	2
115	бы и	4	2
116	уже не	3	2
117	только к	2	2
118	что она	18	2
119	что эти	3	2
120	и это	6	2
121	говорит что	3	2
122	на меня	2	2
123	личности и	2	2
124	но они	2	2
125	в том	20	2
126	с первого	2	2
127	и до	2	2
128	чем он	2	2
129	не был	3	2
130	еще в	2	2
131	он и	2	2
132	времени в	2	2
133	отношение к	5	2
