N	2gram	Medvedev_V	Dialekti
1	т е	18	159
2	и не	20	120
3	и т	25	82
4	по себе	2	79
5	а не	7	78
6	и в	26	77
7	т д	16	75
8	точки зрения	3	72
9	может быть	23	71
10	не только	26	66
11	значит что	2	61
12	то что	7	59
13	и есть	5	55
14	не может	17	53
15	и даже	2	47
16	как бы	5	43
17	вовсе не	3	41
18	в том	15	40
19	что такое	2	39
20	в этом	29	39
21	то же	10	39
22	в себе	6	38
23	что она	2	38
24	том что	8	37
25	что он	4	37
26	прежде всего	13	37
27	это не	7	36
28	что в	11	34
29	в нем	7	34
30	того что	3	33
31	но и	10	32
32	все это	13	31
33	и как	3	30
34	отнюдь не	4	30
35	сказать что	5	30
36	так и	6	29
37	было бы	8	29
38	как и	7	28
39	никогда не	5	27
40	крайней мере	2	26
41	по крайней	2	26
42	в виду	4	26
43	не в	6	26
44	говорить о	2	25
45	если бы	3	24
46	в то	6	23
47	это и	6	23
48	что оно	3	23
49	таким образом	32	23
50	она не	3	21
51	что не	3	21
52	должна быть	2	21
53	в чем	2	21
54	что все	4	20
55	только в	8	20
56	как раз	4	20
57	что и	3	20
58	о том	10	20
59	в своем	8	19
60	что мы	2	19
61	как это	12	19
62	не менее	2	19
63	тогда когда	2	19
64	в самом	4	19
65	и его	6	19
66	с другой	11	18
67	хотя бы	20	18
68	же время	5	18
69	жизни и	3	18
70	можно сказать	4	17
71	должно быть	2	17
72	в особенности	2	17
73	в своей	4	16
74	только не	2	16
75	да и	2	16
76	то это	2	16
77	об этом	9	16
78	только что	4	15
79	также и	2	15
80	все же	6	15
81	так же	3	15
82	хотя и	2	15
83	же и	3	15
84	на то	2	15
85	и потому	2	14
86	и ее	4	14
87	ни с	2	14
88	даже и	3	14
89	не было	7	14
90	в силу	14	13
91	но в	2	13
92	в ней	2	13
93	отличается от	2	13
94	говорит о	7	13
95	он не	2	13
96	что они	3	13
97	другой стороны	8	13
98	и к	3	13
99	могут быть	8	12
100	еще не	2	12
101	все эти	8	12
102	никак не	3	12
103	именно в	3	12
104	перед нами	5	12
105	не могут	10	12
106	но как	3	12
107	даже не	2	12
108	а в	3	12
109	и может	2	12
110	с этим	3	12
111	но не	2	12
112	не о	2	11
113	должны быть	2	11
114	от того	2	11
115	его не	3	11
116	в них	5	11
117	мы имеем	3	11
118	только то	2	11
119	из них	11	11
120	или в	3	11
121	идеи и	6	10
122	к тому	5	10
123	в ее	4	10
124	е в	2	10
125	в его	15	10
126	нет ни	2	10
127	для того	3	10
128	себе и	2	10
129	и для	2	10
130	что для	4	10
131	чтобы не	2	10
132	в их	5	10
133	в частности	12	10
134	можно ли	2	10
135	во всяком	2	10
136	в результате	5	10
137	в жизни	2	10
138	только о	2	10
139	как он	3	9
140	и по	3	9
141	иметь в	2	9
142	подобно тому	3	9
143	между собою	2	9
144	в котором	3	9
145	тому как	3	9
146	в одном	5	9
147	или иной	2	9
148	и от	3	9
149	утверждать что	5	9
150	тому что	7	9
151	же как	2	9
152	с ними	4	9
153	и он	3	9
154	в противоположность	3	9
155	всех этих	3	9
156	бы в	3	9
157	та или	3	9
158	как о	3	9
159	на этом	2	9
160	или иная	3	8
161	в этой	4	8
162	по одному	2	8
163	того или	2	8
164	у нас	3	8
165	с одной	2	8
166	но вот	2	8
167	и значит	2	8
168	даже в	5	8
169	при помощи	3	8
170	один из	6	8
171	вот почему	5	8
172	бы и	6	8
173	нет и	3	8
174	в сфере	2	8
175	это мы	3	8
176	в конце	3	7
177	из этих	7	7
178	и при	5	7
179	связи с	5	7
180	в связи	4	7
181	понимать как	2	7
182	не всегда	2	7
183	мира и	3	7
184	с его	4	7
185	зависимости от	5	7
186	и их	3	7
187	заключается в	2	7
188	но для	2	7
189	из которых	2	7
190	он сам	2	7
191	как на	3	7
192	еще и	2	6
193	в другом	2	6
194	на основании	8	6
195	с тем	4	6
196	они не	2	6
197	более или	6	6
198	того чтобы	3	6
199	в зависимости	6	6
200	при всем	3	6
201	одна из	4	6
202	в которой	2	6
203	что нет	2	6
204	не быть	2	6
205	но с	2	6
206	вместе с	8	6
207	его в	3	6
208	о чем	2	6
209	или менее	6	6
210	в науке	2	6
211	у пушкина	2	6
212	по существу	4	6
213	одной стороны	2	6
214	этой точки	2	6
215	можно было	2	6
216	того как	2	6
217	показывает что	2	6
218	во всех	7	6
219	стороны и	2	6
220	для него	9	6
221	не с	2	6
222	ее в	4	6
223	всяком случае	2	6
224	может не	2	6
225	уже по	2	5
226	говорил что	3	5
227	действительности и	7	5
228	если в	2	5
229	ли это	2	5
230	но даже	3	5
231	которая не	2	5
232	не является	5	5
233	и наконец	2	5
234	в целях	2	5
235	сих пор	2	5
236	например в	3	5
237	что у	3	5
238	он может	2	5
239	их в	7	5
240	в своих	2	5
241	когда он	4	5
242	конце концов	2	5
243	вплоть до	2	5
244	и у	2	5
245	в области	2	5
246	после этого	2	5
247	нет никаких	2	5
248	все его	2	5
249	в качестве	12	5
250	к этому	9	5
251	что его	2	5
252	в течение	2	5
253	зависит от	2	5
254	он и	2	5
255	до сих	2	5
256	и слова	2	4
257	человека и	3	4
258	в каждом	2	4
259	а как	2	4
260	это только	4	4
261	у них	2	4
262	что ни	2	4
263	мы знаем	3	4
264	что даже	2	4
265	представить себе	2	4
266	только для	2	4
267	ни один	8	4
268	из себя	2	4
269	главным образом	7	4
270	равно как	4	4
271	эти вопросы	2	4
272	том как	3	4
273	я бы	2	4
274	т п	9	4
275	одному тому	2	4
276	в общем	2	4
277	говорить не	3	4
278	с нею	2	4
279	как например	2	4
280	к ним	2	4
281	этом отношении	14	4
282	у него	6	4
283	не по	2	4
284	явлений и	3	4
285	будто бы	2	4
286	образа в	2	4
287	же в	7	4
288	же самое	2	4
289	чем же	4	4
290	очевидно что	7	3
291	никаких оснований	2	3
292	от его	2	3
293	могут не	2	3
294	должен быть	4	3
295	в искусстве	6	3
296	одной из	2	3
297	и этот	2	3
298	вот это	2	3
299	но то	2	3
300	о своем	2	3
301	несколько примеров	2	3
302	на него	2	3
303	лишь в	2	3
304	все они	2	3
305	понятно что	2	3
306	как у	2	3
307	самый факт	2	3
308	как известно	2	3
309	далеко не	3	3
310	но к	2	3
311	стороны в	2	3
312	в которых	3	3
313	от характера	2	3
314	и сводится	4	3
315	является не	4	3
316	момент в	3	3
317	вслед за	3	3
318	же о	2	3
319	только с	2	3
320	утверждает что	3	3
321	познания и	4	3
322	во время	4	3
323	во всей	2	3
324	не приходится	2	3
325	в сознании	4	3
326	с другими	2	3
327	силу этого	4	3
328	бы не	2	3
