N	3gram	Propp_Isto	formyVre
1	в связи с	5	15
2	друг с другом	3	13
3	но и в	4	12
4	не только в	5	11
5	до сих пор	11	10
6	в большинстве случаев	4	8
7	и т д	35	7
8	в отличие от	3	7
9	не может быть	8	7
10	с одной стороны	7	6
11	в том что	6	5
12	мы имеем в	4	5
13	в то время	3	5
14	то время как	3	4
15	в этом случае	3	4
16	с другой стороны	7	4
17	но все же	7	4
18	по отношению к	6	4
19	то же самое	3	3
20	в другом месте	2	3
21	в зависимости от	3	3
22	о том как	2	3
23	о том что	5	3
24	вместе с тем	7	3
25	так же как	6	3
26	с самого начала	4	3
27	как мы увидим	2	3
28	со всех сторон	4	2
29	и должно быть	2	2
30	том что они	3	2
31	соответствии с этим	2	2
32	с тем что	3	2
33	связаны друг с	2	2
34	дело в том	3	2
35	и вместе с	2	2
36	с этим в	2	2
37	борьбы с природой	2	2
