N	3gram	Bakhtin_Fr	Tvorches
1	в то же	14	25
2	то же время	14	24
3	в том что	8	11
4	о том что	5	8
5	и в то	3	7
6	но в то	6	6
7	не может быть	4	6
8	в самом деле	2	5
9	в одной из	2	4
10	с точки зрения	5	4
11	с самого начала	3	4
12	до сих пор	3	4
13	в первой части	3	4
14	дело в том	4	4
15	в известной мере	5	3
16	с другой стороны	2	3
17	является одним из	2	3
18	в ту эпоху	2	3
19	в отличие от	3	3
20	не только для	2	2
21	на самом деле	4	2
22	потому что он	3	2
23	для того чтобы	8	2
24	можно сказать что	4	2
25	мы уже говорили	7	2
26	в связи с	5	2
27	том числе и	3	2
28	вместе с тем	2	2
29	так же как	4	2
30	в данном случае	4	2
31	в том числе	6	2
32	к тому же	3	2
33	таким образом и	2	2
