N	3gram	Losev_Vesc	EvropaiE
1	с точки зрения	6	16
2	в то же	5	15
3	то же время	4	14
4	в отношении к	2	12
5	с одной стороны	3	8
6	и в то	3	8
7	в том что	9	6
8	этой точки зрения	3	5
9	для того чтобы	2	5
10	с этой точки	3	5
11	так же как	2	5
12	то ни было	12	4
13	бы то ни	12	4
14	не только в	5	4
15	и в этом	2	4
16	само по себе	4	4
17	ту или иную	3	3
18	во всяком случае	2	3
19	в применении к	2	3
20	как бы ни	2	3
21	в этом отношении	2	3
22	в последние годы	2	3
23	можно сказать что	3	3
24	в этом смысле	2	3
25	хотя бы и	2	3
26	можно было бы	3	3
27	друг с другом	2	3
28	в той или	2	3
29	из того что	3	2
30	есть не только	2	2
31	в данном случае	2	2
32	хотя бы в	2	2
33	с другой стороны	3	2
34	на то что	7	2
35	и в частности	2	2
36	заключается в том	3	2
37	в свою очередь	5	2
38	по сравнению с	7	2
39	не может быть	22	2
40	в данной области	2	2
