N	3gram	Vinokur_Vv	Hudozhes
1	по отношению к	4	10
2	в том что	15	8
3	в то же	6	7
4	в отличие от	4	7
5	то же время	6	7
6	с другой стороны	5	6
7	состоит в том	2	5
8	для того чтобы	22	5
9	той или иной	3	5
10	так или иначе	4	4
11	не может быть	10	4
12	одно и то	2	3
13	и то же	2	3
14	с точки зрения	4	3
15	с одной стороны	4	3
16	тем не менее	9	3
17	подобно тому как	2	3
18	в этом смысле	10	3
19	в связи с	2	3
20	можно сказать что	3	3
21	и того же	2	3
22	и в самом	3	3
23	одного и того	2	3
24	тем или иным	2	2
25	может быть названо	4	2
26	в известном смысле	3	2
27	этой точки зрения	2	2
28	в самом деле	6	2
29	с этой точки	2	2
30	значении этого термина	2	2
31	может быть и	2	2
32	тех или иных	3	2
33	сама по себе	3	2
34	в свою очередь	2	2
