N	3gram	Bakhtin_sl	KulturaY
1	и т п	49	93
2	и т д	7	42
3	с точки зрения	11	36
4	в том что	4	33
5	можно было бы	2	25
6	во всяком случае	7	19
7	тем не менее	2	19
8	с другой стороны	5	17
9	в зависимости от	4	16
10	до сих пор	4	14
11	по отношению к	2	13
12	в связи с	2	12
13	в этом отношении	2	11
14	не может быть	11	11
15	о том что	2	10
16	того или иного	2	9
17	не только в	3	8
18	в этом случае	4	8
19	с одной стороны	7	7
20	в свою очередь	3	7
21	в то же	15	6
22	той или иной	13	6
23	т п но	2	6
24	хотя бы и	5	6
25	то же время	15	6
26	в отличие от	12	6
27	более или менее	5	5
28	так и в	5	5
29	т п в	2	5
30	в данном случае	3	5
31	и в этом	2	5
32	как мы видели	2	5
33	в первом случае	2	4
34	к тому что	2	4
35	в том и	2	4
36	в большей или	3	3
37	точки зрения на	4	3
38	в лучшем случае	3	3
39	не могут быть	3	3
40	в то время	2	3
41	или меньшей степени	3	3
42	те или иные	4	3
43	в известном смысле	2	3
44	большей или меньшей	5	3
45	уже не только	2	3
46	сама по себе	2	3
47	и то же	2	2
48	эта установка на	2	2
49	то же слово	2	2
50	свое выражение в	3	2
51	а следовательно и	2	2
52	в широком смысле	3	2
53	и там где	5	2
54	в большинстве случаев	11	2
55	не выходит за	3	2
56	таким образом в	4	2
57	может быть и	2	2
58	в собственном смысле	2	2
59	мы не знаем	2	2
60	это не значит	2	2
61	в узком смысле	13	2
62	и в другом	2	2
63	может быть только	3	2
64	рано или поздно	2	2
65	и в особенности	5	2
66	и в том	2	2
67	каждый данный момент	4	2
68	несколько слов о	2	2
69	и в то	6	2
70	в каждый данный	5	2
71	в той или	12	2
72	а вовсе не	4	2
73	лишь тогда когда	2	2
