N	2gram	Medvedev_U	Tvorches
1	и в	14	56
2	в его	2	37
3	в то	3	30
4	то же	5	25
5	не только	10	24
6	но в	3	24
7	же время	3	24
8	и не	8	23
9	как и	3	23
10	в этом	7	22
11	в том	2	21
12	том что	2	19
13	может быть	6	19
14	то что	7	18
15	что он	2	17
16	все это	5	17
17	таким образом	2	17
18	прежде всего	8	16
19	не может	7	16
20	но и	4	16
21	в этой	4	15
22	с его	2	15
23	но это	2	15
24	и с	2	15
25	это не	3	14
26	а не	10	13
27	все же	3	11
28	в своей	3	11
29	для него	3	11
30	в конце	2	10
31	не в	2	10
32	по нашему	3	10
33	но не	2	10
34	нашему мнению	3	10
35	в самом	2	10
36	только в	2	10
37	в себе	2	8
38	в их	4	8
39	это уже	2	8
40	одним из	2	8
41	самом деле	2	7
42	что она	2	7
43	не случайно	2	7
44	на эту	2	6
45	не столько	2	6
46	хотя бы	5	6
47	конечном счете	4	6
48	если бы	2	6
49	в конечном	4	6
50	ничего не	2	5
51	и у	2	5
52	что и	2	5
53	мы не	2	5
54	в россии	4	5
55	между тем	2	5
56	с другой	4	5
57	если не	2	5
58	крайней мере	2	4
59	и через	2	4
60	в частности	3	4
61	что все	2	4
62	могут быть	2	4
63	сих пор	2	4
64	же не	2	4
65	превращается в	2	4
66	тем что	2	4
67	его и	2	4
68	по крайней	2	4
69	до сих	2	4
70	не есть	2	3
71	в области	3	3
72	в искусстве	6	3
73	другой стороны	3	3
74	вот почему	7	3
75	не все	2	3
76	у нас	3	3
77	по себе	2	3
78	сводится к	2	3
79	вряд ли	3	3
80	и только	5	3
81	не могут	2	2
82	о чем	2	2
83	но даже	2	2
84	является в	2	2
85	а как	2	2
86	интереса к	2	2
87	надо было	2	2
88	в художественном	5	2
89	было бы	3	2
90	всех этих	2	2
91	при таком	2	2
92	художественное произведение	5	2
93	этой области	3	2
94	думается что	2	2
95	и является	2	2
96	а между	2	2
97	представляется нам	2	2
98	конце концов	2	2
99	как раз	2	2
100	нам представляется	2	2
