N	3gram	Tiupa_Disk	TeoriaLi
1	в том что	18	10
2	по отношению к	13	10
3	не сводится к	4	9
4	в то же	7	8
5	то же время	9	8
6	в отличие от	12	7
7	в конечном счете	2	6
8	состоит в том	3	6
9	с другой стороны	4	6
10	более или менее	2	6
11	того или иного	2	6
12	в данном случае	6	5
13	не может быть	5	5
14	в силу своей	2	4
15	и того же	4	4
16	одного и того	4	4
17	ни в мире	2	3
18	тот или иной	2	3
19	по сути дела	3	3
20	с точки зрения	3	3
21	с одной стороны	12	3
22	в том числе	3	3
23	подобно тому как	4	3
24	той или иной	6	3
25	можно сказать что	3	3
26	в равной степени	2	3
27	по своей природе	3	3
28	несет в себе	3	3
29	в свою очередь	3	3
30	одно и то	2	2
31	в русской литературе	2	2
32	и то же	2	2
33	до известной степени	2	2
34	и в форме	2	2
35	сказания или анекдота	2	2
36	тогда как в	5	2
37	как к содержанию	2	2
38	а с другой	4	2
39	в значительной степени	3	2
40	том числе и	3	2
41	по сути своей	2	2
42	мы имеем дело	3	2
43	в соответствии с	4	2
44	в рамках которого	2	2
45	со стороны адресата	2	2
46	и в то	2	2
47	как и в	3	2
48	в этом мире	2	2
49	индивидуального речевого замысла	2	2
50	в основе своей	4	2
