N	3gram	Vinokur_Ku	Morfolog
1	и т д	21	60
2	в этом случае	4	10
3	не может быть	5	9
4	в связи с	4	9
5	по отношению к	8	7
6	с точки зрения	16	6
7	тем не менее	9	6
8	с другой стороны	12	5
9	на самом деле	3	4
10	но все же	3	4
11	в том что	23	4
12	к тому что	2	4
13	о том что	6	3
14	в том случае	3	3
15	в настоящее время	2	3
16	состоит в том	4	3
17	мы приходим к	2	3
18	для того чтобы	21	3
19	и пр и	2	3
20	в большинстве случаев	2	3
21	на то что	3	3
22	том случае если	3	2
23	в тех случаях	2	2
24	в таких случаях	3	2
25	во всяком случае	8	2
26	дело не в	3	2
27	к вопросу о	3	2
28	мы увидим что	2	2
29	не что иное	2	2
30	что иное как	2	2
31	более или менее	3	2
32	в этом отношении	8	2
33	в иных случаях	3	2
34	и тем не	4	2
35	точно так же	4	2
36	тех случаях когда	2	2
37	о том как	3	2
38	можно было бы	11	2
39	с одной стороны	2	2
