N	2gram	Propp_Isto	slovoVRo
1	и в	41	92
2	и т	29	82
3	в нем	12	59
4	может быть	19	59
5	и его	11	59
6	и не	12	51
7	не только	30	44
8	не может	19	41
9	но и	20	39
10	в этом	19	36
11	а не	9	34
12	во всех	8	32
13	так и	8	30
14	точки зрения	4	30
15	могут быть	3	29
16	и др	4	29
17	в его	4	27
18	все это	9	25
19	как бы	8	24
20	то же	12	23
21	и на	12	22
22	не в	12	21
23	как в	17	21
24	вовсе не	6	21
25	в то	6	20
26	прежде всего	6	19
27	как мы	6	19
28	как и	8	18
29	с ним	9	18
30	все же	14	17
31	оно не	2	17
32	все эти	8	17
33	в основе	2	17
34	и даже	3	17
35	таким образом	15	17
36	к своему	4	16
37	при этом	7	16
38	в них	4	16
39	но в	7	16
40	там где	7	15
41	и с	4	15
42	со своим	4	15
43	только в	10	14
44	это не	14	13
45	с его	4	13
46	в особенности	2	13
47	с другой	20	13
48	никогда не	16	12
49	отношение к	6	12
50	а в	12	12
51	или в	11	12
52	во всяком	3	12
53	и наконец	6	12
54	еще не	13	12
55	один из	7	11
56	на его	6	11
57	с ними	2	11
58	одной стороны	12	11
59	в этих	16	11
60	всех его	2	11
61	с одной	12	11
62	в своем	3	10
63	в том	14	10
64	и все	6	10
65	она не	3	10
66	в себе	3	10
67	всех этих	6	10
68	в него	4	10
69	т д	25	10
70	далеко не	3	10
71	уже не	8	10
72	его в	7	9
73	и от	5	9
74	и других	2	9
75	в основном	2	9
76	или менее	3	9
77	к нему	8	9
78	более или	3	9
79	в их	4	9
80	в своей	4	9
81	этом случае	4	9
82	сказать что	5	9
83	одна из	7	9
84	так как	21	9
85	героя и	5	9
86	но не	8	9
87	конечно не	2	9
88	он не	8	9
89	не могут	3	8
90	в одной	3	8
91	в зависимости	3	8
92	в ней	4	8
93	все время	2	8
94	с этим	3	8
95	и часто	2	8
96	зависимости от	4	8
97	в самом	2	8
98	для нас	8	8
99	всяком случае	3	8
100	перед нами	4	7
101	том что	18	7
102	от него	6	7
103	друг друга	2	7
104	его не	4	7
105	того же	3	7
106	ту же	3	7
107	но здесь	5	7
108	в целом	2	7
109	связи с	3	7
110	например в	6	7
111	у него	16	7
112	здесь не	4	7
113	но все	5	7
114	связанные с	3	7
115	жизни и	3	7
116	на своем	4	7
117	не было	3	7
118	кроме того	6	7
119	во всем	2	7
120	мы уже	10	7
121	даже в	2	6
122	ничего не	7	6
123	которые в	3	6
124	а также	2	6
125	что в	21	6
126	ни в	4	6
127	дело с	2	6
128	в качестве	5	6
129	можно сказать	3	6
130	другой стороны	17	6
131	лежит в	2	6
132	и там	6	6
133	и здесь	13	6
