N	2gram	Voloshinov	Komedia
1	и в	13	77
2	и не	8	47
3	в том	2	44
4	том что	2	42
5	в г	2	33
6	но и	3	32
7	может быть	8	30
8	таким образом	6	29
9	и его	12	28
10	в этом	2	27
11	к тому	2	26
12	не только	6	25
13	так как	3	24
14	как и	3	23
15	что в	3	23
16	если бы	2	22
17	в самом	2	22
18	так и	3	21
19	а в	2	21
20	то же	4	21
21	в его	7	20
22	тем что	2	17
23	в нем	2	17
24	все же	5	16
25	не менее	2	16
26	при этом	2	16
27	тот же	2	16
28	не в	3	15
29	точки зрения	7	15
30	между тем	2	15
31	прежде всего	9	15
32	было бы	4	15
33	в которой	3	15
34	все это	4	14
35	то что	6	13
36	самом деле	3	13
37	но в	4	13
38	в них	2	13
39	в двух	4	13
40	мы можем	4	13
41	в одном	3	13
42	так же	2	12
43	с другой	2	12
44	уже в	2	12
45	несмотря на	2	12
46	не может	8	12
47	как в	2	12
48	по отношению	3	11
49	в их	3	11
50	и для	3	11
51	в отношении	2	10
52	в целом	2	10
53	и все	3	10
54	в чем	2	10
55	мы не	4	10
56	с этим	3	10
57	с одной	2	10
58	как бы	6	10
59	еще в	2	10
60	в тех	2	9
61	одной стороны	2	9
62	в своей	4	9
63	а также	2	9
64	отношению к	3	9
65	вовсе не	2	9
66	говорить о	3	9
67	только в	6	9
68	в ней	2	9
69	и ее	2	8
70	тех пор	4	8
71	с самого	2	8
72	да и	3	8
73	другой стороны	2	8
74	бы в	2	8
75	с этой	2	8
76	в течение	2	8
77	г в	3	8
78	в себе	3	7
79	в другом	2	7
80	и к	2	7
81	самого начала	2	7
82	в руках	2	7
83	в связи	2	7
84	что они	2	7
85	хотя бы	5	7
86	не является	4	7
87	не имеет	2	7
88	и тем	2	6
89	в области	2	6
90	могут быть	2	6
91	до тех	4	6
92	в своих	2	6
93	с точки	5	6
94	а не	2	6
95	не мог	2	6
96	никогда не	3	5
97	его на	2	5
98	вслед за	2	5
99	в каждом	4	5
100	роль в	2	5
101	в ее	3	5
102	в действительности	2	5
103	в сознании	4	5
104	за пределы	3	5
105	с помощью	2	5
106	нуждается в	2	4
107	не столько	3	4
108	наконец в	2	4
109	к сожалению	2	4
110	что же	3	4
111	не на	2	4
112	здесь мы	3	4
113	нет ничего	2	4
114	и их	7	4
115	в пределах	3	4
116	мог бы	2	4
117	что эта	2	4
118	чем же	2	4
119	для себя	2	3
120	а как	2	3
121	от своего	2	3
122	ни одно	2	3
123	на две	2	3
124	от этого	2	3
125	мы понимаем	2	3
126	с ними	2	3
127	конечно в	2	3
128	и эта	5	3
129	и уже	3	3
130	с г	2	3
131	пути к	2	3
132	связанные с	2	3
133	соответствии с	2	3
134	разумеется что	2	3
135	во всем	2	3
136	еще и	4	2
137	к одному	3	2
138	те же	2	2
139	и следовательно	2	2
140	не как	3	2
141	связанных с	2	2
142	слово в	3	2
143	во времени	2	2
144	и при	2	2
145	со всей	3	2
146	общего с	3	2
147	в общем	2	2
148	зависимости от	2	2
149	в полном	2	2
150	мы видим	2	2
151	в зависимости	2	2
152	все эти	2	2
153	для исследования	2	2
154	и может	2	2
155	в которую	2	2
156	в этот	2	2
157	слова и	2	2
158	превращается в	3	2
159	и наиболее	2	2
160	представляет себе	2	2
161	для него	2	2
162	и является	2	2
163	ее в	2	2
164	от всех	2	2
165	мы уже	2	2
166	на фоне	4	2
