N	2gram	Potebnia_M	Vvedenie
1	и т	12	45
2	т д	5	39
3	в том	47	38
4	в этом	19	35
5	и в	48	35
6	том что	28	30
7	может быть	46	30
8	не только	32	26
9	для того	8	23
10	того чтобы	5	22
11	таким образом	24	21
12	не может	18	19
13	то что	37	19
14	потому что	82	18
15	со стороны	4	16
16	о том	7	16
17	только в	29	16
18	так как	20	15
19	языка и	5	15
20	и не	28	13
21	что в	30	13
22	в самом	11	13
23	в нем	16	13
24	в их	2	12
25	того что	24	12
26	что такое	2	12
27	точки зрения	4	12
28	в его	6	12
29	как на	6	12
30	этом смысле	2	11
31	в данном	3	11
32	то же	35	11
33	по себе	26	11
34	в ее	3	11
35	как мы	8	11
36	вопрос о	2	10
37	не в	24	10
38	прежде всего	6	10
39	но в	8	10
40	в той	2	10
41	между тем	19	10
42	из этих	10	9
43	тем не	7	9
44	и как	8	9
45	все же	3	9
46	смысле этого	9	9
47	но не	8	9
48	не менее	9	9
49	в истории	2	9
50	это не	2	8
51	о котором	2	8
52	с другой	8	8
53	а только	7	8
54	именно в	5	8
55	как нечто	3	8
56	и то	13	7
57	с течением	3	7
58	самом деле	5	7
59	сих пор	4	7
60	как и	22	7
61	как бы	10	7
62	течением времени	2	7
63	в большей	3	7
64	представить себе	5	7
65	но и	30	7
66	в разных	4	7
67	только как	9	7
68	было бы	16	7
69	до сих	4	7
70	сказать что	8	6
71	его в	6	6
72	не могут	7	6
73	как например	2	6
74	том чтобы	4	6
75	хотя бы	3	6
76	об этом	4	6
77	и даже	3	6
78	но если	2	6
79	тем что	13	6
80	в какой	3	6
81	на вопрос	2	6
82	так например	3	6
83	с тем	9	6
84	каждой из	3	6
85	и это	6	6
86	а в	14	6
87	уже не	11	6
88	в которых	5	6
89	могут быть	6	6
90	видеть что	2	6
91	в то	16	6
92	один из	7	6
93	и что	13	6
94	и его	4	6
95	все это	4	6
96	же время	8	6
97	этом случае	2	6
98	вовсе не	13	6
99	вместе с	22	6
100	данном случае	3	5
101	независимо от	10	5
102	есть и	3	5
103	и тем	8	5
104	а как	2	5
105	связь между	6	5
106	одним из	3	5
107	с этой	2	5
108	что он	8	5
109	так что	14	5
110	т п	7	5
111	в течение	2	5
112	что не	12	5
113	по своему	2	5
114	одно из	6	5
115	от этого	2	5
116	в различных	2	5
117	а потому	8	5
118	есть не	9	5
119	не есть	24	5
120	она есть	2	5
121	другой стороны	4	5
122	в них	9	5
123	уже в	10	5
124	в целом	5	5
125	всяком случае	3	5
126	внимание на	2	5
127	что и	16	5
128	языка в	6	5
129	говорить о	6	5
130	а не	22	5
131	в первом	5	5
132	хотя и	3	5
133	во всяком	4	5
134	да и	2	4
135	все более	2	4
136	должен был	2	4
137	само по	6	4
138	языке и	4	4
139	одной стороны	4	4
140	в области	3	4
141	по отношению	12	4
142	в каждом	6	4
143	только что	12	4
144	этом отношении	2	4
145	из двух	4	4
146	это только	2	4
147	как о	3	4
148	еще не	9	4
149	времени и	2	4
150	по мере	12	4
151	по крайней	8	4
152	отношению к	10	4
153	в чем	6	4
154	отличие от	2	4
155	с одной	8	4
156	заключается в	2	4
157	к тому	9	4
158	одной из	3	4
159	но все	2	4
160	не имеет	10	4
161	так или	2	4
162	в котором	7	4
163	в виде	3	4
164	в более	4	4
165	ответ на	3	4
166	тогда когда	20	4
167	в одном	4	4
168	из них	11	4
169	в себе	26	4
170	как она	2	4
171	с точки	3	4
172	быть названо	2	4
173	крайней мере	8	4
174	в своей	2	4
175	можно сказать	4	4
176	той же	6	4
177	так называемых	3	4
178	никогда не	2	3
179	в каком	8	3
180	отношений между	2	3
181	и вообще	4	3
182	что это	6	3
183	только по	5	3
184	на нее	2	3
185	в своем	6	3
186	и той	4	3
187	с этим	12	3
188	так же	6	3
189	как оно	2	3
190	в начале	3	3
191	в собственном	3	3
192	например что	2	3
193	что уже	2	3
194	бы и	4	3
195	и наоборот	5	3
196	что она	4	3
197	к этому	3	3
198	не как	3	3
199	что собственно	2	3
200	от того	10	3
201	отношение к	2	3
202	и здесь	3	3
203	или же	8	3
204	сама по	3	3
205	если бы	20	3
206	было сказано	2	3
207	об отношении	5	3
208	при помощи	2	3
209	в свое	2	3
210	в сущности	3	3
211	в этих	2	3
212	в силу	7	3
213	только на	4	3
214	и науки	2	3
215	себе что	2	3
216	как в	17	3
