N	3gram	Losev_Dial	StatiiOP
1	в том что	12	47
2	и т д	28	32
3	о том что	6	29
4	в этом отношении	2	24
5	и т п	3	19
6	до сих пор	4	19
7	с точки зрения	18	14
8	во всяком случае	3	13
9	с другой стороны	7	13
10	не может быть	4	11
11	в то же	7	9
12	в самом деле	3	9
13	то же время	8	9
14	на то что	4	9
15	можно было бы	4	9
16	на самом деле	3	8
17	тем не менее	3	8
18	не только в	2	8
19	к тому что	3	8
20	не в том	2	7
21	в конце концов	4	7
22	в то время	2	7
23	и в этом	4	7
24	но все же	2	7
25	по крайней мере	11	6
26	т д но	2	6
27	в том смысле	4	6
28	в этом смысле	4	6
29	с самого начала	2	5
30	что он не	2	5
31	то время как	2	5
32	иметь в виду	4	4
33	ничего общего с	3	4
34	сами по себе	4	4
35	но это не	2	4
36	в связи с	3	4
37	с одной стороны	3	4
38	так или иначе	3	4
39	т е в	3	3
40	можно сказать что	6	3
41	не имеет ничего	3	3
42	имеет ничего общего	3	3
43	но все это	2	3
44	том смысле что	3	3
45	к тому же	2	3
46	более или менее	5	3
47	потому что он	5	3
48	то или иное	4	3
49	это не значит	3	3
50	только потому что	4	3
51	принять во внимание	2	3
52	не значит что	6	3
53	то же самое	3	2
54	вовсе не в	3	2
55	сам по себе	8	2
56	ни в каком	9	2
57	с тех пор	2	2
58	может быть и	6	2
59	то что я	2	2
60	только тогда когда	4	2
61	нельзя сказать что	3	2
62	той или иной	4	2
63	и в то	3	2
64	прежде всего необходимо	2	2
65	что это за	3	2
66	а потому что	2	2
67	и даже не	3	2
68	в зависимости от	2	2
69	точно так же	3	2
70	т д и	3	2
71	я не могу	2	2
72	сомневаться в том	2	2
73	как бы ни	2	2
74	что в нем	4	2
75	на точку зрения	2	2
76	в той или	3	2
