N	2gram	Bakhtin_Fr	SlovoVZh
1	не может	4	16
2	точки зрения	6	14
3	может быть	5	14
4	и его	18	13
5	как бы	15	13
6	и в	73	12
7	таким образом	34	12
8	в нашем	2	11
9	отношению к	3	11
10	по отношению	3	11
11	и не	13	10
12	так как	9	9
13	прежде всего	18	8
14	для нас	2	7
15	сказать что	4	7
16	слова и	2	6
17	все время	4	6
18	при этом	5	6
19	в том	13	6
20	в нем	18	6
21	только в	7	6
22	в процессе	3	6
23	с помощью	11	6
24	в ней	10	6
25	никогда не	6	5
26	как в	9	5
27	что мы	2	5
28	в виду	4	5
29	но в	12	5
30	том что	8	5
31	то же	16	5
32	как и	19	5
33	должна быть	3	5
34	а не	2	5
35	то что	12	5
36	и др	12	5
37	в самом	9	4
38	в этом	21	4
39	не только	11	4
40	в литературе	5	4
41	на самом	2	4
42	его в	3	4
43	жизни и	6	4
44	не в	12	4
45	ни было	2	4
46	с другой	3	4
47	все же	2	4
48	дело в	2	4
49	к нему	7	4
50	и к	6	4
51	так и	13	4
52	и на	12	4
53	уже не	2	4
54	отношение к	3	4
55	в них	14	3
56	по себе	2	3
57	и вообще	3	3
58	о том	13	3
59	и для	8	3
60	из этого	2	3
61	ни в	7	3
62	все эти	24	3
63	в котором	4	3
64	и наконец	6	3
65	так же	11	3
66	в своей	4	3
67	мы не	2	3
68	конечно не	2	3
69	точка зрения	2	3
70	в себе	16	3
71	еще не	3	3
72	здесь не	2	3
73	все это	19	3
74	только на	2	3
75	и ее	2	3
76	между тем	2	3
77	и с	17	3
78	сих пор	3	3
79	с ним	6	3
80	до сих	3	3
81	и по	4	3
82	находит свое	2	3
83	самом деле	4	3
84	того что	5	3
85	ведь и	3	3
86	но и	15	3
87	для него	7	3
88	в особенности	5	2
89	одно и	2	2
90	конечно в	2	2
91	и то	3	2
92	мы в	2	2
93	в его	18	2
94	к его	2	2
95	до конца	5	2
96	и здесь	5	2
97	что в	14	2
98	в отношении	6	2
99	не есть	2	2
100	место в	4	2
101	бы оно	2	2
102	ничего не	4	2
103	речи в	2	2
104	с его	5	2
105	и те	5	2
106	но конечно	2	2
107	что и	6	2
108	это не	7	2
109	более того	3	2
110	и все	19	2
111	кроме того	6	2
112	с точки	4	2
113	от всех	3	2
114	но все	5	2
115	в своем	13	2
116	на все	2	2
117	все они	7	2
118	в данном	3	2
119	его к	3	2
120	жизнью и	2	2
121	слово это	2	2
122	мы имеем	2	2
123	и что	5	2
124	в то	14	2
125	те же	3	2
126	уже в	9	2
127	с этой	4	2
128	в этих	6	2
129	одной стороны	3	2
130	влияние на	5	2
131	форму и	2	2
132	связь с	2	2
133	в основном	2	2
134	и другие	3	2
135	но это	3	2
136	он не	4	2
137	в формах	3	2
138	подчеркнуть что	4	2
139	такой же	3	2
140	эти моменты	2	2
141	и потому	6	2
142	может стать	2	2
143	его как	3	2
144	оно не	2	2
145	имеем в	2	2
146	как это	2	2
147	в себя	3	2
148	сливается с	2	2
149	в чем	3	2
150	между собой	2	2
151	в форме	6	2
152	и так	2	2
153	с одной	3	2
154	выражение в	3	2
155	к этому	5	2
156	между ними	2	2
157	от этой	2	2
158	но этот	4	2
159	другой стороны	2	2
160	вместе с	9	2
161	со всех	3	2
162	на него	2	2
