N	3gram	Losev_Vesc	Narrotol
1	в том что	9	18
2	в данном случае	2	17
3	не только в	5	13
4	о том что	4	9
5	в то же	5	8
6	тем не менее	11	8
7	в этом отношении	2	8
8	то же время	4	8
9	не может быть	22	8
10	можно сказать что	3	6
11	с одной стороны	3	6
12	мы имеем дело	2	6
13	подобно тому как	5	5
14	для того чтобы	2	5
15	в свою очередь	5	5
16	к тому что	2	4
17	во всяком случае	2	4
18	в этом и	2	3
19	в первом случае	2	3
20	с точки зрения	6	3
21	как раз в	2	3
22	в самом деле	7	3
23	на то что	7	3
24	по природе своей	2	3
25	дело в том	4	3
26	и то что	5	3
27	но еще и	3	2
28	одно и то	5	2
29	все то что	2	2
30	и то же	5	2
31	не только не	4	2
32	но все же	2	2
33	более или менее	4	2
34	в отрыве от	3	2
35	можно было бы	3	2
36	так же как	2	2
37	что иное как	12	2
38	сами по себе	3	2
39	и в то	3	2
40	все же не	3	2
41	и не в	3	2
42	в той или	2	2
