N	2gram	Bakhtin_Pr	KFilosof
1	может быть	23	45
2	в его	15	42
3	в нем	21	32
4	не может	18	29
5	и не	41	28
6	и в	83	28
7	по отношению	6	26
8	в котором	8	24
9	отношению к	5	22
10	в себе	10	21
11	и его	13	18
12	только в	10	18
13	в своем	2	17
14	в ее	3	17
15	а не	19	17
16	в этом	24	15
17	не в	10	13
18	точки зрения	17	13
19	но не	9	12
20	и это	3	12
21	к нему	3	12
22	ни в	4	12
23	в своей	5	11
24	во всех	15	11
25	все эти	9	11
26	это не	10	10
27	в целом	3	10
28	и для	5	10
29	все это	11	10
30	с точки	13	10
31	бытия и	5	10
32	в их	7	9
33	но и	16	9
34	единого и	2	9
35	как бы	27	9
36	и все	14	9
37	не было	5	8
38	быть только	2	8
39	в мире	8	8
40	жизни и	13	8
41	было бы	6	8
42	в себя	8	8
43	и здесь	4	7
44	совершенно не	4	7
45	то что	14	7
46	уже не	5	7
47	конечно не	11	7
48	что и	4	7
49	во всем	5	7
50	вовсе не	12	7
51	на основе	4	7
52	должно быть	4	6
53	менее всего	4	6
54	отношение к	14	6
55	но эта	2	6
56	в том	22	6
57	в смысле	2	6
58	место в	3	6
59	и их	6	6
60	и действительно	3	6
61	я не	6	6
62	но это	7	6
63	он не	5	6
64	никогда не	10	5
65	его в	4	5
66	все же	3	5
67	не только	14	5
68	мы имеем	4	5
69	но как	2	5
70	его как	3	5
71	хотя бы	6	5
72	то же	10	5
73	жизни в	4	5
74	но ведь	3	5
75	еще не	10	5
76	не знает	8	5
77	не проникает	2	5
78	а в	4	5
79	но в	12	5
80	как и	13	5
81	именно в	3	5
82	что я	2	5
83	время и	3	5
84	жизни как	4	5
85	в одном	4	5
86	там где	3	5
87	от своей	2	5
88	себя и	3	5
89	я и	2	5
90	с ним	3	5
91	в основе	6	5
92	что это	2	4
93	тем самым	2	4
94	том что	9	4
95	что в	5	4
96	и жизни	3	4
97	не как	5	4
98	и т.д	5	4
99	времени и	4	4
100	о нем	2	4
101	прежде всего	20	4
102	здесь мы	3	4
103	к ним	5	4
104	могло бы	3	4
105	в своих	4	4
106	мира и	3	4
107	с ними	2	4
108	при этом	6	4
109	во всей	5	4
110	как его	2	4
111	между тем	2	4
112	до конца	3	3
113	других людей	2	3
114	ничего не	8	3
115	положения в	3	3
116	в то	8	3
117	на самом	2	3
118	от него	3	3
119	здесь не	5	3
120	человека и	10	3
121	всех этих	2	3
122	в каждом	5	3
123	а лишь	2	3
124	тем что	2	3
125	и тем	4	3
126	в виду	3	3
127	людей и	6	3
128	себе и	2	3
129	и тот	4	3
130	с человеком	3	3
131	по своему	6	3
132	его жизни	2	3
133	нет и	3	3
134	для этой	2	3
135	не менее	4	3
136	только с	3	3
137	о том	3	3
138	не могу	3	3
139	мы здесь	4	3
140	в ней	8	3
141	могут быть	5	3
142	но для	2	3
143	котором он	2	3
144	этом смысле	5	3
145	и этим	3	3
146	здесь нет	2	3
147	но здесь	2	3
148	и совершенно	3	3
149	и на	27	3
150	и другого	2	3
151	мы не	7	3
152	той или	2	3
153	войти в	3	3
154	рядом с	2	3
155	но конечно	3	3
156	на язык	4	3
157	тот же	2	3
158	бы и	3	3
159	не дает	3	3
160	а следовательно	2	3
161	быть и	2	3
162	не о	2	2
163	конечно в	2	2
164	и то	2	2
165	все остальные	2	2
166	кажется что	3	2
167	для этого	2	2
168	в соответствии	3	2
169	или иной	2	2
170	и потому	6	2
171	предмет и	2	2
172	его с	2	2
173	говорить о	2	2
174	и ее	8	2
175	видения и	3	2
176	дело в	3	2
177	к этому	5	2
178	это было	3	2
179	с ее	3	2
180	к себе	8	2
181	а это	2	2
182	и конечно	2	2
183	тем не	2	2
184	оба этих	3	2
185	а как	4	2
186	и других	12	2
187	все они	2	2
188	в области	6	2
189	герой и	3	2
190	пространство и	2	2
191	что он	6	2
192	из которых	2	2
193	со всеми	8	2
194	всех его	3	2
195	а для	2	2
196	так и	9	2
197	но этот	2	2
198	отношении к	2	2
199	смысле не	2	2
200	жизнь и	3	2
201	всех других	2	2
202	и свой	2	2
203	в жизни	14	2
204	это уже	2	2
205	как в	10	2
206	в него	4	2
207	всей своей	2	2
208	в сознании	2	2
209	она не	4	2
210	и она	2	2
211	он может	2	2
212	и время	5	2
213	еще более	6	2
214	истины и	3	2
215	имеем в	3	2
216	ни у	3	2
217	соответствии с	2	2
218	мы говорим	2	2
219	в процессе	4	2
220	он и	2	2
221	один из	7	2
222	себя как	2	2
223	по себе	3	2
224	потому что	9	2
225	и под	4	2
226	раз и	2	2
227	вступить в	2	2
228	смысле и	3	2
229	слова в	3	2
230	именно на	2	2
231	ведь это	2	2
232	и смерти	3	2
233	дан в	3	2
234	же время	8	2
235	человек и	2	2
236	этого слова	3	2
237	жить и	4	2
238	в этой	3	2
239	с его	4	2
