N	2gram	Vinokur_Vv	Otkroven
1	и в	35	19
2	но и	7	13
3	и не	13	13
4	в этом	35	12
5	не только	26	11
6	не в	10	11
7	а не	5	11
8	может быть	30	11
9	в нем	13	10
10	вопрос о	10	10
11	никогда не	3	9
12	потому что	18	9
13	не было	2	9
14	прежде всего	10	9
15	ни с	2	7
16	в его	12	7
17	до конца	3	7
18	как и	7	6
19	все это	6	6
20	а в	6	5
21	в том	38	5
22	него в	2	5
23	в самом	13	5
24	то что	19	5
25	в этой	3	5
26	отношение к	3	5
27	и его	6	4
28	что в	13	4
29	он сам	3	4
30	есть лишь	2	4
31	того чтобы	22	4
32	все эти	3	4
33	т е	40	4
34	не может	19	4
35	что не	5	4
36	в себе	4	3
37	о том	16	3
38	это не	8	3
39	к нему	3	3
40	не могут	6	3
41	что он	5	3
42	о природе	7	3
43	и вот	3	3
44	было бы	7	3
45	для того	23	3
46	еще не	4	3
47	и есть	3	3
48	в этих	3	3
49	в своих	2	3
50	и ее	4	3
51	как бы	7	3
52	хотя бы	6	3
53	могут быть	6	3
54	мысли и	2	3
55	того что	12	3
56	одно из	5	2
57	и то	7	2
58	сказать что	6	2
59	и на	3	2
60	с тем	6	2
61	уже в	5	2
62	что же	3	2
63	и для	4	2
64	совсем не	3	2
65	не имеет	4	2
66	не могли	2	2
67	ничего не	2	2
68	и с	2	2
69	любовь к	4	2
70	что и	5	2
71	и потому	2	2
72	в ее	11	2
73	в своем	3	2
74	тем что	6	2
75	но в	10	2
76	том что	30	2
77	природы и	2	2
78	все же	9	2
79	о которой	2	2
80	в своей	4	2
81	так как	15	2
82	с чем	2	2
83	по себе	11	2
84	же это	2	2
85	должен был	4	2
86	что они	2	2
87	в истории	9	2
88	так что	5	2
89	даже и	4	2
90	должно быть	2	2
91	не есть	5	2
92	к этому	3	2
93	и к	3	2
94	так и	2	2
95	романов достоевского	2	2
96	хотя и	5	2
97	и из	2	2
98	учение о	2	2
99	в другом	3	2
100	в этот	2	2
101	чем в	3	2
102	его в	6	2
