N	2gram	Vygotskiy_	KulturaY
1	и т	36	143
2	т е	3	102
3	т п	24	93
4	и в	55	84
5	в том	55	74
6	потому что	27	68
7	не только	25	60
8	точки зрения	32	59
9	в этом	21	57
10	было бы	14	53
11	и не	24	52
12	может быть	35	47
13	том что	30	44
14	того чтобы	13	44
15	что в	39	44
16	т д	10	42
17	для того	12	41
18	в самом	18	41
19	у нас	4	38
20	самом деле	19	37
21	хотя бы	4	37
22	так как	28	36
23	с точки	12	36
24	в области	12	34
25	таким образом	38	33
26	а не	18	33
27	можно было	4	32
28	если бы	10	32
29	не в	19	30
30	прежде всего	5	30
31	в его	8	30
32	все же	9	29
33	того что	15	28
34	не менее	9	28
35	все эти	7	28
36	в силу	4	26
37	в языке	3	26
38	уже не	3	26
39	не может	30	25
40	то что	47	25
41	вовсе не	7	25
42	вопрос о	3	24
43	еще не	2	24
44	с другой	7	24
45	так и	6	23
46	то же	17	23
47	только в	18	23
48	тем не	6	21
49	во всяком	9	20
50	но и	12	20
51	по себе	21	20
52	и что	28	20
53	что он	17	19
54	но в	5	19
55	зависимости от	7	19
56	тем что	7	19
57	о том	11	19
58	всяком случае	7	19
59	что же	4	19
60	между тем	6	18
61	связи с	2	18
62	все это	11	18
63	в качестве	3	18
64	к тому	8	18
65	с тем	11	18
66	в сущности	15	18
67	как бы	11	18
68	и с	5	18
69	русском языке	3	18
70	вместе с	10	18
71	как раз	4	17
72	как это	8	17
73	что это	12	17
74	другой стороны	7	17
75	в той	2	17
76	в виду	6	16
77	ничего не	4	16
78	в зависимости	6	16
79	в русском	4	16
80	что не	2	16
81	что и	27	16
82	тот же	8	16
83	но не	5	16
84	и тем	5	15
85	один из	6	15
86	только потому	2	15
87	а в	10	15
88	при этом	28	15
89	того как	5	15
90	должно быть	2	15
91	целый ряд	12	15
92	том чтобы	9	15
93	не было	5	15
94	как на	6	15
95	в них	4	14
96	в связи	3	14
97	хотя и	3	14
98	как мы	2	14
99	сказать что	12	14
100	мы имеем	7	14
101	сих пор	8	14
102	также и	2	14
103	что такое	2	14
104	если мы	21	14
105	и на	6	14
106	в ней	3	14
107	до сих	8	14
108	не могут	6	13
109	это и	3	13
110	по существу	6	13
111	что она	11	13
112	в этой	5	13
113	в которых	5	13
114	для нас	5	13
115	там где	5	13
116	и его	14	13
117	той же	9	13
118	этот вопрос	2	12
119	с этой	8	12
120	как в	17	12
121	а только	4	12
122	того же	3	12
123	тогда когда	7	12
124	могут быть	15	12
125	этого слова	5	12
126	в результате	4	12
127	ясно что	22	12
128	в таких	2	11
129	должен быть	2	11
130	в их	4	11
131	в своем	3	11
132	те же	9	11
133	из этих	6	11
134	должна быть	3	11
135	в нем	5	11
136	этом отношении	7	11
137	совершенно не	7	11
138	и здесь	3	11
139	и то	4	11
140	слова в	5	11
141	в какой	6	11
142	и если	4	11
143	уже в	3	11
144	он не	8	11
145	в каком	3	10
146	тем самым	2	10
147	так же	29	10
148	в то	8	10
149	к этому	5	10
150	со стороны	5	10
151	в общем	2	10
152	как и	25	10
153	ту же	6	10
154	речь идет	4	10
155	бы и	5	10
156	тех же	2	10
157	того или	2	10
158	с этим	7	10
159	в нашей	4	10
160	бы в	3	10
161	несмотря на	8	10
162	в особенности	3	10
163	от того	6	10
164	после того	2	10
165	этом смысле	3	10
166	конечно не	2	10
167	очевидно что	7	9
168	не потому	3	9
169	ли не	2	9
170	в целом	8	9
171	что все	10	9
172	и для	9	9
173	в своей	6	9
174	можно сказать	2	9
175	но это	3	9
176	в которой	6	9
177	и вот	5	9
178	не имеет	3	9
179	на то	17	9
180	ни в	9	9
181	мы говорим	2	9
182	что мы	9	9
183	и есть	5	9
184	на самом	6	8
185	в частности	6	8
186	мере в	2	8
187	только тогда	8	8
188	мы видели	2	8
189	в своих	12	8
190	тех пор	2	8
191	состоит в	5	8
192	а потому	5	8
193	что на	4	8
194	в чем	5	8
195	убедиться что	3	8
196	с одной	6	8
197	и о	4	8
198	в тех	2	8
199	был бы	6	8
200	что они	7	8
201	с его	3	8
202	само по	8	8
203	то и	2	8
204	независимо от	3	8
205	по преимуществу	2	8
206	и как	9	8
207	об этом	3	8
208	в этих	6	8
209	тому что	7	8
210	смысл и	2	8
211	заключается в	15	8
212	далеко не	7	8
213	что я	4	8
214	не есть	4	8
215	может служить	3	8
216	отнюдь не	11	8
217	в таком	5	8
218	тому же	4	8
219	до конца	9	7
220	в свою	3	7
221	идет о	2	7
222	в процессе	7	7
223	в поэзии	5	7
224	казалось бы	4	7
225	как он	4	7
226	свою очередь	3	7
227	и потому	2	7
228	была бы	2	7
229	смысле этого	2	7
230	а с	2	7
231	как например	2	7
232	она не	6	7
233	на том	2	7
234	одной стороны	7	7
235	с ними	2	7
236	например в	5	7
237	никак не	7	7
238	когда мы	4	7
239	том случае	3	7
240	до тех	3	7
241	же и	2	7
242	и более	3	7
243	в самой	2	7
244	есть в	7	7
245	на этот	2	7
