N	3gram	Bakhtin_sl	Tvorches
1	в то же	15	25
2	то же время	15	24
3	и т д	7	17
4	в том что	4	11
5	о том что	2	8
6	и в то	6	7
7	но в то	6	6
8	не может быть	11	6
9	и т п	49	5
10	по отношению к	2	5
11	в его романах	2	5
12	с точки зрения	11	4
13	до сих пор	4	4
14	как и в	2	3
15	с другой стороны	5	3
16	и не может	2	3
17	во всяком случае	7	3
18	в отличие от	12	3
19	тем не менее	2	2
20	не только в	3	2
21	то есть не	2	2
22	человека и его	2	2
23	так и в	5	2
24	в связи с	2	2
25	не могут быть	3	2
26	это не значит	2	2
27	в известном смысле	2	2
28	как бы ни	2	2
29	в данном случае	3	2
30	в свою очередь	3	2
31	и в другом	2	2
