N	2gram	Savitsky_P	slovoVRo
1	и в	14	92
2	и т	3	82
3	в нем	3	59
4	может быть	5	59
5	и не	12	51
6	не только	17	44
7	не может	4	41
8	но и	6	39
9	в этом	10	36
10	а не	2	34
11	во всех	2	32
12	точки зрения	3	30
13	могут быть	3	29
14	в пределах	8	29
15	в его	2	27
16	все это	2	25
17	как бы	4	24
18	то же	9	23
19	не в	5	21
20	в то	7	20
21	прежде всего	3	19
22	же время	7	18
23	в них	2	16
24	но в	9	16
25	и с	2	15
26	с точки	3	15
27	только в	7	14
28	это не	3	13
29	отношении к	5	13
30	с другой	5	13
31	в отношении	10	12
32	и потому	4	12
33	а в	4	12
34	точек зрения	2	12
35	и к	4	12
36	с ними	3	11
37	одной стороны	3	11
38	с одной	3	11
39	в своем	4	10
40	в том	9	10
41	в себе	3	10
42	и других	2	9
43	одна из	2	9
44	но не	3	9
45	в смысле	6	9
46	в ней	6	8
47	с этим	2	8
48	в значительной	2	8
49	для нас	2	8
50	испытания и	2	8
51	том что	4	7
52	например в	2	7
53	еще более	2	7
54	не было	2	7
55	а также	4	6
56	xix века	6	6
57	что в	4	6
58	в качестве	9	6
59	говорить о	2	6
60	стороны и	2	6
61	хотя бы	8	6
62	именно в	2	6
63	по себе	4	6
64	между тем	3	6
65	не менее	2	5
66	мы не	3	5
67	хотя и	3	5
68	для того	3	5
69	в виде	2	4
70	в частности	2	4
71	того что	2	4
72	именно как	2	4
73	не столько	2	4
74	бы ни	2	4
75	и как	3	4
76	если бы	4	4
77	и о	5	4
78	из них	2	4
79	отношения к	2	4
80	как раз	2	4
81	может и	2	3
82	и без	3	3
83	было бы	6	3
84	должно быть	2	3
85	эта идея	2	3
86	потому что	3	3
87	и это	2	3
88	в эту	2	3
89	и тем	2	3
90	слова но	2	2
91	создается в	2	2
92	и есть	2	2
93	есть не	2	2
94	на пути	4	2
95	образом на	2	2
96	есть в	2	2
97	то что	4	2
98	света в	2	2
99	в сочетании	2	2
100	для них	2	2
101	в ее	2	2
102	во всей	2	2
103	да и	2	2
104	к началу	2	2
105	из важнейших	2	2
106	время в	2	2
107	не нужно	2	2
108	же в	4	2
109	в области	11	2
110	в жизни	2	2
111	заключается в	3	2
112	столь же	3	2
113	в котором	4	2
114	в последние	2	2
115	в сфере	2	2
116	в начале	2	2
117	главным образом	2	2
118	друг другу	2	2
119	не к	2	2
