N	2gram	Losev_Prob	Vvedenie
1	и т	13	45
2	т е	2	40
3	т д	12	39
4	в том	19	38
5	в этом	30	35
6	и в	64	35
7	том что	26	30
8	может быть	29	30
9	не только	37	26
10	для того	10	23
11	того чтобы	10	22
12	таким образом	9	21
13	также и	22	20
14	не может	18	19
15	то что	72	19
16	потому что	24	18
17	со стороны	2	16
18	о том	25	16
19	только в	19	16
20	так как	16	15
21	языка и	5	15
22	в общем	5	14
23	представляет собой	2	14
24	и не	63	13
25	что в	21	13
26	в самом	10	13
27	в нем	14	13
28	в их	7	12
29	того что	18	12
30	что такое	23	12
31	точки зрения	5	12
32	в его	12	12
33	как на	3	12
34	этом смысле	8	11
35	в данном	16	11
36	то же	10	11
37	по себе	20	11
38	в ее	3	11
39	как мы	10	11
40	ясно что	7	11
41	вопрос о	4	10
42	не в	6	10
43	прежде всего	17	10
44	но в	19	10
45	в той	2	10
46	уже и	6	10
47	между тем	3	10
48	из этих	5	9
49	тем не	25	9
50	и как	10	9
51	все же	7	9
52	но не	13	9
53	не менее	26	9
54	в истории	6	9
55	это не	7	8
56	можно было	8	8
57	о котором	4	8
58	с другой	8	8
59	а только	9	8
60	именно в	5	8
61	как нечто	10	8
62	в качестве	3	8
63	и то	15	7
64	самом деле	10	7
65	сих пор	6	7
66	о природе	2	7
67	как и	7	7
68	как бы	18	7
69	этот вопрос	2	7
70	смысле слова	11	7
71	но и	23	7
72	только как	2	7
73	было бы	16	7
74	до сих	6	7
75	сказать что	33	6
76	его в	9	6
77	не могут	6	6
78	хотя бы	15	6
79	иное как	5	6
80	об этом	10	6
81	и даже	19	6
82	но если	6	6
83	о языке	3	6
84	тем что	10	6
85	как он	4	6
86	а именно	16	6
87	мере в	2	6
88	так например	2	6
89	на этот	3	6
90	с тем	6	6
91	и это	13	6
92	а в	7	6
93	уже не	9	6
94	в которых	4	6
95	могут быть	2	6
96	в то	7	6
97	один из	7	6
98	и что	21	6
99	и его	3	6
100	все это	11	6
101	этом случае	6	6
102	вовсе не	60	6
103	вместе с	4	6
104	данном случае	10	5
105	независимо от	2	5
106	дело в	3	5
107	науки и	2	5
108	не что	5	5
109	есть и	4	5
110	в виду	10	5
111	и тем	16	5
112	одним из	2	5
113	что он	11	5
114	так что	12	5
115	что иное	5	5
116	что не	8	5
117	этого понятия	2	5
118	по своему	14	5
119	одно из	2	5
120	от этого	2	5
121	как это	7	5
122	на почве	2	5
123	или вообще	6	5
124	а потому	2	5
125	есть не	10	5
126	не есть	49	5
127	она есть	5	5
128	язык как	3	5
129	другой стороны	7	5
130	в них	8	5
131	уже в	6	5
132	всяком случае	11	5
133	внимание на	4	5
