N	2gram	Nazirov_Tv	OGranits
1	и в	40	13
2	и его	14	12
3	прежде всего	10	9
4	и не	12	8
5	не может	9	8
6	может быть	11	8
7	в его	19	7
8	и их	2	7
9	не только	16	6
10	как бы	26	6
11	таким образом	14	6
12	только в	7	6
13	то что	9	6
14	все же	9	5
15	но ведь	2	5
16	и наконец	3	5
17	хотя бы	5	5
18	в процессе	3	5
19	но в	11	4
20	то же	19	4
21	не является	3	4
22	в своей	8	4
23	все это	14	4
24	было бы	2	4
25	в двух	2	4
26	мы не	3	4
27	в каждом	4	4
28	никогда не	13	3
29	и все	6	3
30	связана с	2	3
31	в ее	3	3
32	превращается в	2	3
33	вряд ли	2	3
34	с этим	2	3
35	отношению к	3	3
36	как и	16	3
37	не в	3	3
38	в их	5	3
39	так как	6	3
40	в себе	3	3
41	что в	17	3
42	по отношению	3	3
43	г в	2	3
44	самом деле	4	3
45	так и	5	3
46	в которой	5	3
47	к одному	2	3
48	в одном	3	3
49	в искусстве	3	3
50	здесь мы	2	3
51	но и	10	3
52	не столько	4	3
53	в самом	6	2
54	могут быть	4	2
55	мы видим	3	2
56	своего рода	7	2
57	в этом	11	2
58	и должно	2	2
59	данном случае	2	2
60	в книге	3	2
61	уже в	5	2
62	и отчасти	3	2
63	отношений между	2	2
64	в том	13	2
65	тем что	2	2
66	есть не	2	2
67	в целом	7	2
68	если бы	4	2
69	с одной	2	2
70	не имеет	2	2
71	роль в	2	2
72	мы понимаем	2	2
73	и др	2	2
74	ее в	3	2
75	более того	2	2
76	во времени	3	2
77	с другой	4	2
78	от всех	2	2
79	а в	10	2
80	и тем	2	2
81	том что	14	2
82	а как	2	2
83	в связи	2	2
84	этой проблемы	2	2
85	в данном	2	2
86	не менее	8	2
87	с ними	3	2
88	все эти	3	2
89	так же	6	2
90	что они	3	2
91	мы уже	2	2
92	героя и	4	2
93	нуждается в	2	2
94	с этой	4	2
95	в своих	8	2
96	в нем	4	2
97	при этом	14	2
98	а не	9	2
99	во всей	2	2
100	в ней	2	2
101	вслед за	2	2
102	еще в	3	2
103	как в	10	2
104	другой стороны	2	2
105	школы и	2	2
106	между тем	2	2
107	в материал	2	2
108	в целях	2	2
109	в чем	4	2
110	соответствии с	7	2
111	тот же	3	2
112	самого начала	3	2
113	вовсе не	5	2
114	в этот	3	2
115	с самого	3	2
116	к тому	2	2
117	не мог	3	2
118	в которую	2	2
119	для него	9	2
