N	3gram	Losev_Prob	Literetu
1	в то же	2	21
2	в том что	13	21
3	по отношению к	2	12
4	с одной стороны	5	12
5	в данном случае	5	11
6	не может быть	2	11
7	о том что	14	10
8	так или иначе	3	10
9	в этом отношении	4	10
10	с точки зрения	13	8
11	не говоря уже	2	8
12	с другой стороны	7	7
13	говоря уже о	2	6
14	в том числе	2	6
15	к тому же	5	6
16	не только в	5	6
17	в русской литературе	3	5
18	тем не менее	8	5
19	этой точки зрения	2	5
20	с этой точки	2	5
21	в связи с	11	5
22	в том чтобы	2	5
23	и прежде всего	2	4
24	бы то ни	4	4
25	то ни было	2	4
26	и то что	3	4
27	во всяком случае	6	3
28	то же самое	2	3
29	той или иной	4	3
30	на самом деле	2	3
31	по крайней мере	8	3
32	только в том	2	3
33	на то что	2	3
34	ничего общего с	2	3
35	и в частности	4	3
36	в свою очередь	2	3
37	на эту тему	2	2
38	для того чтобы	3	2
39	за то что	2	2
40	это уже не	2	2
41	и вместе с	3	2
42	жизни и в	2	2
43	а с другой	3	2
44	но и в	2	2
45	можно было бы	2	2
46	вместе с тем	5	2
47	дело в том	4	2
48	тех или иных	2	2
49	в сравнении с	4	2
