N	3gram	Vygotskiy_	Freidism
1	с точки зрения	31	15
2	не может быть	6	14
3	по отношению к	9	11
4	в самом деле	4	10
5	в том что	24	9
6	как мы видели	7	8
7	в то же	2	6
8	мы знаем что	2	6
9	в большинстве случаев	2	5
10	можно сказать что	7	5
11	как мы уже	2	5
12	с самого начала	13	5
13	тем не менее	4	4
14	в этом отношении	7	4
15	сам по себе	2	4
16	не могут быть	3	4
17	в данном случае	5	4
18	в зависимости от	6	4
19	на самом деле	2	4
20	в свою очередь	3	4
21	мы не можем	3	3
22	и той же	5	3
23	в этот период	2	3
24	о том что	4	3
25	в собственном смысле	4	3
26	для того чтобы	24	3
27	в конечном счете	2	3
28	и не может	2	3
29	до сих пор	6	3
30	одной и той	5	3
31	нет и не	3	3
32	мы видели что	3	3
33	но вместе с	2	2
34	то же самое	11	2
35	благодаря тому что	2	2
36	чем иным как	2	2
37	том что он	2	2
38	к тому что	10	2
39	ни в какой	2	2
40	то что мы	3	2
41	том что она	2	2
42	таким образом в	2	2
43	заключается в том	9	2
44	в отличие от	4	2
45	мы могли бы	9	2
46	с одной стороны	7	2
47	не чем иным	2	2
48	в этом смысле	2	2
49	внутренней речи мы	4	2
