N	2gram	Losev_Vlad	FransuaR
1	и в	56	367
2	то есть	5	209
3	в этом	30	112
4	и не	33	101
5	таким образом	6	100
6	и его	12	99
7	в его	18	98
8	прежде всего	5	92
9	не только	35	87
10	мы уже	8	85
11	но и	26	84
12	как бы	5	82
13	все эти	6	79
14	вовсе не	8	77
15	как и	7	76
16	в нем	7	75
17	но в	19	75
18	и на	7	72
19	в том	26	71
20	как мы	17	71
21	то же	10	66
22	и все	8	66
23	так и	11	65
24	в этой	4	65
25	в них	5	65
26	в сущности	2	64
27	и с	27	64
28	во время	4	63
29	в то	15	63
30	все это	7	62
31	во всех	4	62
32	же время	7	55
33	что в	24	52
34	в своем	10	51
35	только в	11	48
36	так как	11	46
37	и до	4	46
38	том что	22	45
39	в году	54	44
40	здесь в	2	41
41	то что	30	41
42	жизни и	8	40
43	у него	28	40
44	в самом	3	38
45	точки зрения	4	37
46	в ней	5	37
47	с его	15	36
48	может быть	12	35
49	он был	20	35
50	о том	13	35
51	сказать что	14	34
52	и даже	23	34
53	в себе	5	34
54	в конце	22	32
55	он не	13	32
56	для него	16	32
57	в своей	7	31
58	до конца	8	31
59	так же	4	30
60	никогда не	15	30
61	и потому	8	30
62	той же	6	30
63	один из	4	30
64	потому что	16	30
65	но он	7	30
66	в этих	5	29
67	не может	12	29
68	еще не	2	29
69	его в	3	29
70	не в	12	29
71	при этом	5	29
72	в одном	2	29
73	в особенности	4	29
74	связи с	7	29
75	что он	22	29
76	из них	3	28
77	всех этих	3	28
78	в той	2	28
79	также и	13	28
80	и к	10	28
81	по своему	5	27
82	и другие	2	27
83	все же	11	27
84	кроме того	12	26
85	в области	3	25
86	но это	6	25
87	отношение к	7	24
88	того чтобы	4	24
89	и от	6	24
90	в частности	4	24
91	но не	5	24
92	как в	6	24
93	и у	4	24
94	он и	8	24
95	так сказать	2	23
96	и для	4	23
97	это не	3	23
98	в их	2	23
99	с ним	10	23
100	еще и	10	23
101	и здесь	3	23
102	к нему	6	23
103	и о	6	22
104	и во	3	22
105	даже в	4	22
106	а в	20	22
107	что и	6	22
108	и других	2	22
109	тем что	2	22
110	вместе с	9	22
111	не было	12	22
112	именно в	4	21
113	в своих	7	21
114	в качестве	7	21
115	что это	2	21
116	в отношении	5	21
117	и наконец	2	21
118	ни в	4	21
119	одним из	3	21
120	и как	7	21
121	уже в	9	21
122	а также	12	20
123	как раз	7	20
124	одной из	2	20
125	этом отношении	2	20
126	и это	4	20
127	в связи	9	20
128	того же	11	19
129	в дальнейшем	10	19
130	их в	3	19
131	во всем	4	19
132	хотя и	9	19
133	к этому	11	19
134	было бы	7	19
135	за пределы	3	19
136	с другой	3	19
137	мы находим	2	18
138	это в	2	18
139	на этом	3	18
140	здесь не	6	18
141	это и	2	18
142	своего времени	2	17
143	для того	4	17
144	но все	3	17
145	того что	6	17
146	в результате	6	17
147	на его	7	17
148	и вот	5	17
149	еще более	3	17
150	конечно не	5	17
151	а не	5	17
152	нужно сказать	2	16
153	тот же	7	16
154	ничего не	4	16
155	в начале	7	16
156	между ними	2	16
157	начала и	2	16
158	дело в	7	16
159	он дает	2	16
160	в истории	4	15
161	и вообще	12	15
162	мысли и	5	15
163	еще в	5	15
164	в нашем	5	15
165	особенно в	2	15
166	как на	2	15
167	в которой	8	15
168	не мог	10	15
169	с начала	2	15
170	не были	2	15
171	из этих	5	15
172	мы не	2	14
173	все что	2	14
174	по существу	4	14
175	и он	7	14
176	в более	3	14
177	несмотря на	7	14
178	и по	10	14
179	в чем	4	14
180	в котором	10	14
181	образом в	2	14
182	как он	4	13
183	что все	2	13
184	это было	9	13
185	с этим	3	13
186	и еще	3	13
187	жизнь и	3	13
188	в жизни	4	13
189	и есть	2	13
190	и сам	7	13
191	его к	3	13
192	о чем	6	13
193	на все	3	13
194	в основном	5	13
195	только на	3	13
196	этот момент	2	12
197	лишь в	3	12
198	у нас	11	12
199	литературы и	2	12
200	не могут	2	12
201	начиная с	3	12
202	менее всего	2	12
203	жизни в	3	12
204	те же	2	12
205	по своей	4	12
206	главным образом	5	12
207	не был	6	12
208	он в	4	12
209	место в	2	12
210	можно сказать	10	12
211	о нем	9	12
212	другой стороны	3	12
213	об этом	13	12
214	но этот	3	12
215	уже сказали	2	12
216	наконец в	3	11
217	так например	3	11
218	ни с	6	11
219	из этого	6	11
220	в свое	6	11
221	она была	2	11
222	в общем	4	11
223	он говорит	2	11
224	того как	2	11
225	уже не	6	11
226	и что	11	11
227	на эту	3	11
228	были в	2	11
229	в течение	13	11
230	и особенно	6	11
231	время в	4	11
232	с ними	2	11
233	что они	4	11
234	очень часто	2	11
235	и так	3	11
236	мы здесь	2	10
237	в доме	7	10
238	на котором	2	10
239	на земле	2	10
240	на этот	9	10
241	там же	24	10
242	конце концов	6	10
243	к тому	5	10
244	его как	2	10
245	во второй	3	10
246	нас в	2	10
247	что для	5	10
248	им в	3	10
249	выражение в	2	10
250	для всех	2	10
251	даже и	12	10
252	в целом	3	10
253	да и	6	10
254	свое время	7	9
255	что не	3	9
256	как известно	2	9
257	был в	5	9
258	весь этот	2	9
259	первый план	4	9
260	но как	6	9
261	вплоть до	4	9
262	как это	11	9
263	вся эта	3	9
264	и то	13	9
265	был и	3	9
266	но дело	2	9
267	для нас	9	9
268	в тех	3	9
269	как к	4	9
270	том же	4	9
271	что на	2	9
272	в свет	2	9
273	не имеет	2	9
274	это была	3	9
275	же в	3	9
276	известной степени	2	9
277	под названием	5	9
278	о котором	2	9
279	но на	3	9
280	к жизни	2	9
281	отношения к	4	9
282	от него	3	8
283	с этой	4	8
284	так что	13	8
285	здесь мы	4	8
286	с тем	4	8
287	и без	2	8
288	под влиянием	6	8
289	если бы	2	8
290	после того	2	8
291	в эти	14	8
292	и почти	2	8
293	но эта	2	8
294	и ни	2	8
295	в это	6	8
296	народа и	2	8
297	мы сказали	2	8
298	по поводу	15	8
299	это был	5	8
300	мы увидим	4	8
301	всякого рода	3	8
302	и при	2	8
303	более или	5	8
304	сам он	2	8
305	борьба с	2	8
306	на первый	4	8
307	или менее	5	8
308	не менее	9	8
309	он как	4	8
310	дело не	3	8
311	в этот	5	8
312	тому же	3	8
313	человека с	2	8
314	ко всему	4	8
315	то время	6	8
316	не будем	3	7
317	времени в	2	7
318	как нечто	2	7
319	на всю	2	7
320	никак не	6	7
321	и часто	3	7
322	себе и	2	7
323	что у	4	7
324	в свою	3	7
325	мы будем	4	7
326	правда в	3	7
327	и за	3	7
328	его не	2	7
329	по этому	3	7
330	в виде	4	7
331	во всяком	8	7
332	себя в	6	7
333	к концу	7	7
334	в париже	8	7
335	где он	5	7
336	в таком	2	7
337	несколько слов	2	7
338	на него	3	7
339	и если	8	7
340	он стал	3	7
341	но его	4	7
342	к себе	2	7
343	в настоящее	2	7
344	и очень	5	7
345	настоящее время	2	7
346	представление о	2	7
347	но она	4	7
348	это конечно	4	7
349	нет и	2	7
350	что здесь	2	6
351	тех кто	2	6
352	такого рода	4	6
353	свою очередь	2	6
354	у них	2	6
355	мы знаем	5	6
356	свидетельствует о	3	6
357	людей в	2	6
358	первом плане	2	6
359	и тот	2	6
360	как у	3	6
361	и глубоко	3	6
362	это время	7	6
363	и такие	2	6
364	как я	2	6
365	жизнь в	2	6
366	для них	2	6
367	что она	2	6
368	совершенно не	2	6
369	а именно	4	6
370	к его	5	6
371	его на	4	6
372	его и	2	6
373	друг друга	3	6
374	в новом	2	6
375	и был	6	6
376	но по	2	6
377	и вы	2	6
378	году в	3	6
379	для своего	2	6
380	между прочим	18	6
381	уже и	4	6
382	не могли	2	6
383	хотя бы	5	6
384	эта книга	2	6
385	от того	2	6
386	эту тему	2	6
387	то он	7	6
388	очень много	2	6
389	как будто	2	6
390	за то	2	6
391	на что	2	6
392	за это	2	6
393	которые в	2	6
394	во многом	3	6
395	тех же	3	6
396	видно что	5	6
