N	3gram	Medvedev_V	Marksizm
1	не может быть	8	25
2	в то же	5	15
3	по отношению к	7	15
4	то же время	5	15
5	в связи с	4	14
6	в том что	5	14
7	и не может	2	12
8	для того чтобы	3	11
9	до сих пор	2	11
10	с другой стороны	8	7
11	во всяком случае	2	6
12	в точном смысле	2	6
13	с одной стороны	2	6
14	в этом отношении	14	5
15	к тому что	4	5
16	можно сказать что	4	4
17	о том что	3	4
18	так и от	2	4
19	в зависимости от	5	4
20	более или менее	6	3
21	в конце концов	2	3
22	в том числе	2	3
23	можно было бы	2	3
24	не могут быть	4	3
25	одной стороны и	2	3
26	не только в	2	3
27	хотя бы и	5	3
28	не было бы	4	3
29	том числе и	2	3
30	по крайней мере	2	2
31	от того что	2	2
32	в чем же	2	2
33	точном смысле слова	2	2
34	таким образом в	2	2
35	в противном случае	2	2
36	в этом и	2	2
37	хотя бы в	3	2
38	мы видели что	3	2
39	чуть ли не	2	2
40	лишь в пределах	2	2
41	это и есть	3	2
