N	2gram	Voloshinov	SlovoVZh
1	не может	13	16
2	точки зрения	11	14
3	может быть	13	14
4	и его	7	13
5	как бы	30	13
6	и в	42	12
7	таким образом	8	12
8	в нашем	5	11
9	отношению к	2	11
10	по отношению	2	11
11	и не	14	10
12	так как	8	9
13	если бы	4	9
14	прежде всего	22	8
15	для нас	3	7
16	сказать что	3	7
17	слова и	5	6
18	все время	5	6
19	при этом	9	6
20	в том	3	6
21	в нем	6	6
22	только в	7	6
23	в процессе	6	6
24	с помощью	6	6
25	в ней	8	6
26	никогда не	7	5
27	как в	3	5
28	что мы	11	5
29	в жизни	2	5
30	в виду	3	5
31	можно сказать	4	5
32	но в	5	5
33	том что	3	5
34	то же	16	5
35	как и	12	5
36	и следовательно	5	5
37	мы ни	3	5
38	хотя бы	18	5
39	а не	7	5
40	то что	9	5
41	отнюдь не	10	5
42	в самом	5	4
43	в этом	10	4
44	не только	28	4
45	на самом	3	4
46	его в	4	4
47	и является	5	4
48	зависимости от	7	4
49	жизни и	3	4
50	социального общения	14	4
51	не в	6	4
52	жизненное высказывание	2	4
53	высказывания как	3	4
54	все же	9	4
55	к нему	2	4
56	и к	4	4
57	так и	7	4
58	и на	7	4
59	уже не	4	4
60	свое выражение	3	4
61	от того	3	4
62	отношение к	2	4
63	в каком	2	3
64	и вообще	2	3
65	о том	4	3
66	и для	3	3
67	слово в	2	3
68	да и	4	3
69	внутренней речи	18	3
70	так называемой	4	3
71	не к	4	3
72	жизненного высказывания	4	3
73	он должен	3	3
74	и уже	3	3
75	все эти	3	3
76	в котором	3	3
77	и наконец	5	3
78	так же	4	3
79	в своей	2	3
80	мы не	9	3
81	конечно не	3	3
82	точка зрения	4	3
83	в себе	10	3
84	нуждается в	3	3
85	еще не	3	3
86	здесь не	2	3
87	все это	4	3
88	только на	3	3
89	жизненной речи	2	3
90	между тем	3	3
91	и с	5	3
92	бы мы	3	3
93	но для	3	3
94	точек зрения	5	3
95	социальной группы	4	3
96	сих пор	2	3
97	с ним	2	3
98	в пределах	2	3
99	находит свое	2	3
100	самом деле	5	3
101	и пр	4	3
102	того что	4	3
103	художественного творчества	5	3
104	ведь и	2	3
105	но и	16	3
106	для него	3	3
107	ясно что	2	3
108	одно и	6	2
109	и то	5	2
110	мы в	3	2
111	в его	6	2
112	допустим что	3	2
113	до конца	2	2
114	и здесь	3	2
115	общения не	2	2
116	высказывания так	2	2
117	а к	3	2
118	социальной жизни	3	2
119	не так	3	2
120	в отношении	2	2
121	мы никогда	5	2
122	в душе	2	2
123	не есть	2	2
124	как уже	2	2
125	место в	2	2
126	ничего не	8	2
127	словом и	3	2
128	с его	8	2
129	и те	2	2
130	как не	2	2
131	оценок и	2	2
132	что и	3	2
133	это не	3	2
134	и все	4	2
135	кроме того	2	2
136	слова но	3	2
137	с точки	5	2
138	но все	5	2
139	тому же	2	2
140	бы не	2	2
141	в зависимости	7	2
142	но мы	2	2
143	слово это	2	2
144	с другими	2	2
145	независимо от	5	2
146	зависит от	2	2
147	же социальная	2	2
148	высказывания и	3	2
149	мы имеем	2	2
150	высказывание как	3	2
151	форма высказывания	3	2
152	в то	9	2
153	те же	5	2
154	уже в	5	2
155	в этих	2	2
156	влияние на	4	2
157	связь с	2	2
158	но это	2	2
159	не поймем	2	2
160	он не	2	2
161	в какой	2	2
162	как только	4	2
163	точку зрения	6	2
164	и потому	2	2
165	общения и	4	2
166	может стать	3	2
167	но не	2	2
168	как это	5	2
169	на это	4	2
170	мы можем	7	2
171	ни на	3	2
172	в материале	2	2
173	между собой	2	2
174	нет ничего	2	2
175	в форме	6	2
176	и так	6	2
177	той социальной	2	2
178	выражение в	3	2
179	относится к	2	2
180	к этому	2	2
181	нашего сознания	2	2
182	же самое	5	2
183	высказывания с	3	2
184	между ними	3	2
185	и слово	3	2
186	но что	3	2
187	вместе с	5	2
188	со всех	2	2
189	на него	4	2
