N	3gram	Losev_Prob	Komedia
1	в том что	13	29
2	к тому же	5	21
3	до сих пор	3	16
4	в то же	2	16
5	о том что	14	13
6	для того чтобы	3	11
7	в то время	4	11
8	в свою очередь	2	10
9	по отношению к	2	9
10	то время как	4	9
11	с одной стороны	5	9
12	вместе с тем	5	9
13	с другой стороны	7	8
14	то ни было	2	7
15	в н э	12	7
16	бы то ни	4	7
17	в конце концов	7	7
18	во всяком случае	6	7
19	так или иначе	3	7
20	с самого начала	3	7
21	говоря уже о	2	6
22	после того как	3	6
23	в связи с	11	6
24	с точки зрения	13	6
25	в том числе	2	6
26	не говоря уже	2	6
27	то же самое	2	5
28	в этом отношении	4	5
29	том что он	3	5
30	у того же	2	5
31	за то что	2	5
32	тем не менее	8	5
33	в это время	3	4
34	само собой разумеется	2	4
35	можно было бы	2	4
36	до н э	5	4
37	но все же	2	4
38	iii в н	2	3
39	ни в чем	2	3
40	но и в	2	3
41	хотя и не	3	3
42	на то что	2	3
43	в новое время	3	3
44	в чем не	2	3
45	в какой мере	3	3
46	равно как и	2	3
47	того же автора	2	2
48	в до н	2	2
49	только в том	2	2
50	точно так же	4	2
51	не только в	5	2
52	v в н	5	2
53	у меня в	2	2
54	этой точки зрения	2	2
55	в этом смысле	4	2
56	с этой точки	2	2
57	как будто бы	3	2
58	а может быть	2	2
