N	3gram	Vygotskiy_	Komedia
1	в том что	41	29
2	до сих пор	3	16
3	о том что	3	13
4	в самом деле	4	13
5	для того чтобы	14	11
6	в то время	5	11
7	в свою очередь	3	10
8	по отношению к	3	9
9	то время как	5	9
10	с одной стороны	8	9
11	вместе с тем	11	9
12	речь идет о	2	8
13	с другой стороны	5	8
14	на этот раз	2	7
15	в первую очередь	2	7
16	во всяком случае	10	7
17	с самого начала	6	7
18	в связи с	8	6
19	с точки зрения	11	6
20	в том числе	3	6
21	в отличие от	8	6
22	что он не	2	5
23	то же самое	9	5
24	в этом отношении	9	5
25	тем не менее	6	5
26	что и в	6	4
27	в этой области	2	4
28	можно было бы	8	4
29	и тот же	6	4
30	так как он	2	4
31	независимо от того	3	4
32	в обоих случаях	2	4
33	по сравнению с	4	4
34	более или менее	3	3
35	друг от друга	2	3
36	в этом же	2	3
37	то обстоятельство что	4	3
38	внешней и внутренней	3	3
39	в высшей степени	11	3
40	друг с другом	10	3
41	на то что	5	3
42	один и тот	6	3
43	том числе и	3	3
44	на пути к	2	3
45	состоит в том	4	3
46	одному и тому	5	2
47	как мы видели	4	2
48	только в том	4	2
49	на первый план	5	2
50	же что и	2	2
51	таким же образом	2	2
52	в зависимости от	6	2
53	к одному и	5	2
54	точно так же	4	2
55	так и в	2	2
56	том что в	3	2
57	в этом случае	4	2
58	так же как	9	2
59	только потому что	2	2
60	и тому же	5	2
61	этой точки зрения	4	2
62	в этом смысле	7	2
63	как и в	3	2
64	с этой точки	4	2
65	с полным основанием	3	2
