N	2gram	Potebnia_M	Hudozhes
1	то есть	53	26
2	в мире	3	24
3	и в	48	23
4	не только	32	20
5	в том	47	20
6	может быть	46	19
7	при этом	6	19
8	и не	28	16
9	тогда как	8	15
10	но и	30	14
11	а в	14	13
12	в себе	26	13
13	но не	8	13
14	а не	22	13
15	то же	35	12
16	в этом	19	12
17	и его	4	12
18	так и	17	12
19	как бы	10	11
20	точки зрения	4	11
21	в его	6	11
22	но в	8	10
23	по отношению	12	10
24	отношению к	10	10
25	не в	24	9
26	в душе	17	9
27	том что	28	9
28	не может	18	9
29	с другой	8	9
30	в искусстве	6	9
31	в то	16	8
32	в области	3	8
33	в самом	11	7
34	отношение к	2	7
35	я и	3	7
36	лишь в	2	7
37	в своей	2	7
38	только в	29	7
39	же время	8	7
40	что в	30	7
41	отличие от	2	7
42	не столько	2	7
43	более или	6	6
44	уже не	11	6
45	другой стороны	4	6
46	в нем	16	6
47	можно сказать	4	6
48	в ее	3	6
49	или менее	6	6
50	тем самым	11	5
51	ни в	2	5
52	с другими	9	5
53	могут быть	6	5
54	между ними	4	5
55	место в	4	5
56	для того	8	5
57	того чтобы	5	5
58	со стороны	4	5
59	в их	2	5
60	что он	8	5
61	то что	37	5
62	не менее	9	5
63	прежде всего	6	5
64	говоря словами	2	5
65	того что	24	5
66	для него	14	5
67	в слове	41	4
68	и то	13	4
69	сказать что	8	4
70	его в	6	4
71	далеко не	5	4
72	это не	2	4
73	для себя	3	4
74	а только	7	4
75	так в	4	4
76	к тому	9	4
77	между тем	19	4
78	во времени	2	4
79	входит в	3	4
80	в данном	3	4
81	в форме	2	4
82	художественного произведения	6	4
83	не знает	4	4
84	произведения искусства	2	4
85	в силу	7	4
86	и как	8	4
87	еще не	9	4
88	и тем	8	4
89	и что	13	4
90	языка в	6	4
91	говорить о	6	4
92	в этих	2	4
93	он не	4	4
94	не следует	6	4
95	и о	6	4
96	отношения к	2	4
97	например в	9	4
98	в своем	6	4
99	хотя и	3	4
100	со своей	2	4
101	так или	2	4
102	даже в	3	3
103	произведений искусства	2	3
104	к нему	7	3
105	по своему	2	3
106	искусства и	3	3
107	одно и	7	3
108	и притом	3	3
109	в произведении	4	3
110	как совокупность	2	3
111	как и	22	3
112	того же	5	3
113	их в	3	3
114	говоря о	5	3
115	сводятся к	2	3
116	потому что	82	3
117	одной стороны	4	3
118	слова в	7	3
119	одно слово	6	3
120	в целом	5	3
121	к его	2	3
122	в свою	6	3
123	человеческой жизни	3	3
124	и к	5	3
125	одного и	2	3
126	к содержанию	4	3
127	человека с	2	3
128	тем не	7	3
129	из этих	10	3
130	связи с	6	3
131	и на	5	3
132	с языком	3	3
133	тому как	6	3
134	на деле	8	3
135	если бы	20	3
136	в той	2	3
137	не будет	4	3
138	другого в	2	3
139	с точки	3	3
140	и того	2	3
141	он должен	2	3
142	подобно тому	3	3
143	художественное произведение	6	3
144	себя и	4	3
145	с этой	2	3
146	таким образом	24	3
147	в таком	6	3
148	есть в	6	3
149	в которой	9	3
150	никто не	5	3
151	была бы	5	3
152	этом смысле	2	3
153	на языке	2	3
154	отношении к	3	3
155	в одном	4	3
156	с одной	8	3
157	но он	3	3
158	и состоит	2	3
159	в системе	2	3
160	никогда не	2	2
161	о том	7	2
162	одной из	3	2
163	для понимания	5	2
164	в каком	8	2
165	вытекает из	2	2
166	как в	17	2
167	наших глазах	2	2
168	одно из	6	2
169	и наоборот	5	2
170	не от	3	2
171	и это	6	2
172	ее в	2	2
173	могла бы	2	2
174	тому что	6	2
175	и потому	9	2
176	значительной степени	2	2
177	слова не	2	2
178	столь же	8	2
179	в чем	6	2
180	что такое	2	2
181	или в	4	2
182	для меня	5	2
183	именно в	5	2
184	но как	2	2
185	таких случаях	2	2
186	тем более	9	2
187	не всегда	5	2
188	человека и	8	2
189	не все	5	2
190	ни был	3	2
191	вслед за	6	2
192	времени и	2	2
193	образом и	3	2
194	оно не	7	2
195	что она	4	2
196	за пределы	2	2
197	известного рода	2	2
198	я думаю	2	2
199	не как	3	2
200	в глаза	2	2
201	так же	6	2
202	об этом	4	2
203	свою очередь	6	2
204	но на	2	2
205	и по	5	2
206	один из	7	2
207	собственно говоря	2	2
208	на котором	4	2
209	произведении искусства	4	2
210	в них	9	2
211	на свою	2	2
212	по себе	26	2
213	которая не	2	2
214	сама по	3	2
215	не могло	3	2
216	несмотря на	2	2
217	с чем	3	2
218	таком случае	2	2
219	на мир	2	2
220	в основании	2	2
221	это и	2	2
222	слова и	8	2
223	все это	4	2
224	быть названо	2	2
225	к другому	3	2
226	с ними	6	2
227	между двумя	5	2
228	бы не	6	2
229	что и	16	2
230	большей части	2	2
231	от своего	2	2
232	не принадлежит	2	2
233	ни одно	2	2
234	ни было	2	2
235	искусство есть	3	2
236	в одно	8	2
237	одним из	3	2
238	и может	4	2
239	к своему	3	2
240	только о	2	2
241	никем не	2	2
242	самом деле	5	2
243	я как	5	2
244	и более	4	2
245	этого слова	14	2
246	в этой	3	2
247	но только	3	2
248	жизни то	2	2
249	а с	4	2
250	из виду	4	2
251	с ним	10	2
252	превращается в	3	2
253	который в	2	2
254	при котором	2	2
255	в какой	3	2
256	вовсе не	13	2
257	заключается в	2	2
258	если мы	2	2
259	у него	3	2
260	при чтении	2	2
261	бы то	2	2
262	не с	4	2
263	при всей	2	2
