N	2gram	Tiupa_Anal	formyVre
1	и в	30	148
2	в этом	31	73
3	то есть	19	70
4	в романе	2	58
5	в нем	3	51
6	прежде всего	8	46
7	и т	3	40
8	и не	33	37
9	в его	15	36
10	и его	9	36
11	вовсе не	4	35
12	но и	29	33
13	то же	12	32
14	т п	3	32
15	не только	30	32
16	в литературе	4	32
17	но в	11	31
18	так и	16	29
19	времени в	4	27
20	может быть	33	27
21	не в	17	26
22	как мы	3	26
23	как и	23	25
24	как бы	15	25
25	мы уже	2	24
26	точки зрения	10	24
27	в то	10	23
28	времени и	7	23
29	только в	8	23
30	то что	11	22
31	в том	36	22
32	все эти	3	21
33	связи с	2	21
34	во всех	5	21
35	же время	7	21
36	в своем	2	19
37	и для	3	19
38	и на	10	19
39	у него	5	18
40	и все	5	18
41	еще не	5	18
42	таким образом	5	18
43	те же	3	17
44	при этом	20	17
45	так как	3	17
46	в пределах	11	17
47	все же	4	16
48	того же	7	16
49	и во	3	16
50	в связи	2	16
51	в основе	6	16
52	не может	26	16
53	и их	2	16
54	никогда не	4	15
55	лишь в	12	15
56	в одном	3	15
57	с точки	6	15
58	с его	3	15
59	вместе с	6	15
60	все это	2	14
61	всех этих	2	14
62	и как	6	14
63	в конце	4	14
64	и с	2	14
65	как раз	5	14
66	а не	25	14
67	роль в	3	13
68	в их	8	13
69	в частности	32	13
70	а в	11	13
71	с другом	2	13
72	здесь в	2	13
73	того чтобы	3	13
74	друг с	2	13
75	для того	4	13
76	как в	3	13
77	в котором	5	13
78	в самом	12	13
79	с ним	6	13
80	ничего не	10	12
81	отнюдь не	22	12
82	и до	3	12
83	и наконец	2	12
84	но не	13	12
85	потому что	3	12
86	он не	4	12
87	что в	7	12
88	его в	2	11
89	хотя и	4	11
90	ни в	5	11
91	романа в	4	11
92	из них	2	11
93	смерть и	2	11
94	со смертью	4	10
95	здесь не	2	10
96	в ее	2	10
97	тот же	2	10
98	также и	3	10
99	уже не	6	10
100	и того	5	10
101	на основе	3	10
102	могут быть	12	9
103	одного и	2	9
104	всего в	3	9
105	на этой	2	9
106	том что	21	9
107	должно быть	2	9
108	и даже	10	9
109	мира в	2	9
110	с другой	7	9
111	на протяжении	2	9
112	для него	5	9
113	есть в	4	9
114	отношения к	4	9
115	это не	7	8
116	или иной	8	8
117	и смерть	2	8
118	для себя	3	8
119	и потому	2	8
120	в произведении	7	8
121	к тому	12	8
122	отношение к	2	8
123	том числе	3	8
124	в целом	9	8
125	и т.п	13	8
126	один из	4	8
127	что и	5	8
128	и то	4	8
129	а также	8	8
130	в результате	3	8
131	и по	2	8
132	если бы	6	8
133	в этих	3	8
134	отношению к	9	8
135	с одной	7	8
136	в мире	14	8
137	и к	5	8
138	в виду	2	8
139	на фоне	5	8
140	жизни но	3	8
141	во времени	6	7
142	в процессе	2	7
143	в себе	17	7
144	не как	2	7
145	том же	2	7
146	отличие от	8	7
147	не знает	4	7
148	того что	5	7
149	широком смысле	2	7
150	между собой	2	7
151	в той	8	7
152	место в	3	7
153	было бы	4	7
154	себя и	5	7
155	имеет место	6	7
156	к этому	2	7
157	из этих	2	7
158	в которой	3	7
159	этого мира	2	7
160	с ее	2	7
161	этом отношении	5	7
162	в эпизоде	5	7
163	ее в	2	7
164	в отличие	8	7
165	нет ничего	2	7
166	в себя	8	7
167	в широком	4	6
168	все они	2	6
169	в отношении	2	6
170	не могут	3	6
171	в присутствии	3	6
172	есть не	9	6
173	а как	4	6
174	с самим	3	6
175	одной из	2	6
