N	2gram	Vygotskiy_	Vladivir
1	и в	47	116
2	то что	40	71
3	и не	27	67
4	не только	36	65
5	у него	2	65
6	в этом	47	53
7	в том	38	52
8	том что	28	51
9	что в	23	48
10	но и	19	47
11	в конце	5	41
12	в его	7	40
13	и с	5	39
14	сказать что	18	36
15	и даже	3	36
16	также и	2	36
17	так что	8	35
18	учение о	3	35
19	потому что	26	33
20	что он	13	32
21	не может	23	31
22	о том	5	30
23	только в	24	30
24	никогда не	7	29
25	как мы	24	29
26	для него	6	29
27	вовсе не	3	27
28	а в	3	27
29	в то	10	25
30	но в	9	25
31	в себе	14	25
32	и то	10	25
33	и его	14	25
34	точки зрения	39	23
35	может быть	20	23
36	он не	5	23
37	что же	3	23
38	в виде	2	22
39	так как	25	22
40	об этом	4	22
41	ни в	3	22
42	в своей	4	21
43	вместе с	19	21
44	в своем	3	20
45	прежде всего	9	20
46	для нас	4	20
47	и что	14	20
48	и потому	3	19
49	и вообще	3	19
50	так и	8	19
51	не менее	6	19
52	как раз	6	19
53	по поводу	3	19
54	таким образом	38	19
55	тем не	4	19
56	не в	7	18
57	как это	7	18
58	как и	19	18
59	хотя и	4	18
60	не мог	2	18
61	едва ли	5	17
62	что и	4	17
63	в этой	7	17
64	у нас	3	17
65	а не	7	17
66	все же	7	16
67	того что	27	16
68	совсем не	2	16
69	было бы	12	16
70	к тому	13	16
71	и все	5	16
72	для себя	24	16
73	в котором	6	16
74	не есть	4	16
75	до конца	8	15
76	но это	4	15
77	к этому	2	15
78	это было	2	15
79	несмотря на	2	15
80	то же	16	15
81	в своих	2	15
82	и к	11	15
83	того же	7	14
84	уже в	3	14
85	все эти	7	14
86	и как	7	14
87	и на	4	14
88	мы уже	5	14
89	так же	26	13
90	с тем	8	13
91	можно сказать	9	13
92	и от	6	13
93	что это	7	13
94	в результате	3	13
95	на этот	2	13
96	то время	8	13
97	во всем	4	13
98	есть только	3	12
99	только на	5	12
100	ничего не	2	12
101	в нем	6	12
102	и по	6	12
103	связи с	4	12
104	во всяком	2	12
105	содержит в	4	12
106	то в	4	12
107	и это	2	12
108	учения о	4	12
109	по себе	5	12
110	в отношении	9	11
111	мы должны	7	11
112	еще в	3	11
113	и о	4	11
114	я не	3	11
115	при этом	4	11
116	все это	5	11
117	это есть	6	11
118	никак не	5	11
119	в данном	7	11
120	в которой	16	11
121	и здесь	5	11
122	на то	5	11
123	но что	2	11
124	тому же	2	11
125	в основном	4	11
126	даже в	2	10
127	к нему	5	10
128	в ней	5	10
129	что его	2	10
130	что все	6	10
131	в качестве	9	10
132	можно было	7	10
133	еще не	5	10
134	но не	13	10
135	что для	3	10
136	в самом	15	10
137	отнюдь не	2	10
138	с точки	31	10
139	с ним	5	10
140	это не	6	9
141	но как	3	9
142	о чем	8	9
143	и притом	4	9
144	оно есть	5	9
145	мы знаем	5	9
146	а с	3	9
147	а только	2	9
148	в целом	7	9
149	в начале	6	9
150	по существу	2	9
151	что если	2	9
152	с этим	5	9
153	с другой	7	9
154	именно в	9	9
155	этом смысле	2	9
156	что мы	14	9
157	из этого	4	9
158	отношения к	5	9
159	но он	3	9
160	это мы	6	8
161	только и	5	8
162	отношение к	8	8
163	в чем	5	8
164	как бы	13	8
165	из этих	6	8
166	и он	4	8
167	должно быть	3	8
168	в этот	3	8
169	тем что	14	8
170	с этой	5	8
171	в этих	2	8
172	как в	7	8
173	и для	5	8
174	когда он	2	8
175	которой он	2	8
176	конечно не	2	8
177	в смысле	9	8
178	и особенно	2	8
179	в каком	2	7
180	к его	3	7
181	но даже	2	7
182	не имеет	6	7
183	к этой	2	7
184	себе и	2	7
185	на первом	2	7
186	по этому	4	7
187	на его	3	7
188	точно так	3	7
189	того чтобы	26	7
190	о его	3	7
191	здесь мы	2	7
192	мы видели	10	7
193	то и	5	7
194	за пределы	2	7
195	если бы	8	7
196	к ней	2	7
197	но если	5	7
198	но все	2	7
199	в одном	4	7
200	что этот	6	7
201	в таком	2	7
202	и есть	4	7
203	в нашем	6	7
204	в них	3	7
205	мы и	5	7
206	данном случае	5	6
207	его в	7	6
208	в отличие	4	6
209	само собой	2	6
210	учении о	6	6
211	что здесь	2	6
212	а это	2	6
213	от того	6	6
214	есть не	3	6
215	том же	7	6
216	на основании	2	6
217	в виду	5	6
218	отличие от	4	6
219	что на	5	6
220	тому что	14	6
221	нельзя сказать	2	6
222	здесь в	2	6
223	можно говорить	2	6
224	то как	3	6
225	по своему	11	6
226	время как	7	6
227	другой стороны	3	6
228	что она	8	6
229	не раз	2	6
230	мысли и	13	6
231	должен был	2	6
232	и наконец	4	6
233	для того	24	6
234	такой же	4	6
235	но только	5	6
236	мы не	10	6
237	и из	2	6
238	не с	3	6
239	если мы	6	6
240	но на	3	6
241	той же	13	6
242	ко всему	2	6
243	по своей	12	6
244	он сам	2	6
245	в период	2	6
246	и речи	19	6
247	чем в	5	6
248	но мы	5	5
249	а и	2	5
250	вопрос о	9	5
251	друг друга	9	5
252	подобного рода	2	5
253	и тем	10	5
254	в их	4	5
255	в частности	4	5
256	эти три	2	5
257	она не	7	5
258	с самого	13	5
259	и без	2	5
260	не содержит	2	5
261	мы находим	3	5
262	один из	3	5
263	эти последние	2	5
264	что с	7	5
265	и до	3	5
266	того и	2	5
267	что они	11	5
268	во время	2	5
269	в области	5	5
270	и больше	2	5
271	ее в	11	5
272	увидим ниже	3	5
273	только к	4	5
274	мы имеем	3	5
275	во всех	9	5
276	говорит что	3	5
277	которой мы	2	5
278	что у	4	5
279	не прямо	2	5
280	на одной	2	5
281	в свою	3	5
282	для его	2	5
283	из них	2	5
284	и только	7	5
285	как на	8	5
286	без всякого	2	5
287	на самом	3	4
288	перед нами	3	4
289	тем самым	14	4
290	о которых	3	4
291	не могут	9	4
292	для нее	3	4
293	но для	2	4
294	оказывается что	2	4
295	ясно что	4	4
296	наряду с	2	4
297	которых мы	5	4
298	как к	4	4
299	и вместе	2	4
300	возникает вопрос	2	4
301	это и	7	4
302	не могли	5	4
303	и других	5	4
304	только одно	2	4
305	совершенно не	2	4
306	он мог	2	4
307	у них	2	4
308	одной из	4	4
309	только с	2	4
310	мог бы	6	4
311	с большим	2	4
312	что можно	2	4
313	она есть	2	4
314	одной стороны	7	4
315	процесс в	2	4
316	и против	2	4
317	в такой	6	4
318	и во	5	4
319	себя и	2	4
320	в сущности	16	4
321	на этих	2	4
322	представление о	8	4
323	с которыми	3	4
324	когда мы	2	4
325	время в	3	4
326	с ней	3	4
327	но этот	2	4
328	мы можем	7	4
329	во второй	5	4
330	себе в	5	4
331	только что	7	4
332	и весь	3	4
333	лишь в	3	4
334	этом отношении	7	4
335	если оно	2	4
336	нас в	4	4
337	с одной	7	4
338	заключается в	14	4
339	и более	2	4
340	нет и	4	4
341	их в	2	4
342	знаем что	3	4
343	на этом	4	4
344	только не	14	4
345	сам по	2	4
346	же самое	12	4
347	о которой	2	4
348	но с	4	4
349	является как	2	4
350	по своим	2	4
351	бы с	2	3
352	в первую	3	3
353	что является	2	3
354	что их	2	3
355	с таким	3	3
356	которые в	5	3
357	и ее	3	3
358	в другом	3	3
359	свою очередь	3	3
360	в силу	21	3
361	наконец в	3	3
362	остановиться на	4	3
363	в лет	2	3
364	было сказано	3	3
365	но эта	2	3
366	между ними	8	3
367	казалось бы	4	3
368	и при	2	3
369	точка зрения	2	3
370	самом деле	6	3
371	на вопрос	6	3
372	его от	2	3
373	на котором	4	3
374	только потому	3	3
375	этот факт	4	3
376	значение для	2	3
377	к которой	3	3
378	его к	2	3
379	гораздо более	4	3
380	что не	2	3
381	не могла	2	3
382	этому поводу	3	3
383	и она	2	3
384	с теми	2	3
385	речи с	10	3
386	в разных	6	3
387	же как	14	3
388	самого начала	13	3
389	находится в	3	3
390	этот период	2	3
391	первую очередь	3	3
392	до того	2	3
393	интерес к	2	3
394	том числе	2	3
395	мыслей и	2	3
396	того как	6	3
397	очень часто	2	3
398	одно и	3	3
399	в чисто	2	3
400	декарта и	2	3
401	только как	2	3
402	это в	2	3
403	больше и	2	3
404	в последнее	4	3
405	с их	2	3
406	бы в	7	3
407	о своем	2	3
408	которое мы	4	3
409	но то	2	3
410	отличается от	6	3
411	является не	4	3
412	в заключение	2	3
413	как говорит	6	3
414	одним из	3	3
415	исходить из	2	3
416	отношении к	4	3
417	не могло	3	3
418	что есть	2	3
419	том и	3	3
420	как известно	6	3
421	что по	2	3
422	которого мы	2	3
423	что такое	2	3
424	в состоянии	4	3
425	все что	7	3
426	сравнительно с	2	3
427	в какой	6	3
428	оно не	3	3
429	в которых	3	3
430	а по	4	3
431	от нее	3	3
432	это же	2	3
433	в новом	2	3
434	только о	3	3
435	этой области	2	3
436	была бы	3	3
437	последнее время	5	3
438	она должна	2	2
439	в действительности	3	2
440	том как	2	2
441	не является	4	2
442	для всего	2	2
443	что уже	2	2
444	в ответ	3	2
445	эту мысль	3	2
446	одна из	2	2
447	чем мы	3	2
448	с той	3	2
449	этот путь	3	2
450	к более	3	2
451	не по	7	2
452	раз что	2	2
453	но именно	3	2
454	не путем	2	2
455	в момент	4	2
456	видно из	2	2
457	вся система	2	2
458	нужно было	4	2
459	от всякой	2	2
460	со всеми	2	2
461	то о	5	2
462	образом в	5	2
463	для всей	2	2
464	к изучению	4	2
465	стороны и	6	2
466	но так	2	2
467	может и	3	2
468	на этой	7	2
469	для всех	2	2
470	на том	2	2
471	они не	2	2
472	знания в	2	2
473	рядом с	2	2
474	всем его	2	2
475	не из	2	2
476	одного из	2	2
477	и заключается	3	2
478	ответ на	3	2
479	можно ли	2	2
480	поэзии и	2	2
481	прямое выражение	2	2
482	в ее	7	2
483	но вместе	2	2
484	в собственном	4	2
485	той или	2	2
486	почти всегда	3	2
487	и может	2	2
488	у одного	2	2
489	не иначе	6	2
490	и самым	2	2
491	все равно	2	2
492	известной степени	2	2
493	например в	5	2
494	что эти	3	2
495	этого слова	5	2
496	в двух	2	2
497	этом случае	15	2
498	своего развития	4	2
499	что каждая	2	2
500	в основе	5	2
501	их как	2	2
502	еще один	2	2
503	если в	6	2
504	прямо и	4	2
505	нашей работы	3	2
506	она является	2	2
507	имеет в	4	2
508	оно имеет	2	2
509	но эти	2	2
510	с другими	5	2
511	в нашей	4	2
512	в первой	3	2
513	менее всего	3	2
514	конца и	2	2
515	с ее	2	2
516	от этого	3	2
517	чем у	3	2
518	этом и	2	2
519	дело с	3	2
520	за ним	3	2
521	известно что	3	2
522	в меру	9	2
523	в возможности	2	2
524	и словом	5	2
525	та же	2	2
526	даже с	2	2
527	и которые	3	2
528	эта речь	9	2
529	нам в	2	2
530	она в	2	2
531	и их	7	2
532	а из	4	2
533	сомнения в	2	2
534	никем не	2	2
535	его и	2	2
536	на одно	2	2
537	сих пор	6	2
538	во всей	3	2
539	которые мы	4	2
540	это с	2	2
541	в самых	2	2
542	и является	5	2
543	речи в	31	2
544	является в	7	2
545	поэтому в	2	2
546	в порядке	3	2
547	в самой	3	2
548	этим самым	2	2
549	из которых	3	2
550	в другой	4	2
551	развития и	4	2
552	не чем	2	2
553	должны быть	5	2
554	которые он	2	2
555	это совершенно	2	2
556	выражение в	6	2
557	тогда когда	12	2
558	этих двух	4	2
559	не можем	4	2
560	значение не	2	2
561	внимание на	4	2
562	в той	7	2
563	что оба	2	2
564	не для	2	2
565	и того	3	2
566	что эта	7	2
567	чем это	5	2
568	в высшей	3	2
569	эта проблема	2	2
570	в себя	4	2
571	относится к	5	2
572	тем и	2	2
573	до сих	6	2
