N	2gram	Bakhtin_fo	Poddanst
1	не только	16	17
2	и в	84	14
3	и не	19	12
4	в этом	41	10
5	в отношении	5	10
6	но в	16	9
7	то же	18	9
8	в том	16	9
9	в качестве	6	9
10	хотя бы	2	8
11	в пределах	8	8
12	в то	13	7
13	только в	12	7
14	же время	13	7
15	но и	14	6
16	было бы	2	6
17	в смысле	5	6
18	в ней	4	6
19	с другой	4	5
20	не в	10	5
21	в которых	4	5
22	и пр	2	5
23	может быть	18	5
24	по себе	3	4
25	что в	9	4
26	если бы	6	4
27	и потому	4	4
28	в своем	8	4
29	том что	7	4
30	а также	5	4
31	мы должны	2	4
32	в котором	8	4
33	и к	4	4
34	как бы	11	4
35	то что	13	4
36	не может	8	4
37	а в	6	4
38	же в	6	4
39	что мы	2	3
40	и как	12	3
41	с тем	5	3
42	в порядке	4	3
43	но не	9	3
44	это не	8	3
45	с точки	9	3
46	сами по	2	3
47	мы не	4	3
48	для того	12	3
49	в себе	7	3
50	точки зрения	14	3
51	потому что	11	3
52	одной стороны	3	3
53	в нем	28	3
54	могут быть	7	3
55	прежде всего	28	3
56	и т	21	3
57	хотя и	5	3
58	тот же	4	3
59	с одной	5	3
60	наряду с	7	3
61	для нас	2	2
62	должно быть	6	2
63	не о	2	2
64	да и	4	2
65	в них	11	2
66	в жизни	6	2
67	в мире	4	2
68	было в	2	2
69	одна из	3	2
70	есть не	4	2
71	отношения к	7	2
72	для них	3	2
73	не к	2	2
74	стороны и	2	2
75	и это	5	2
76	и других	5	2
77	в его	19	2
78	с этим	11	2
79	по сравнению	3	2
80	в ряду	2	2
81	и вот	2	2
82	время в	7	2
83	именно в	5	2
84	именно как	4	2
85	в начале	3	2
86	еще более	7	2
87	тем более	4	2
88	все это	10	2
89	но к	2	2
90	в частности	11	2
91	значительной мере	2	2
92	том числе	7	2
93	как на	2	2
94	друг другу	4	2
95	а не	7	2
96	во всей	3	2
97	не было	8	2
98	и есть	3	2
99	одних и	2	2
100	например в	7	2
101	и с	10	2
102	во всех	13	2
103	она ни	3	2
104	в ее	6	2
105	как раз	13	2
106	есть в	3	2
107	в значительной	3	2
108	того что	5	2
109	из них	8	2
110	не столько	2	2
111	отнюдь не	7	2
