N	3gram	Ircho_Kome	Vvedenie
1	для того чтобы	8	22
2	в том что	15	15
3	о том что	7	13
4	тем не менее	3	9
5	до сих пор	12	7
6	в то же	11	6
7	в этом случае	2	6
8	в самом деле	13	6
9	то же время	11	6
10	во всяком случае	3	5
11	и т п	4	5
12	с другой стороны	2	5
13	так или иначе	3	4
14	т е в	2	4
15	в этом отношении	2	4
16	но все же	3	4
17	с одной стороны	4	4
18	по отношению к	4	4
19	в отличие от	3	4
20	с точки зрения	6	4
21	по сравнению с	3	4
22	вместе с тем	5	3
23	то же самое	3	3
24	одной стороны и	2	3
25	в чем же	2	3
26	и в самом	7	3
27	состоит в том	2	2
28	к этому времени	2	2
29	каждой из них	2	2
30	в конце концов	3	2
31	не говоря уже	2	2
32	после того как	3	2
33	в связи с	3	2
34	в свою очередь	10	2
