N	2gram	Nazirov_Vr	Marksizm
1	точки зрения	2	69
2	может быть	4	64
3	и в	8	63
4	и не	5	55
5	как бы	4	53
6	не может	2	47
7	с точки	2	46
8	и его	3	41
9	в этом	8	39
10	таким образом	2	38
11	не только	9	29
12	в нем	6	28
13	то же	5	28
14	но и	7	27
15	связи с	3	25
16	как и	6	24
17	и т.п	2	23
18	в том	3	22
19	то что	7	22
20	при этом	4	20
21	для него	2	20
22	том что	3	19
23	в его	3	19
24	но в	6	18
25	все же	6	17
26	в то	5	16
27	и как	3	16
28	что он	4	15
29	в связи	3	15
30	отнюдь не	2	15
31	же время	5	15
32	– это	6	14
33	так же	4	13
34	в своей	2	13
35	что в	7	13
36	а в	2	12
37	он не	3	12
38	между тем	5	12
39	и все	7	11
40	в ней	4	11
41	еще не	2	11
42	и что	8	11
43	никогда не	2	10
44	его в	3	10
45	с его	3	10
46	одна из	2	10
47	к этому	3	10
48	в своем	3	10
49	в себе	2	9
50	это не	4	9
51	и это	2	9
52	в истории	4	9
53	рядом с	2	9
54	и ее	2	8
55	мы знаем	2	8
56	и даже	6	8
57	на то	3	8
58	в свою	2	8
59	и с	6	8
60	столь же	2	8
61	не было	5	8
62	у него	5	8
63	место в	2	7
64	в этой	2	7
65	в начале	6	7
66	далеко не	3	7
67	о том	4	7
68	в котором	6	7
69	он сам	2	7
70	как раз	2	7
71	на основе	2	7
72	все это	4	6
73	же в	2	6
74	уже не	2	6
75	в той	2	6
76	как же	2	5
77	но как	2	5
78	о чем	2	5
79	в конце	3	5
80	и у	3	5
81	в виду	4	5
82	не менее	2	5
83	тем более	2	5
84	вместе с	2	5
85	и он	2	4
86	в них	2	4
87	он был	3	4
88	и то	2	4
89	целый ряд	4	4
90	одним из	3	4
91	из них	2	4
92	уже в	4	4
93	несмотря на	4	4
94	тем что	3	4
95	к себе	2	3
96	в году	18	3
97	так в	2	3
98	ответ на	2	3
99	в нашей	2	3
100	по нашему	3	3
101	но это	2	3
102	в этот	3	3
103	на первый	2	3
104	человека в	3	3
105	его и	2	3
106	и о	3	3
107	в своих	4	3
108	в русской	3	3
109	с ним	4	3
110	его на	2	2
111	после этого	2	2
112	а с	2	2
113	о нем	6	2
114	к ним	2	2
115	же не	2	2
116	у достоевского	4	2
117	в романе	6	2
118	же как	2	2
119	у тургенева	11	2
120	и во	3	2
121	эти слова	3	2
122	этот момент	2	2
123	лишнего человека	8	2
124	во время	2	2
125	в чем	3	2
126	их в	2	2
127	в эти	2	2
128	отношения к	2	2
129	но он	3	2
