N	2gram	Tiupa_Vved	StatiiOP
1	и в	23	103
2	в том	21	89
3	том что	16	77
4	в этом	27	76
5	что в	6	74
6	не только	32	60
7	о том	7	47
8	но и	31	46
9	то что	9	44
10	что он	2	42
11	в его	9	42
12	и не	24	41
13	может быть	25	38
14	было бы	4	32
15	в этой	2	31
16	все это	3	29
17	тем что	2	29
18	таким образом	6	28
19	а в	15	27
20	а не	31	27
21	но в	14	26
22	что это	2	25
23	так и	14	25
24	этом отношении	7	24
25	и его	9	24
26	все же	10	23
27	не в	12	23
28	потому что	7	23
29	того что	7	22
30	в области	5	22
31	прежде всего	11	22
32	у нас	4	22
33	как в	8	22
34	того чтобы	2	21
35	это не	7	20
36	в то	5	19
37	в своей	10	19
38	только в	9	19
39	об этом	5	18
40	не может	14	18
41	но также	2	18
42	с другой	10	18
43	в котором	11	18
44	он не	6	18
45	в году	2	17
46	самом деле	6	17
47	в данном	22	17
48	в самом	6	17
49	как бы	8	17
50	в ней	5	16
51	можно было	2	16
52	если бы	10	16
53	в этих	5	16
54	как и	21	15
55	для него	5	15
56	например в	2	15
57	по поводу	5	15
58	другой стороны	3	15
59	из этих	5	15
60	также и	6	15
61	и на	5	15
62	у него	8	15
63	как раз	5	15
64	так например	2	14
65	к тому	9	14
66	между тем	3	14
67	то же	8	14
68	в течение	2	14
69	и что	2	14
70	в своем	9	13
71	в конце	3	13
72	со стороны	15	13
73	а с	4	13
74	что касается	5	13
75	тому что	2	13
76	но это	4	13
77	в качестве	18	13
78	в нем	9	13
79	во всяком	3	13
80	всяком случае	3	13
81	в той	5	13
82	жизни и	8	13
83	вместе с	2	13
84	не менее	4	12
85	что они	2	12
86	в тексте	11	12
87	хотя бы	2	12
88	у карамзина	3	12
89	что у	4	12
90	в своих	5	12
91	никогда не	6	11
92	и с	2	11
93	в другом	2	11
94	своего рода	20	11
95	в них	4	11
96	и по	3	11
97	на то	3	11
98	не было	5	11
99	ясно что	2	11
100	на самом	5	10
101	так же	2	10
102	ответ на	2	10
103	в виду	3	10
104	в частности	19	10
105	ничего не	3	10
106	не столько	5	10
107	речь идет	3	10
108	в целом	4	10
109	что и	6	10
110	в начале	3	10
111	во всех	2	10
112	но не	9	10
113	что такое	23	10
114	же время	4	10
115	но он	2	10
116	в чем	2	9
117	такого рода	23	9
118	что же	6	9
119	несмотря на	2	9
120	место в	2	9
121	во время	3	9
122	можно сказать	6	9
123	в одном	5	9
124	не является	7	9
125	времени и	7	9
126	и для	8	9
127	и к	2	9
128	для нас	4	9
129	что мы	2	9
130	внимание на	4	9
131	и тем	3	9
132	и это	2	9
133	до конца	5	8
134	могут быть	5	8
135	отношение к	5	8
136	к которому	2	8
137	в их	2	8
138	связано с	3	8
139	и др	2	8
140	той же	3	8
141	в какой	4	8
142	связи с	2	8
143	к этому	3	8
144	а также	12	8
145	мы имеем	8	8
146	дело не	2	8
147	что она	2	8
148	в результате	5	8
149	тем не	3	8
150	и даже	3	8
151	должен был	2	8
152	в речи	3	8
153	одним из	5	8
154	совершенно не	2	8
155	и о	4	8
156	действующих лиц	2	8
157	заключается в	2	8
158	и более	5	8
159	не имеет	3	8
160	еще более	2	8
161	в которых	2	8
162	подчеркнуть что	5	8
163	данном случае	15	7
164	том как	4	7
165	о чем	4	7
166	вплоть до	2	7
167	уже в	2	7
168	точка зрения	3	7
169	во втором	4	7
170	как это	2	7
171	тем более	3	7
172	не все	2	7
173	лишь в	4	7
174	еще не	8	7
175	отношению к	11	7
176	еще и	2	7
177	на этот	2	7
178	что для	2	7
179	по себе	2	7
180	можно назвать	2	7
181	не просто	2	7
182	нас нет	2	7
183	не мог	2	7
184	даже в	3	6
185	о которых	2	6
186	идет о	3	6
187	в себе	15	6
188	в одной	2	6
189	по отношению	11	6
190	должен быть	3	6
191	к нему	2	6
192	и все	8	6
193	что на	4	6
194	на его	2	6
195	и во	2	6
196	мы не	6	6
197	еще до	2	6
198	и здесь	2	6
199	в особенности	3	6
200	что я	2	6
201	и сам	2	6
202	в жизни	7	6
203	говорить о	5	6
204	не о	2	5
205	на себя	5	5
206	для себя	2	5
207	как он	2	5
208	точку зрения	2	5
209	и потому	2	5
210	она была	2	5
211	а то	2	5
212	одного из	3	5
213	одной стороны	9	5
214	что не	2	5
215	же касается	2	5
216	один из	3	5
217	которых в	2	5
218	при этом	43	5
219	в сущности	3	5
220	не на	3	5
221	должна быть	3	5
222	хотя и	10	5
223	не как	2	5
224	ср у	2	5
225	целый ряд	2	5
226	текста в	3	5
227	как будто	6	5
228	не по	4	5
229	но они	3	5
230	не могло	2	5
231	с одной	9	5
232	на протяжении	2	5
233	на нее	2	5
234	том чтобы	2	5
235	ни с	2	5
236	столь же	3	5
237	это были	2	5
238	уже не	7	5
239	оно не	2	5
240	и который	2	5
241	и только	2	5
242	о которой	4	5
243	в слове	4	5
244	начиная с	3	4
245	очевидно что	2	4
246	одна из	5	4
247	в период	2	4
248	то есть	13	4
249	и у	2	4
250	по своей	4	4
251	не всегда	2	4
252	как у	3	4
253	еще в	3	4
254	в романе	6	4
255	не знает	2	4
256	мере в	2	4
257	они не	3	4
258	состоит в	23	4
259	в первом	3	4
260	обращается к	2	4
261	который в	5	4
262	как мы	5	4
263	да и	3	4
