N	2gram	Tiupa_Teor	NovoeSre
1	а не	14	17
2	и в	24	16
3	не может	8	16
4	нового времени	3	12
5	и не	17	11
6	что в	10	9
7	в том	20	8
8	он не	5	8
9	не будет	3	7
10	может быть	22	7
11	как и	6	7
12	в этом	12	7
13	никогда не	4	6
14	лишь в	10	6
15	ни в	5	6
16	не в	9	6
17	не знает	4	6
18	с его	6	6
19	не только	24	5
20	в жизни	3	5
21	должен быть	2	5
22	все это	2	5
23	в нем	7	5
24	с ее	4	5
25	и к	3	5
26	культуры в	3	5
27	xix века	2	5
28	по своему	4	4
29	в них	2	4
30	и для	3	4
31	прежде всего	3	4
32	не менее	6	4
33	и потому	3	4
34	то что	6	4
35	о том	2	4
36	это не	4	4
37	потому что	3	4
38	в мире	26	3
39	тому как	3	3
40	но и	14	3
41	к жизни	2	3
42	подобно тому	3	3
43	с другой	9	3
44	в ее	6	3
45	к тому	4	3
46	что такое	2	3
47	жизни в	2	3
48	в своей	8	3
49	еще не	6	3
50	человека и	2	3
51	как в	5	3
52	за пределы	2	3
53	сказать что	4	3
54	во всех	3	3
55	это было	2	3
56	в основе	6	3
57	в себе	14	2
58	что она	2	2
59	к более	2	2
60	как будто	2	2
61	себя в	7	2
62	но не	13	2
63	и т.п	7	2
64	не могли	2	2
65	роль в	3	2
66	того чтобы	5	2
67	и это	2	2
68	а в	15	2
69	но в	12	2
70	том что	11	2
71	и на	2	2
72	есть в	3	2
73	и что	4	2
74	все эти	3	2
75	это и	2	2
76	времени в	2	2
77	в мировой	2	2
78	мира и	4	2
79	у него	2	2
80	времени и	2	2
81	на уровне	2	2
82	уже не	6	2
83	с их	2	2
84	как это	10	2
85	другой стороны	6	2
86	так же	2	2
87	так и	14	2
88	ни к	3	2
89	такого рода	13	2
90	могут быть	5	2
91	жизни как	5	2
92	одной стороны	3	2
93	но она	2	2
94	в то	9	2
95	который в	2	2
96	к содержанию	3	2
97	хотя и	4	2
98	этом смысле	3	2
99	с одной	3	2
100	духовной жизни	2	2
101	место в	7	2
102	и даже	2	2
103	более не	2	2
104	вместе с	2	2
105	я не	2	2
