N	2gram	Bakhtin_Fr	TeoriaLi
1	не только	24	24
2	и в	105	24
3	в частности	6	23
4	то есть	71	22
5	может быть	11	22
6	в том	17	20
7	при этом	10	20
8	и не	34	17
9	а в	4	15
10	но и	20	14
11	так и	16	14
12	в себе	7	14
13	но не	7	13
14	в этом	22	12
15	то же	6	12
16	но в	16	12
17	в его	24	12
18	том что	9	11
19	точки зрения	10	11
20	своего рода	2	11
21	и его	24	11
22	по отношению	2	10
23	лишь в	4	10
24	отношению к	2	10
25	что в	4	10
26	не в	4	9
27	в искусстве	3	9
28	с другой	3	9
29	в то	5	9
30	только в	16	9
31	не может	9	8
32	по своей	3	8
33	как бы	33	8
34	в своей	8	8
35	же время	5	8
36	или иной	5	7
37	в своем	11	7
38	отношение к	9	7
39	во второй	2	7
40	в области	10	7
41	отличие от	5	7
42	в самом	7	7
43	в отличие	4	7
44	место в	4	7
45	и т.п	26	7
46	в нем	16	7
47	не менее	2	6
48	еще не	8	6
49	то что	7	6
50	как и	15	6
51	уже не	3	6
52	приводит к	2	6
53	между ними	4	6
54	в ее	5	6
55	в основе	8	6
56	с его	9	6
57	а и	2	5
58	по преимуществу	3	5
59	как в	6	5
60	как к	3	5
61	и одновременно	6	5
62	в виду	5	5
63	не является	4	5
64	для того	2	5
65	и о	4	5
66	в пределах	3	5
67	для него	12	5
68	между тем	5	5
69	могут быть	4	5
70	жизни как	3	5
71	того чтобы	3	5
72	того что	3	5
73	он не	3	5
74	в себя	9	5
75	можно сказать	4	5
76	никогда не	11	4
77	сказать что	12	4
78	в отношении	7	4
79	его в	7	4
80	это не	4	4
81	так в	4	4
82	в форме	6	4
83	в другом	2	4
84	и т.д	2	4
85	в их	6	4
86	в этих	6	4
87	что он	5	4
88	по своему	9	4
89	в литературе	9	4
90	далеко не	6	4
91	к тому	3	4
92	речи и	2	4
93	мира и	4	4
94	входит в	4	4
95	в целом	3	4
96	или даже	2	4
97	не на	2	4
98	с ее	3	4
99	и сам	2	4
100	отношения к	5	4
101	в нашем	3	4
102	не знает	6	4
103	хотя и	4	4
104	но он	5	4
105	даже в	6	3
106	и потому	14	3
107	во всех	13	3
108	из этих	7	3
109	одной стороны	2	3
110	о чем	3	3
111	в противоположность	3	3
112	и для	3	3
113	и как	2	3
114	говоря о	2	3
115	к которому	2	3
116	роль в	6	3
117	в узком	4	3
118	или в	2	3
119	мира в	3	3
120	подобно тому	2	3
121	в таком	2	3
122	одним из	4	3
123	по мысли	2	3
124	в эпизоде	2	3
125	и вот	5	3
126	ни к	2	3
127	в романе	8	3
128	с одной	2	3
129	и др	32	3
130	есть в	6	3
131	в жизни	7	3
132	искусства и	6	3
133	их в	3	3
134	культуры в	4	3
135	именно в	6	3
136	потому что	6	3
137	тому как	2	3
138	том числе	10	3
139	имеем в	2	3
140	прежде всего	26	3
141	и к	7	3
142	на языке	2	3
143	с точки	6	3
144	все эти	15	3
145	той или	5	3
146	и по	3	3
147	связи с	5	3
148	в связи	2	3
149	таким образом	5	3
150	нового времени	17	3
151	во всей	4	3
152	известной степени	2	3
153	например в	3	3
154	в этой	11	3
155	имеет место	2	3
156	в одном	8	3
157	как раз	3	3
158	вовсе не	25	3
159	еще и	6	2
160	на время	4	2
161	могла бы	2	2
162	не могут	4	2
163	значительной степени	4	2
164	так же	2	2
165	но как	3	2
166	одну из	2	2
167	человека и	4	2
168	можно охарактеризовать	2	2
169	дело в	2	2
170	при всей	2	2
171	с их	7	2
172	за пределы	10	2
173	до известной	2	2
174	включает в	3	2
175	это было	2	2
176	об этом	2	2
177	но на	3	2
178	и даже	10	2
179	в конце	3	2
180	и здесь	4	2
181	узком значении	2	2
182	и прежде	4	2
183	это и	3	2
184	превращается в	6	2
185	времени и	9	2
186	жизни в	8	2
187	в значительной	9	2
188	от своего	2	2
189	только на	3	2
190	и другие	10	2
191	мире и	3	2
192	в формах	3	2
193	у него	2	2
194	самом деле	3	2
195	автора и	2	2
196	в чем	2	2
197	в какой	2	2
198	перед лицом	2	2
199	на фоне	4	2
200	на котором	3	2
201	здесь мы	2	2
202	одной из	3	2
203	жизни но	2	2
204	к нему	5	2
205	этом что	2	2
206	числе и	7	2
207	и это	3	2
208	ее в	2	2
209	от всех	3	2
210	о том	5	2
211	в самой	5	2
212	таковы например	4	2
213	не вполне	3	2
214	общения между	2	2
215	и мира	2	2
216	оно не	2	2
217	и на	25	2
218	не входит	2	2
219	из тех	2	2
220	на этом	2	2
221	в году	13	2
222	из которых	2	2
223	он и	3	2
224	один из	5	2
225	в них	13	2
226	несмотря на	5	2
227	здесь не	3	2
228	на мир	7	2
229	в той	5	2
230	к жизни	2	2
231	что и	2	2
232	к числу	2	2
233	а затем	4	2
234	с ними	2	2
235	себя и	2	2
236	и особенно	4	2
237	не просто	3	2
238	все это	16	2
239	что они	2	2
240	в большинстве	2	2
241	совершенно иной	2	2
242	жить и	6	2
243	человеческих отношений	2	2
244	этих двух	2	2
245	xix века	6	2
246	основе своей	2	2
247	в системе	3	2
