N	3gram	Bakhtin_fo	Tvorches
1	в то же	10	25
2	то же время	13	24
3	и т д	3	17
4	в том что	4	11
5	в соответствии с	2	8
6	о том что	2	8
7	и в то	7	7
8	но в то	2	6
9	не может быть	4	6
10	и т п	18	5
11	по отношению к	3	5
12	в том же	3	5
13	с точки зрения	9	4
14	с самого начала	3	4
15	до сих пор	4	4
16	дело в том	2	4
17	это значит что	2	3
18	как и в	3	3
19	сами по себе	2	3
20	в отличие от	3	3
21	бы он ни	2	2
22	не только в	6	2
23	на протяжении всего	2	2
24	для того чтобы	11	2
25	то есть не	3	2
26	человека и его	8	2
27	мы уже говорили	6	2
28	в связи с	12	2
29	том числе и	4	2
30	так как он	2	2
31	вместе с тем	3	2
32	так же как	2	2
33	в данном случае	2	2
34	в том числе	7	2
35	и та же	2	2
36	к тому же	2	2
37	в этом романе	2	2
38	таким образом и	2	2
