N	3gram	Tiupa_Narr	Stilisti
1	в то же	7	9
2	то же время	7	7
3	для того чтобы	4	7
4	в зависимости от	3	7
5	и то же	2	5
6	с точки зрения	2	5
7	одно и то	2	5
8	того или иного	3	5
9	заключает в себе	2	4
10	то же самое	3	4
11	той или иной	6	4
12	в свою очередь	2	4
13	как бы в	2	3
14	не только в	12	3
15	и тем самым	6	3
16	но и в	4	3
17	и т.п и	2	3
18	но при этом	3	2
19	в связи с	3	2
20	в самом деле	3	2
21	в этом отношении	5	2
22	к тому что	4	2
23	можно сказать что	5	2
24	и в то	2	2
25	по отношению к	5	2
26	о том что	3	2
27	не может быть	6	2
