N	3gram	Nazirov_Tv	Komedia
1	в том что	8	29
2	то же время	18	16
3	в то же	19	16
4	о том что	6	13
5	в самом деле	2	13
6	и т п	4	11
7	в свою очередь	2	10
8	едва ли не	2	10
9	по отношению к	3	9
10	с другой стороны	2	8
11	во всяком случае	2	7
12	с самого начала	3	7
13	в связи с	2	6
14	в отличие от	2	6
15	и т д	10	5
16	тем не менее	2	5
17	в одном из	2	4
18	что у него	2	4
19	на протяжении всего	2	3
20	в соответствии с	7	3
21	в том же	3	3
22	в этой связи	2	3
23	не означает что	2	2
24	и все же	3	2
25	в одной из	4	2
26	точно так же	3	2
27	так и в	2	2
28	том что в	3	2
29	не только в	2	2
30	в конечном счете	4	2
31	как и в	2	2
32	аргументом в пользу	2	2
33	а может быть	2	2
34	если не считать	2	2
35	и в то	3	2
