N	2gram	Bakhtin_Pr	Stilisti
1	и в	83	42
2	как бы	27	30
3	не только	14	28
4	и т.п	42	25
5	прежде всего	20	22
6	и т.д	5	21
7	хотя бы	6	18
8	то же	10	16
9	но и	16	16
10	и не	41	14
11	не может	18	13
12	может быть	23	13
13	как и	13	12
14	точки зрения	17	11
15	что мы	2	11
16	мы уже	9	11
17	в себе	10	10
18	мы должны	4	10
19	в этом	24	10
20	как мы	12	10
21	в то	8	9
22	все же	3	9
23	то что	14	9
24	при этом	6	9
25	мы не	7	9
26	тем самым	2	8
27	ничего не	8	8
28	так как	12	8
29	и это	3	8
30	в ней	8	8
31	таким образом	9	8
32	с его	4	8
33	никогда не	10	7
34	и от	4	7
35	в которой	2	7
36	мы можем	9	7
37	зависимости от	3	7
38	и той	4	7
39	же время	8	7
40	так и	9	7
41	потому что	9	7
42	только в	10	7
43	а не	19	7
44	и на	27	7
45	в зависимости	3	7
46	было бы	6	7
47	и его	13	7
48	той же	6	7
49	и тем	4	7
50	или иной	2	6
51	и так	4	6
52	бы в	2	6
53	во всех	15	6
54	не в	10	6
55	но ведь	3	6
56	в области	6	6
57	в конце	5	6
58	речи и	3	6
59	в нем	21	6
60	если б	7	6
61	в процессе	4	6
62	на его	4	6
63	в его	15	6
64	в форме	6	6
65	слова в	3	6
66	в этой	3	6
67	мы будем	3	6
68	с помощью	4	6
69	и то	2	5
70	все время	2	5
71	в сознании	2	5
72	связанных с	2	5
73	то есть	86	5
74	слова и	5	5
75	и наконец	4	5
76	и их	6	5
77	своей жизни	3	5
78	как это	2	5
79	мы видели	2	5
80	а в	4	5
81	но в	12	5
82	в самом	7	5
83	и с	10	5
84	уже в	3	5
85	в той	2	5
86	с точки	13	5
87	вместе с	5	5
88	да и	3	4
89	что это	2	4
90	в одном	4	4
91	так же	4	4
92	так сказать	8	4
93	в словах	2	4
94	его в	4	4
95	на него	2	4
96	что именно	2	4
97	у нас	2	4
98	влияние на	14	4
99	к своему	4	4
100	которой мы	3	4
101	самого начала	5	4
102	можно было	2	4
103	один из	7	4
104	и все	14	4
105	в каждом	5	4
106	с самого	4	4
107	к тому	2	4
108	о том	3	4
109	если мы	5	4
110	уже не	5	4
111	и к	13	4
112	в целом	3	4
113	мы видим	2	4
114	той или	2	4
115	связаны с	3	4
116	все это	11	4
117	тех или	2	4
118	можно сказать	12	4
119	не к	3	4
120	в слове	2	4
121	и без	4	4
122	сказать что	12	3
123	на самом	2	3
124	слово и	2	3
125	это не	10	3
126	слова но	3	3
127	но при	2	3
128	том что	9	3
129	авторской речью	2	3
130	в начале	2	3
131	в тех	2	3
132	но для	2	3
133	и поэтому	2	3
134	перед нами	17	3
135	словом и	2	3
136	об этом	3	3
137	и слово	2	3
138	и даже	5	3
139	этого слова	3	3
140	и здесь	4	3
141	или иных	2	3
142	в виду	3	3
143	будем говорить	2	3
144	в том	22	3
145	еще не	10	3
146	только на	3	3
147	совершенно не	4	3
148	может стать	4	3
149	как в	10	3
150	не знает	8	3
151	в разных	4	3
152	по своему	6	3
153	и для	5	3
154	нет и	3	3
155	всякое высказывание	2	3
156	видели что	2	3
157	в котором	8	3
158	их в	3	3
159	и тому	2	3
160	между ними	14	3
161	из которых	2	3
162	главным образом	3	3
163	из них	7	3
164	ведь если	2	3
165	хотя и	10	3
166	несмотря на	3	3
167	жизни и	13	3
168	что и	4	3
169	в ее	3	3
170	этом мы	3	3
171	мы в	2	3
172	и уже	2	3
173	все эти	9	3
174	высказывания и	2	3
175	конечно не	11	3
176	что было	2	3
177	между тем	2	3
178	вряд ли	2	3
179	в основе	6	3
180	здесь мы	3	3
181	еще и	4	2
182	до конца	3	2
183	жанр и	2	2
184	в отношении	3	2
185	для этого	2	2
186	и вообще	3	2
187	все то	4	2
188	и потому	6	2
189	которые в	3	2
190	с этим	3	2
191	для всех	2	2
192	слова не	2	2
193	с другими	6	2
194	мы имеем	4	2
195	нет ничего	3	2
196	из этих	3	2
197	но как	2	2
198	будем называть	2	2
199	человека и	10	2
200	в первой	2	2
201	бы и	3	2
202	времени и	4	2
203	должно быть	4	2
