N	2gram	Medvedev_S	Myslijsy
1	и в	3	121
2	может быть	2	107
3	в том	5	103
4	то что	2	83
5	для нас	3	75
6	что в	2	73
7	только в	2	72
8	не только	3	67
9	таким образом	2	64
10	том что	2	59
11	в этом	5	59
12	но и	2	59
13	то же	2	56
14	не в	3	54
15	было бы	2	45
16	и что	2	32
17	по отношению	2	30
18	отношению к	2	26
19	как бы	2	23
20	очевидно что	2	18
21	еще не	2	18
22	в его	3	17
23	только как	2	15
24	в смысле	2	13
25	все это	7	12
26	тем более	2	12
27	и только	3	11
28	и мы	2	10
29	далеко не	2	9
30	за пределы	2	7
31	должна быть	2	6
32	главным образом	2	6
33	к которому	2	6
34	как же	3	5
35	нужно было	2	5
36	более чем	3	4
37	или даже	2	4
38	это зависит	2	4
39	она может	2	3
40	как будто	2	3
41	в результате	2	3
42	это и	2	2
43	дело не	2	2
