N	2gram	Tiupa_Teor	DiskursI
1	в качестве	33	72
2	а не	14	60
3	может быть	22	56
4	не только	24	49
5	и в	24	49
6	как и	6	47
7	тогда как	18	47
8	при этом	20	46
9	в том	20	44
10	и не	17	44
11	то есть	22	41
12	в прозе	2	41
13	представляет собой	13	41
14	том что	11	40
15	в этом	12	38
16	в себе	14	37
17	состоит в	22	37
18	в частности	23	36
19	но и	14	35
20	своего рода	11	32
21	и т.п	7	32
22	но не	13	31
23	со стороны	6	28
24	так и	14	28
25	отличие от	7	28
26	но в	12	28
27	не может	8	27
28	в отличие	7	27
29	по своей	8	26
30	как в	5	25
31	такого рода	13	24
32	коммуникативного события	10	24
33	в рамках	13	23
34	литературных жанров	2	23
35	еще не	6	23
36	отнюдь не	3	23
37	а также	7	20
38	прежде всего	3	19
39	в нем	7	19
40	в своей	8	19
41	лирического героя	4	18
42	в основе	6	18
43	далеко не	4	18
44	по отношению	10	17
45	в данном	9	17
46	то же	12	17
47	с другой	9	17
48	отношению к	10	17
49	в мире	26	17
50	точки зрения	11	16
51	только в	9	16
52	роль в	3	15
53	в его	12	15
54	художественного письма	7	15
55	то что	6	15
56	о том	2	15
57	это не	4	14
58	или иной	7	14
59	картины мира	3	14
60	не в	9	14
61	не менее	6	14
62	одной стороны	3	14
63	можно сказать	5	14
64	не является	5	14
65	ни к	3	14
66	с одной	3	14
67	в целом	4	13
68	для него	5	13
69	как бы	8	13
70	данном случае	5	12
71	в своем	7	12
72	того же	4	12
73	являет собой	3	12
74	при всей	2	12
75	ведет к	2	12
76	и на	2	12
77	что в	10	11
78	в тексте	19	11
79	по мысли	3	11
80	с его	6	11
81	и как	3	11
82	как правило	5	11
83	не сводится	9	11
84	столь же	3	11
85	для себя	3	10
86	в лирике	3	10
87	а в	15	10
88	а с	3	10
89	не столько	7	10
90	высказывания в	5	10
91	по сути	5	10
92	той или	3	10
93	вследствие этого	2	10
94	и т.д	4	10
95	же время	8	10
96	тем самым	6	9
97	в то	9	9
98	в силу	4	9
99	коммуникативное событие	2	9
100	между тем	5	9
101	картина мира	6	9
102	в них	2	9
103	уже не	6	9
104	себя в	7	9
105	сводится к	12	9
106	художественного целого	4	9
107	в соответствии	3	8
108	и о	5	8
109	как уже	2	8
110	к тому	4	8
111	потому что	3	8
112	не на	4	8
113	хотя и	4	8
114	если в	2	8
115	в противоположность	3	8
116	и даже	2	8
117	жизни в	2	8
118	в этих	4	8
119	не с	3	8
120	в себя	5	8
121	лирический герой	3	8
122	соответствии с	2	8
123	в одном	3	8
124	совпадает с	4	8
125	он не	5	8
126	не следует	4	8
