N	3gram	Bakhtin_Pr	Hudozhes
1	по отношению к	12	10
2	в том что	6	8
3	в то же	13	7
4	в отличие от	4	7
5	то же время	13	7
6	с другой стороны	6	6
7	более или менее	4	6
8	не может быть	8	4
9	с точки зрения	21	3
10	тем не менее	2	3
11	подобно тому как	3	3
12	в этом смысле	12	3
13	можно сказать что	2	3
14	во всей его	2	2
15	то ни было	2	2
16	бы то ни	3	2
17	и в то	2	2
18	в том и	2	2
19	этой точки зрения	2	2
20	в самом деле	6	2
21	том что он	5	2
22	может быть и	2	2
23	сама по себе	5	2
24	в отношении к	3	2
