N	3gram	Vygotskiy_	RusskieA
1	в том что	24	49
2	состоит в том	3	29
3	тем не менее	4	14
4	в этом случае	15	12
5	вместе с тем	6	11
6	о том что	4	10
7	том что в	3	9
8	в данном случае	5	8
9	для того чтобы	24	8
10	подобно тому как	2	8
11	мы не можем	3	7
12	как мы видели	7	6
13	по этому поводу	3	6
14	не может быть	6	6
15	так же как	13	6
16	к тому что	10	5
17	мы видели что	3	5
18	в то время	8	4
19	можно было бы	5	4
20	как мы уже	2	4
21	что в этом	2	4
22	в отличие от	4	4
23	но вместе с	2	3
24	приводит нас к	2	3
25	же как и	3	3
26	с тем и	2	3
27	по отношению к	9	3
28	с точки зрения	31	3
29	друг к другу	3	3
30	до сих пор	6	3
31	к выводу что	3	3
32	на то что	5	3
33	в свою очередь	3	3
34	в этом и	2	2
35	на самом деле	2	2
36	так как в	2	2
37	потому что он	4	2
38	можно сказать что	7	2
39	в этом отношении	7	2
40	в большинстве случаев	2	2
41	как и в	4	2
42	не только в	2	2
43	друг с другом	6	2
44	и в этом	2	2
45	с одной стороны	7	2
46	совершенно очевидно что	2	2
47	с другой стороны	3	2
48	в настоящей работе	2	2
