N	3gram	Tiupa_Hudo	Hudozhes
1	по отношению к	15	10
2	в том что	15	8
3	в то же	11	7
4	то же время	11	7
5	в конечном счете	4	5
6	состоит в том	3	5
7	для того чтобы	2	5
8	так и не	3	4
9	так или иначе	3	4
10	роли в миропорядке	2	4
11	того или иного	4	4
12	не может быть	5	4
13	по сути дела	2	3
14	с точки зрения	5	3
15	с одной стороны	4	3
16	тем не менее	6	3
17	подобно тому как	4	3
18	в связи с	3	3
19	и в самом	4	3
20	несет в себе	4	3
21	ту или иную	2	2
22	в русской литературе	3	2
23	это своего рода	2	2
24	себя в другом	2	2
25	и в то	2	2
26	в самом деле	5	2
27	в значительной степени	3	2
28	к тому что	8	2
29	по своей природе	2	2
30	приводит к тому	2	2
